time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.885828596416349e-007	4.928324e-005	5.705475e-005	7.545148e-010
3.771657192832699e-007	1.011103e-004	1.146900e-004	1.318417e-009
5.657485789249048e-007	1.554812e-004	1.729057e-004	1.691705e-009
7.543314385665397e-007	2.123959e-004	2.317020e-004	1.874381e-009
9.429142982081746e-007	2.718544e-004	2.910788e-004	1.866445e-009
1.131497157849810e-006	3.338567e-004	3.510360e-004	1.667895e-009
1.320080017491444e-006	3.984029e-004	4.115738e-004	1.278732e-009
2.510028604927697e-005	7.865205e-003	7.882369e-003	1.668303e-009
4.888049208106250e-005	1.532967e-002	1.535311e-002	2.275020e-009
7.266069811284803e-005	2.279180e-002	2.282380e-002	3.098883e-009
9.644090414463356e-005	3.025158e-002	3.029443e-002	4.139893e-009
1.202211101764191e-004	3.770903e-002	3.776501e-002	5.398049e-009
1.440013162082046e-004	4.516415e-002	4.523553e-002	6.873351e-009
1.677815222399901e-004	5.261692e-002	5.270600e-002	8.565800e-009
3.355536844799887e-004	1.048246e-001	1.054064e-001	5.586017e-008
6.710980089599859e-004	2.035170e-001	2.107660e-001	7.013747e-007
1.081425536894767e-003	2.995120e-001	3.394754e-001	3.873833e-006
1.587432091498377e-003	3.726196e-001	4.978769e-001	1.214955e-005
2.080915145275285e-003	4.092521e-001	6.518747e-001	2.353419e-005
2.863958707913250e-003	4.399045e-001	8.948882e-001	4.412933e-005
3.661891014133660e-003	4.595970e-001	1.140291e+000	6.601431e-005
4.661891014133661e-003	4.762623e-001	1.443720e+000	9.381993e-005
5.661891014133661e-003	4.884076e-001	1.741451e+000	1.215147e-004
7.661891014133661e-003	5.051962e-001	2.315148e+000	1.755051e-004
9.661891014133662e-003	5.168775e-001	2.852333e+000	2.264710e-004
1.166189101413366e-002	5.254860e-001	3.344536e+000	2.733742e-004
1.366189101413367e-002	5.320143e-001	3.783993e+000	3.153638e-004
1.566189101413367e-002	5.369964e-001	4.163774e+000	3.517156e-004
1.766189101413367e-002	5.407460e-001	4.477890e+000	3.818182e-004
1.966189101413367e-002	5.434565e-001	4.721387e+000	4.051721e-004
2.166189101413367e-002	5.452487e-001	4.890425e+000	4.213934e-004
2.366189101413367e-002	5.461948e-001	4.982338e+000	4.302163e-004
2.566189101413368e-002	5.463305e-001	4.995677e+000	4.314969e-004
2.766189101413368e-002	5.456609e-001	4.930231e+000	4.252142e-004
2.966189101413368e-002	5.441607e-001	4.787032e+000	4.114707e-004
3.166189101413368e-002	5.417714e-001	4.568338e+000	3.904913e-004
3.366189101413368e-002	5.383903e-001	4.277600e+000	3.626204e-004
3.566189101413368e-002	5.338524e-001	3.919401e+000	3.283187e-004
3.766189101413368e-002	5.278918e-001	3.499391e+000	2.881600e-004
3.966189101413369e-002	5.200648e-001	3.024193e+000	2.428299e-004
4.166189101413369e-002	5.095701e-001	2.501302e+000	1.931331e-004
4.366189101413369e-002	4.947531e-001	1.938964e+000	1.400311e-004
4.466189101413369e-002	4.846058e-001	1.645753e+000	1.125798e-004
4.566189101413369e-002	4.712510e-001	1.346047e+000	8.481509e-005
4.666189101413369e-002	4.516987e-001	1.041029e+000	5.713311e-005
4.766189101413369e-002	4.148494e-001	7.319024e-001	3.071939e-005
4.866189101413369e-002	3.197043e-001	4.198874e-001	9.694149e-006
4.943553126717796e-002	1.610172e-001	1.772991e-001	1.571170e-006
5.014493884334407e-002	-4.578354e-002	-4.553011e-002	2.648209e-008
5.081379143567509e-002	-2.553943e-001	-2.555456e-001	-3.431049e-009
5.249740857652385e-002	-7.805580e-001	-7.813651e-001	-3.508525e-009
