time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.872457149649470e-011	2.239047e-005	5.883630e-002	-5.710351e-006
3.744914299298940e-011	7.540711e-005	1.176467e-001	-1.141379e-005
5.617371448948410e-011	1.590499e-004	1.764311e-001	-1.711030e-005
7.489828598597880e-011	2.733189e-004	2.351896e-001	-2.279991e-005
9.362285748247350e-011	4.182141e-004	2.939222e-001	-2.848260e-005
1.123474289789682e-010	5.937354e-004	3.526288e-001	-3.415837e-005
1.310720004754629e-010	7.998829e-004	4.113095e-001	-3.982722e-005
2.310720004754629e-010	2.252872e-003	7.233864e-001	-6.994367e-005
3.310720004754629e-010	4.387131e-003	1.032609e+000	-9.972840e-005
4.310720004754629e-010	7.255754e-003	1.337755e+000	-1.290466e-004
5.310720004754629e-010	1.084301e-002	1.637623e+000	-1.577829e-004
6.310720004754629e-010	1.512980e-002	1.931027e+000	-1.858245e-004
7.310720004754629e-010	2.009369e-002	2.216810e+000	-2.130611e-004
8.310720004754628e-010	2.570916e-002	2.493845e+000	-2.393860e-004
9.310720004754628e-010	3.194766e-002	2.761038e+000	-2.646957e-004
1.031072000475463e-009	3.877785e-002	3.017334e+000	-2.888911e-004
1.131072000475463e-009	4.616574e-002	3.261722e+000	-3.118775e-004
1.231072000475463e-009	5.407495e-002	3.493237e+000	-3.335646e-004
1.331072000475463e-009	6.246688e-002	3.710967e+000	-3.538678e-004
1.431072000475463e-009	7.130092e-002	3.914051e+000	-3.727076e-004
1.631072000475463e-009	9.012418e-002	4.273137e+000	-4.057084e-004
1.831072000475463e-009	1.101879e-001	4.564833e+000	-4.320526e-004
2.031072000475463e-009	1.311165e-001	4.784539e+000	-4.513303e-004
2.231072000475464e-009	1.525213e-001	4.928791e+000	-4.632433e-004
2.431072000475464e-009	1.740058e-001	4.995312e+000	-4.676094e-004
2.631072000475464e-009	1.951711e-001	4.983054e+000	-4.643656e-004
2.831072000475464e-009	2.156219e-001	4.892210e+000	-4.535691e-004
