time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-008	0.000000e+000	0.000000e+000	0.000000e+000
1.153599999386245e-008	1.365024e-005	4.825486e-004	-4.552411e-008
1.358399998567904e-008	6.271285e-005	1.125947e-003	-1.032266e-007
1.767999996931224e-008	2.621645e-004	2.412743e-003	-2.087940e-007
2.587199993657862e-008	9.623034e-004	4.986335e-003	-3.906826e-007
3.753737320408825e-008	2.451522e-003	8.651117e-003	-6.019023e-007
4.855977573310032e-008	4.351890e-003	1.211390e-002	-7.535929e-007
6.512386174609069e-008	7.887374e-003	1.731764e-002	-9.155590e-007
8.478496362354493e-008	1.275861e-002	2.349430e-002	-1.042299e-006
1.139680512979286e-007	2.080824e-002	3.266229e-002	-1.150876e-006
1.510129034153341e-007	3.173152e-002	4.429993e-002	-1.220225e-006
2.076127267561627e-007	4.904554e-002	6.208028e-002	-1.265479e-006
2.904451685318042e-007	7.472908e-002	8.809989e-002	-1.298022e-006
4.422830669538370e-007	1.216035e-001	1.357890e-001	-1.376566e-006
7.459588637979026e-007	2.097066e-001	2.311259e-001	-2.076547e-006
1.168491704479493e-006	3.066083e-001	3.636296e-001	-5.528523e-006
1.668378725477523e-006	3.766195e-001	5.200528e-001	-1.391298e-005
2.172824939104980e-006	4.124577e-001	6.773821e-001	-2.569629e-005
2.897634052319905e-006	4.402375e-001	9.022080e-001	-4.480384e-005
3.655638714700318e-006	4.588778e-001	1.135322e+000	-6.558993e-005
4.655638714700318e-006	4.757314e-001	1.438834e+000	-9.336724e-005
5.655638714700318e-006	4.880306e-001	1.736667e+000	-1.210605e-004
7.655638714700318e-006	5.049429e-001	2.310624e+000	-1.750875e-004
9.655638714700319e-006	5.166947e-001	2.848141e+000	-2.260812e-004
1.165563871470032e-005	5.253490e-001	3.340741e+000	-2.730190e-004
1.365563871470032e-005	5.319099e-001	3.780655e+000	-3.150500e-004
1.565563871470032e-005	5.369172e-001	4.160947e+000	-3.514490e-004
1.765563871470032e-005	5.406873e-001	4.475617e+000	-3.816033e-004
1.965563871470033e-005	5.434155e-001	4.719705e+000	-4.050129e-004
2.165563871470033e-005	5.452238e-001	4.889360e+000	-4.212925e-004
2.365563871470033e-005	5.461848e-001	4.981907e+000	-4.301755e-004
