time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.729600031574092e-012	2.160496e-005	1.488275e-001	-1.443841e-005
9.459200063148184e-012	5.941070e-005	2.972176e-001	-2.883100e-005
1.418880009472228e-011	1.134172e-004	4.451705e-001	-4.317777e-005
1.891840012629637e-011	1.836246e-004	5.926860e-001	-5.747872e-005
2.364800015787046e-011	2.700327e-004	7.397641e-001	-7.173384e-005
2.837760018944455e-011	3.726416e-004	8.864050e-001	-8.594315e-005
3.310720022101863e-011	4.914513e-004	1.032609e+000	-1.001066e-004
4.310720022101863e-011	7.953215e-004	1.337755e+000	-1.296738e-004
5.310720022101862e-011	1.172080e-003	1.637623e+000	-1.587218e-004
6.310720022101863e-011	1.620189e-003	1.931027e+000	-1.871361e-004
7.310720022101863e-011	2.137825e-003	2.216810e+000	-2.148044e-004
8.310720022101864e-011	2.722885e-003	2.493845e+000	-2.416176e-004
9.310720022101864e-011	3.372993e-003	2.761038e+000	-2.674700e-004
1.031072002210187e-010	4.085517e-003	3.017334e+000	-2.922593e-004
1.131072002210187e-010	4.857574e-003	3.261722e+000	-3.158880e-004
1.231072002210186e-010	5.686043e-003	3.493237e+000	-3.382626e-004
1.431072002210186e-010	7.498635e-003	3.914051e+000	-3.789020e-004
1.631072002210186e-010	9.494118e-003	4.273137e+000	-4.135366e-004
1.831072002210186e-010	1.164046e-002	4.564833e+000	-4.416203e-004
2.031072002210186e-010	1.390330e-002	4.784539e+000	-4.627102e-004
2.231072002210186e-010	1.624652e-002	4.928791e+000	-4.764739e-004
2.431072002210186e-010	1.863281e-002	4.995312e+000	-4.826942e-004
2.631072002210186e-010	2.102431e-002	4.983054e+000	-4.812731e-004
2.831072002210186e-010	2.338317e-002	4.892210e+000	-4.722330e-004
3.031072002210187e-010	2.567218e-002	4.724214e+000	-4.557165e-004
3.231072002210187e-010	2.785533e-002	4.481713e+000	-4.319841e-004
3.431072002210187e-010	2.989835e-002	4.168533e+000	-4.014099e-004
3.631072002210188e-010	3.176929e-002	3.789613e+000	-3.644762e-004
3.831072002210188e-010	3.343891e-002	3.350929e+000	-3.217654e-004
4.031072002210188e-010	3.488120e-002	2.859399e+000	-2.739511e-004
4.231072002210189e-010	3.607370e-002	2.322774e+000	-2.217872e-004
4.431072002210189e-010	3.699786e-002	1.749517e+000	-1.660964e-004
4.631072002210189e-010	3.763930e-002	1.148670e+000	-1.077570e-004
4.831072002210189e-010	3.798800e-002	5.297071e-001	-4.768897e-005
5.131072002210188e-010	3.795139e-002	-4.113095e-001	4.357817e-005
5.331072002210187e-010	3.755423e-002	-1.032609e+000	1.038004e-004
5.531072002210186e-010	3.686519e-002	-1.637623e+000	1.624148e-004
5.731072002210186e-010	3.589474e-002	-2.216810e+000	2.184969e-004
5.931072002210185e-010	3.465772e-002	-2.761038e+000	2.711623e-004
6.131072002210184e-010	3.317309e-002	-3.261722e+000	3.195803e-004
6.331072002210184e-010	3.146369e-002	-3.710967e+000	3.629873e-004
6.531072002210183e-010	2.955588e-002	-4.101687e+000	4.006987e-004
6.731072002210182e-010	2.747916e-002	-4.427722e+000	4.321197e-004
6.931072002210182e-010	2.526574e-002	-4.683929e+000	4.567547e-004
7.131072002210181e-010	2.295006e-002	-4.866267e+000	4.742152e-004
7.331072002210180e-010	2.056824e-002	-4.971862e+000	4.842257e-004
7.531072002210179e-010	1.815757e-002	-4.999047e+000	4.866284e-004
7.731072002210179e-010	1.575588e-002	-4.947394e+000	4.813853e-004
7.931072002210178e-010	1.340100e-002	-4.817719e+000	4.685792e-004
8.131072002210177e-010	1.113010e-002	-4.612064e+000	4.484120e-004
8.331072002210177e-010	8.979139e-003	-4.333675e+000	4.212018e-004
