time	I(D1)
0.000000000000000e+000	0.000000e+000
7.314285685059273e-010	2.204273e-007
1.462857137011855e-009	4.363288e-007
2.194285705517782e-009	6.477046e-007
2.925714274023709e-009	8.545546e-007
3.657142842529637e-009	1.056879e-006
4.388571411035564e-009	1.254677e-006
5.119999979541490e-009	1.447950e-006
1.023999995908298e-008	2.727152e-006
1.571142461713412e-008	3.929538e-006
2.466749698694000e-008	5.582899e-006
3.516216451261003e-008	7.130811e-006
5.070921015765862e-008	8.846404e-006
6.972338669595475e-008	1.033514e-005
9.713200463933515e-008	1.190118e-005
1.329351289215031e-007	1.444950e-005
1.826209627939561e-007	2.091176e-005
2.304078411093084e-007	3.073423e-005
2.968433321072161e-007	4.766841e-005
3.753434038010949e-007	6.899892e-005
4.664341667903438e-007	9.414944e-005
6.420935300299447e-007	1.416215e-004
9.934122565091465e-007	2.263490e-004
1.696049709467550e-006	3.655198e-004
1.952675278744718e-006	4.021492e-004
2.140471465416668e-006	4.188162e-004
2.299552762572286e-006	4.274522e-004
2.451586858059183e-006	4.308673e-004
2.632001041350431e-006	4.287495e-004
2.864844687561312e-006	4.157947e-004
3.242080871479796e-006	3.718806e-004
3.841632357067054e-006	2.600007e-004
4.515401966033975e-006	1.030020e-004
4.994745665413207e-006	1.726281e-005
5.480952668810767e-006	-9.027180e-006
5.703586787208691e-006	-7.591285e-006
5.986122599062054e-006	-6.038619e-006
6.344043960165627e-006	-4.619620e-006
6.719847925156211e-006	-3.124696e-006
6.969811939411452e-006	-2.122438e-006
7.153224952987660e-006	-1.412552e-006
7.315407904977065e-006	-8.026121e-007
7.475688109015662e-006	-1.672836e-007
7.640963126565337e-006	4.557783e-007
7.879417117514398e-006	1.384301e-006
8.265560252295379e-006	2.866970e-006
8.878240103932774e-006	5.349976e-006
9.789966650448716e-006	1.565720e-005
1.022662127181156e-005	4.577447e-005
1.044235475569373e-005	8.792847e-005
1.065238740916253e-005	1.448618e-004
1.083643996540740e-005	1.934025e-004
1.102708280115508e-005	2.402861e-004
1.127322559424404e-005	2.938794e-004
1.163430154468653e-005	3.588452e-004
1.193302157191102e-005	3.997229e-004
1.212587408739590e-005	4.178098e-004
1.228139407977781e-005	4.266573e-004
1.244753766045836e-005	4.306882e-004
1.263049475147276e-005	4.287670e-004
1.286239518417744e-005	4.159923e-004
1.323813229371523e-005	3.724705e-004
1.383546626545974e-005	2.616175e-004
1.449101837826797e-005	1.077159e-004
1.496810177760245e-005	2.101908e-005
1.551422178347020e-005	-8.899305e-006
1.574907856938157e-005	-7.399078e-006
1.604203714137229e-005	-5.787179e-006
1.638017620237671e-005	-4.480581e-006
1.673288668364944e-005	-3.076106e-006
1.697922702302022e-005	-2.082936e-006
1.716024177152561e-005	-1.380544e-006
1.732412743036231e-005	-7.738076e-007
1.749117718680638e-005	-1.082349e-007
1.764672069543615e-005	4.733008e-007
1.788877750695538e-005	1.421543e-006
1.828063149743394e-005	2.924801e-006
1.890168546940873e-005	5.455327e-006
1.982287331942996e-005	1.009377e-005
2.000000000000000e-005	1.166041e-005
