time	I(D1)
0.000000000000000e+000	0.000000e+000
3.657142842529637e-010	1.108977e-006
7.314285685059273e-010	2.206113e-006
1.097142852758891e-009	3.291410e-006
1.462857137011855e-009	4.364865e-006
1.828571421264818e-009	5.426481e-006
2.194285705517782e-009	6.476256e-006
2.559999989770745e-009	7.514190e-006
5.119999979541490e-009	1.452862e-005
8.955400421045425e-009	2.424465e-005
1.470589771069104e-008	3.725810e-005
2.250912160576016e-008	5.266658e-005
3.312274071761021e-008	7.272446e-005
4.693278362426935e-008	1.022690e-004
6.010763458021064e-008	1.346948e-004
7.592663170230469e-008	1.752617e-004
1.025219911133605e-007	2.382305e-004
1.557127099354722e-007	3.452751e-004
1.853934570921569e-007	3.909749e-004
2.067469784976911e-007	4.134411e-004
2.226326732473964e-007	4.241481e-004
2.403994743536057e-007	4.298514e-004
2.614280049372976e-007	4.289761e-004
2.836022635937014e-007	4.180016e-004
3.195586842968583e-007	3.784653e-004
3.768855534595604e-007	2.726336e-004
4.634289789611116e-007	9.139466e-005
5.758005746227996e-007	-6.576008e-005
6.183124427700072e-007	-7.110867e-005
6.563533385069169e-007	-4.974200e-005
6.995739916656826e-007	-2.893374e-005
7.172564967434986e-007	-2.131900e-005
7.339035636273457e-007	-1.452662e-005
7.517654337077478e-007	-7.371969e-006
7.678746656732524e-007	-1.030599e-006
7.940820538977687e-007	9.069357e-006
8.364268421034574e-007	2.490844e-005
9.031005926724028e-007	4.915315e-005
1.000131967362436e-006	8.808787e-005
1.049708360636137e-006	1.304818e-004
1.078863109995383e-006	1.842736e-004
1.106080030190090e-006	2.486735e-004
1.134122603732180e-006	3.076645e-004
1.173198352002702e-006	3.740247e-004
1.198050485912967e-006	4.053243e-004
1.216119464283417e-006	4.203839e-004
1.232531132250641e-006	4.283415e-004
1.249328004767837e-006	4.312340e-004
1.264750230570213e-006	4.285833e-004
1.289004812098340e-006	4.136274e-004
1.328267668374202e-006	3.654288e-004
1.390486379572251e-006	2.445703e-004
1.460559474253312e-006	8.288912e-005
1.541166097496041e-006	-6.288871e-005
1.584463198349042e-006	-8.486673e-005
1.615596311863416e-006	-7.151114e-005
1.657032755284144e-006	-4.914899e-005
1.699550621811459e-006	-2.891847e-005
1.717239041847811e-006	-2.132930e-005
1.733882574931758e-006	-1.453641e-005
1.751728162627981e-006	-7.387252e-006
1.767813977893928e-006	-1.054510e-006
1.793983474279869e-006	9.031733e-006
1.836268678550775e-006	2.485026e-005
1.902857322529024e-006	4.906370e-005
1.999801183755539e-006	8.390979e-005
2.000000000000000e-006	8.398775e-005
