Freq.	I(D1)
1.00000000000000e+001	(-1.45101634231018e+002dB,2.58862423978114e-001°)
1.00230523807790e+001	(-1.45101633821833e+002dB,2.59459155346988e-001°)
1.00461579027840e+001	(-1.45101633410759e+002dB,2.60057262265482e-001°)
1.00693166885180e+001	(-1.45101632997787e+002dB,2.60656747906778e-001°)
1.00925288607668e+001	(-1.45101632582909e+002dB,2.61257615448669e-001°)
1.01157945425990e+001	(-1.45101632166117e+002dB,2.61859868075094e-001°)
1.01391138573668e+001	(-1.45101631747400e+002dB,2.62463508979209e-001°)
1.01624869287070e+001	(-1.45101631326751e+002dB,2.63068541360317e-001°)
1.01859138805412e+001	(-1.45101630904161e+002dB,2.63674968426941e-001°)
1.02093948370768e+001	(-1.45101630479620e+002dB,2.64282793392979e-001°)
1.02329299228075e+001	(-1.45101630053119e+002dB,2.64892019480012e-001°)
1.02565192625141e+001	(-1.45101629624649e+002dB,2.65502649918071e-001°)
1.02801629812647e+001	(-1.45101629163657e+002dB,2.66114687009011e-001°)
1.03038612044162e+001	(-1.45101628731223e+002dB,2.66728135866253e-001°)
1.03276140576140e+001	(-1.45101628296793e+002dB,2.67342998806862e-001°)
1.03514216667934e+001	(-1.45101627860358e+002dB,2.67959279091599e-001°)
1.03752841581801e+001	(-1.45101627421908e+002dB,2.68576979986600e-001°)
1.03992016582906e+001	(-1.45101626981435e+002dB,2.69196104766452e-001°)
1.04231742939330e+001	(-1.45101626538929e+002dB,2.69816656714194e-001°)
1.04472021922080e+001	(-1.45101626094380e+002dB,2.70438639117472e-001°)
1.04712854805090e+001	(-1.45101625647780e+002dB,2.71062055274687e-001°)
1.04954242865232e+001	(-1.45101625199118e+002dB,2.71686908490387e-001°)
1.05196187382322e+001	(-1.45101624748385e+002dB,2.72313202076031e-001°)
1.05438689639126e+001	(-1.45101624295571e+002dB,2.72940939352299e-001°)
1.05681750921366e+001	(-1.45101623840668e+002dB,2.73570123647553e-001°)
1.05925372517729e+001	(-1.45101623383665e+002dB,2.74200758294760e-001°)
1.06169555719872e+001	(-1.45101622924552e+002dB,2.74832846639182e-001°)
1.06414301822431e+001	(-1.45101622463321e+002dB,2.75466392031458e-001°)
1.06659612123026e+001	(-1.45101621999960e+002dB,2.76101397828370e-001°)
1.06905487922266e+001	(-1.45101621534461e+002dB,2.76737867396689e-001°)
1.07151930523761e+001	(-1.45101621066813e+002dB,2.77375804109327e-001°)
1.07398941234124e+001	(-1.45101620597007e+002dB,2.78015211349957e-001°)
1.07646521362983e+001	(-1.45101620125032e+002dB,2.78656092506856e-001°)
1.07894672222983e+001	(-1.45101619650879e+002dB,2.79298450978289e-001°)
1.08143395129794e+001	(-1.45101619174537e+002dB,2.79942290167128e-001°)
1.08392691402120e+001	(-1.45101618695997e+002dB,2.80587613487770e-001°)
1.08642562361706e+001	(-1.45101618215247e+002dB,2.81234424361525e-001°)
1.08893009333343e+001	(-1.45101617732279e+002dB,2.81882726215846e-001°)
1.09144033644875e+001	(-1.45101617247082e+002dB,2.82532522488944e-001°)
1.09395636627209e+001	(-1.45101616759645e+002dB,2.83183816623634e-001°)
1.09647819614318e+001	(-1.45101616269958e+002dB,2.83836612071953e-001°)
1.09900583943252e+001	(-1.45101615778011e+002dB,2.84490912296691e-001°)
1.10153930954141e+001	(-1.45101615283793e+002dB,2.85146720764478e-001°)
1.10407861990207e+001	(-1.45101614787294e+002dB,2.85804040951160e-001°)
1.10662378397766e+001	(-1.45101614288504e+002dB,2.86462876342573e-001°)
1.10917481526240e+001	(-1.45101613787411e+002dB,2.87123230429927e-001°)
1.11173172728159e+001	(-1.45101613284005e+002dB,2.87785106713650e-001°)
1.11429453359173e+001	(-1.45101612778276e+002dB,2.88448508703388e-001°)
1.11686324778056e+001	(-1.45101612270213e+002dB,2.89113439914933e-001°)
1.11943788346715e+001	(-1.45101611759804e+002dB,2.89779903874061e-001°)
1.12201845430196e+001	(-1.45101611247039e+002dB,2.90447904111156e-001°)
1.12460497396692e+001	(-1.45101610731908e+002dB,2.91117444169664e-001°)
1.12719745617551e+001	(-1.45101610214399e+002dB,2.91788527596867e-001°)
1.12979591467279e+001	(-1.45101609694502e+002dB,2.92461157950804e-001°)
1.13240036323555e+001	(-1.45101609172205e+002dB,2.93135338797193e-001°)
1.13501081567231e+001	(-1.45101608647497e+002dB,2.93811073710204e-001°)
1.13762728582343e+001	(-1.45101608120367e+002dB,2.94488366269378e-001°)
1.14024978756117e+001	(-1.45101607590804e+002dB,2.95167220068090e-001°)
1.14287833478977e+001	(-1.45101607058797e+002dB,2.95847638702781e-001°)
1.14551294144553e+001	(-1.45101606524334e+002dB,2.96529625780649e-001°)
1.14815362149688e+001	(-1.45101605987404e+002dB,2.97213184916570e-001°)
1.15080038894443e+001	(-1.45101605447996e+002dB,2.97898319734641e-001°)
1.15345325782109e+001	(-1.45101604906099e+002dB,2.98585033865868e-001°)
1.15611224219210e+001	(-1.45101604361700e+002dB,2.99273330949708e-001°)
1.15877735615512e+001	(-1.45101603814788e+002dB,2.99963214637140e-001°)
1.16144861384034e+001	(-1.45101603265352e+002dB,3.00654688582214e-001°)
1.16412602941049e+001	(-1.45101602682834e+002dB,3.01347755392277e-001°)
1.16680961706096e+001	(-1.45101602128315e+002dB,3.02042420856892e-001°)
1.16949939101987e+001	(-1.45101601571236e+002dB,3.02738687601974e-001°)
