Freq.	V(vd)
1.00000000000000e+001	(-4.97381612383920e-003dB,-1.48276299889840e-004°)
1.00230523807790e+001	(-4.97381612397428e-003dB,-1.48618112062395e-004°)
1.00461579027840e+001	(-4.97381612410840e-003dB,-1.48960712193385e-004°)
1.00693166885180e+001	(-4.97381612424348e-003dB,-1.49304102099243e-004°)
1.00925288607668e+001	(-4.97381612438146e-003dB,-1.49648283600587e-004°)
1.01157945425990e+001	(-4.97381612451847e-003dB,-1.49993258522234e-004°)
1.01391138573668e+001	(-4.97381612465452e-003dB,-1.50339028693206e-004°)
1.01624869287070e+001	(-4.97381612479346e-003dB,-1.50685595946742e-004°)
1.01859138805412e+001	(-4.97381612493240e-003dB,-1.51032962120308e-004°)
1.02093948370768e+001	(-4.97381612507135e-003dB,-1.51381129055604e-004°)
1.02329299228075e+001	(-4.97381612521222e-003dB,-1.51730098598577e-004°)
1.02565192625141e+001	(-4.97381612535213e-003dB,-1.52079872599428e-004°)
1.02801629812647e+001	(-4.97381612549300e-003dB,-1.52430452912625e-004°)
1.03038612044162e+001	(-4.97381612563580e-003dB,-1.52781841396909e-004°)
1.03276140576140e+001	(-4.97381612577667e-003dB,-1.53134039915307e-004°)
1.03514216667934e+001	(-4.97381612591948e-003dB,-1.53487050335141e-004°)
1.03752841581801e+001	(-4.97381612606421e-003dB,-1.53840874528036e-004°)
1.03992016582906e+001	(-4.97381612620990e-003dB,-1.54195514369934e-004°)
1.04231742939330e+001	(-4.97381612635367e-003dB,-1.54550971741099e-004°)
1.04472021922080e+001	(-4.97381612649937e-003dB,-1.54907248526131e-004°)
1.04712854805090e+001	(-4.97381612664603e-003dB,-1.55264346613974e-004°)
1.04954242865232e+001	(-4.97381612679462e-003dB,-1.55622267897927e-004°)
1.05196187382322e+001	(-4.97381612694321e-003dB,-1.55981014275653e-004°)
1.05438689639126e+001	(-4.97381612708988e-003dB,-1.56340587649189e-004°)
1.05681750921366e+001	(-4.97381612723847e-003dB,-1.56700989924957e-004°)
1.05925372517729e+001	(-4.97381612738899e-003dB,-1.57062223013775e-004°)
1.06169555719872e+001	(-4.97381612753951e-003dB,-1.57424288830864e-004°)
1.06414301822431e+001	(-4.97381612769100e-003dB,-1.57787189295861e-004°)
1.06659612123026e+001	(-4.97381612784248e-003dB,-1.58150926332829e-004°)
1.06905487922266e+001	(-4.97381612799493e-003dB,-1.58515501870265e-004°)
1.07151930523761e+001	(-4.97381612814835e-003dB,-1.58880917841112e-004°)
1.07398941234124e+001	(-4.97381612830369e-003dB,-1.59247176182769e-004°)
1.07646521362983e+001	(-4.97381612845807e-003dB,-1.59614278837101e-004°)
1.07894672222983e+001	(-4.97381612861439e-003dB,-1.59982227750451e-004°)
1.08143395129794e+001	(-4.97381612876973e-003dB,-1.60351024873647e-004°)
1.08392691402120e+001	(-4.97381612892701e-003dB,-1.60720672162014e-004°)
1.08642562361706e+001	(-4.97381612908525e-003dB,-1.61091171575385e-004°)
1.08893009333343e+001	(-4.97381612924252e-003dB,-1.61462525078113e-004°)
