time	V(vd)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
7.314285685059273e-010	2.744816e-005	2.297851e-003
1.462857137011855e-009	1.015128e-004	4.595701e-003
2.194285705517782e-009	2.221939e-004	6.893549e-003
2.925714274023709e-009	3.894916e-004	9.191396e-003
3.657142842529637e-009	6.034057e-004	1.148924e-002
4.388571411035564e-009	8.639363e-004	1.378708e-002
5.119999979541490e-009	1.171083e-003	1.608493e-002
1.023999995908298e-008	4.080236e-003	3.216969e-002
1.571142461713412e-008	8.884350e-003	4.935810e-002
2.466749698694000e-008	1.998941e-002	7.749213e-002
3.516216451261003e-008	3.701064e-002	1.104562e-001
5.070921015765862e-008	6.816465e-002	1.592807e-001
6.972338669595475e-008	1.125194e-001	2.189724e-001
9.713200463933515e-008	1.823593e-001	3.049598e-001
1.329351289215031e-007	2.682434e-001	4.171426e-001
1.826209627939561e-007	3.569486e-001	5.724626e-001
2.304078411093084e-007	4.045471e-001	7.213218e-001
2.968433321072161e-007	4.357132e-001	9.271634e-001
3.753434038010949e-007	4.567689e-001	1.168276e+000
4.664341667903438e-007	4.723198e-001	1.444460e+000
6.420935300299447e-007	4.912903e-001	1.962919e+000
9.934122565091465e-007	5.133464e-001	2.922158e+000
1.696049709467550e-006	5.380203e-001	4.375541e+000
1.952675278744718e-006	5.430534e-001	4.707244e+000
2.140471465416668e-006	5.448827e-001	4.872966e+000
2.299552762572286e-006	5.458156e-001	4.960397e+000
2.451586858059183e-006	5.462375e-001	4.997687e+000
2.632001041350431e-006	5.460886e-001	4.982813e+000
2.864844687561312e-006	5.447678e-001	4.869198e+000
3.242080871479796e-006	5.394552e-001	4.466272e+000
3.841632357067054e-006	5.197880e-001	3.326232e+000
4.515401966033975e-006	3.849856e-001	1.498995e+000
4.994745665413207e-006	-1.613729e-001	1.650695e-002
5.480952668810767e-006	-1.382068e+000	-1.488065e+000
5.703586787208691e-006	-2.047292e+000	-2.139087e+000
5.986122599062054e-006	-2.811821e+000	-2.903544e+000
6.344043960165627e-006	-3.640984e+000	-3.738155e+000
6.719847925156211e-006	-4.338862e+000	-4.411231e+000
6.969811939411452e-006	-4.682019e+000	-4.725122e+000
7.153224952987660e-006	-4.852931e+000	-4.881784e+000
7.315407904977065e-006	-4.945411e+000	-4.966408e+000
7.475688109015662e-006	-4.984634e+000	-4.999417e+000
7.640963126565337e-006	-4.965779e+000	-4.980402e+000
7.879417117514398e-006	-4.829192e+000	-4.858592e+000
8.265560252295379e-006	-4.362169e+000	-4.432627e+000
8.878240103932774e-006	-3.132613e+000	-3.239493e+000
9.789966650448716e-006	-7.748011e-001	-6.579257e-001
1.022662127181156e-005	2.337428e-001	7.095484e-001
1.044235475569373e-005	4.601953e-001	1.371875e+000
1.065238740916253e-005	4.931583e-001	1.992621e+000
1.083643996540740e-005	5.079356e-001	2.508447e+000
1.102708280115508e-005	5.185336e-001	3.007331e+000
1.127322559424404e-005	5.279185e-001	3.586750e+000
1.163430154468653e-005	5.374587e-001	4.278396e+000
1.193302157191102e-005	5.426660e-001	4.686069e+000
1.212587408739590e-005	5.447288e-001	4.862490e+000
1.228139407977781e-005	5.457221e-001	4.952909e+000
1.244753766045836e-005	5.462201e-001	4.997284e+000
1.263049475147276e-005	5.460894e-001	4.983202e+000
1.286239518417744e-005	5.447900e-001	4.870941e+000
1.323813229371523e-005	5.395324e-001	4.471835e+000
1.383546626545974e-005	5.203936e-001	3.340670e+000
1.449101837826797e-005	4.092092e-001	1.571896e+000
1.496810177760245e-005	-1.169176e-001	1.002045e-001
1.551422178347020e-005	-1.479784e+000	-1.587515e+000
1.574907856938157e-005	-2.175429e+000	-2.267373e+000
1.604203714137229e-005	-2.955080e+000	-3.044730e+000
1.638017620237671e-005	-3.721592e+000	-3.812571e+000
1.673288668364944e-005	-4.361250e+000	-4.430367e+000
1.697922702302022e-005	-4.692550e+000	-4.734712e+000
1.716024177152561e-005	-4.858000e+000	-4.886502e+000
1.732412743036231e-005	-4.948116e+000	-4.969503e+000
1.749117718680638e-005	-4.985998e+000	-4.999923e+000
1.764672069543615e-005	-4.965201e+000	-4.978769e+000
1.788877750695538e-005	-4.821316e+000	-4.851563e+000
1.828063149743394e-005	-4.338425e+000	-4.410522e+000
1.890168546940873e-005	-3.076732e+000	-3.183038e+000
1.982287331942996e-005	-6.382576e-001	-5.553119e-001
2.000000000000000e-005	-1.200295e-001	-2.449294e-015
