time	V(vd)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.828571421264818e-010	1.674336e-004	5.745682e-002
3.657142842529637e-010	6.441770e-004	1.148895e-001
5.485714263794455e-010	1.430230e-003	1.722980e-001
7.314285685059273e-010	2.525593e-003	2.296824e-001
9.142857106324091e-010	3.930266e-003	2.870426e-001
1.097142852758891e-009	5.644248e-003	3.443786e-001
1.279999994885372e-009	7.667540e-003	4.016905e-001
2.559999989770745e-009	2.960037e-002	8.007842e-001
5.061408934472752e-009	1.014022e-001	1.563421e+000
8.209290877124639e-009	2.199669e-001	2.466176e+000
1.266579080917405e-008	3.697225e-001	3.572171e+000
1.717347379822233e-008	4.558694e-001	4.407527e+000
2.041863236403496e-008	4.847078e-001	4.794274e+000
2.207092990360165e-008	4.938100e-001	4.915563e+000
2.380685731663207e-008	5.009396e-001	4.985956e+000
2.605582896411860e-008	5.082327e-001	4.989002e+000
2.821873937800678e-008	5.135444e-001	4.898096e+000
3.172737490198476e-008	5.191993e-001	4.559937e+000
3.732955803644623e-008	5.225178e-001	3.573193e+000
4.582449645197303e-008	5.143396e-001	1.296777e+000
5.595553457582162e-008	4.728402e-001	-1.827627e+000
6.214257990412244e-008	3.510381e-001	-3.455250e+000
6.639993660560606e-008	1.067445e-001	-4.287623e+000
6.912560787539975e-008	-1.587393e-001	-4.663264e+000
7.110711578327249e-008	-3.918648e-001	-4.851175e+000
7.262519277008993e-008	-5.808864e-001	-4.944441e+000
7.450950170936534e-008	-8.211105e-001	-4.997626e+000
7.631764209034009e-008	-1.050618e+000	-4.982874e+000
7.864459559707723e-008	-1.331076e+000	-4.869473e+000
8.241460084360960e-008	-1.711938e+000	-4.467148e+000
8.840663120040845e-008	-2.055944e+000	-3.328505e+000
9.709758347839146e-008	-1.972033e+000	-9.067754e-001
1.072267503652554e-007	-1.229330e+000	2.193134e+000
1.131467574916074e-007	-5.773918e-001	3.676249e+000
1.168743260467764e-007	-1.390022e-001	4.362377e+000
1.198540465801814e-007	1.790494e-001	4.740913e+000
1.216484955113874e-007	3.261799e-001	4.889548e+000
1.232976486363981e-007	4.060259e-001	4.971425e+000
1.248051266818619e-007	4.424706e-001	4.999625e+000
1.264275661393485e-007	4.633774e-001	4.979900e+000
1.288233301275519e-007	4.814245e-001	4.856420e+000
1.327025604598435e-007	4.974718e-001	4.425782e+000
1.388554953267118e-007	5.069041e-001	3.221967e+000
1.480024360686363e-007	4.987324e-001	6.259069e-001
1.561321914946813e-007	4.533920e-001	-1.879172e+000
1.619887067189080e-007	2.921845e-001	-3.420148e+000
1.669002807578043e-007	-4.879744e-002	-4.366355e+000
1.696253703303042e-007	-3.342440e-001	-4.717599e+000
1.714780793700326e-007	-5.574661e-001	-4.878077e+000
1.730867456418200e-007	-7.598744e-001	-4.963915e+000
1.746372585867861e-007	-9.576041e-001	-4.998702e+000
1.763651560066858e-007	-1.175421e+000	-4.981618e+000
1.787218574049236e-007	-1.455190e+000	-4.863906e+000
1.825391134581405e-007	-1.829389e+000	-4.449440e+000
1.886009018422067e-007	-2.148612e+000	-3.282715e+000
1.975402858126783e-007	-2.152935e+000	-7.696695e-001
2.000000000000000e-007	-2.044028e+000	-2.449294e-015
