vin	V(be)	Ib(Q1)	Ic(Q1)	Ic(Q1)/Ib(Q1)
0.000000000000000e+000	1.114460e-009	-5.065728e-012	5.091875e-012	-1.005162e+000
5.000000000000000e-003	5.000001e-003	-5.055237e-012	5.092920e-012	-1.007454e+000
1.000000000000000e-002	1.000000e-002	-5.044678e-012	5.093964e-012	-1.009770e+000
1.500000000000000e-002	1.500000e-002	-5.034043e-012	5.097099e-012	-1.012526e+000
2.000000000000000e-002	2.000000e-002	-5.023326e-012	5.101279e-012	-1.015518e+000
2.500000000000000e-002	2.500000e-002	-5.012504e-012	5.108593e-012	-1.019170e+000
3.000000000000000e-002	3.000000e-002	-5.001569e-012	5.116952e-012	-1.023070e+000
3.500000000000000e-002	3.500000e-002	-4.990508e-012	5.129491e-012	-1.027850e+000
4.000000000000000e-002	4.000000e-002	-4.979309e-012	5.145166e-012	-1.033309e+000
4.500000000000000e-002	4.500000e-002	-4.967936e-012	5.165019e-012	-1.039671e+000
5.000000000000000e-002	5.000000e-002	-4.956376e-012	5.191142e-012	-1.047367e+000
5.499999999999999e-002	5.500000e-002	-4.944593e-012	5.223534e-012	-1.056413e+000
5.999999999999999e-002	6.000000e-002	-4.932568e-012	5.263241e-012	-1.067039e+000
6.499999999999999e-002	6.500000e-002	-4.920273e-012	5.311307e-012	-1.079474e+000
6.999999999999999e-002	7.000000e-002	-4.907616e-012	5.372957e-012	-1.094820e+000
7.500000000000000e-002	7.500000e-002	-4.894640e-012	5.447146e-012	-1.112880e+000
8.000000000000000e-002	8.000000e-002	-4.881234e-012	5.538054e-012	-1.134560e+000
8.500000000000001e-002	8.500000e-002	-4.867329e-012	5.649859e-012	-1.160772e+000
9.000000000000001e-002	9.000000e-002	-4.852882e-012	5.785699e-012	-1.192219e+000
9.500000000000002e-002	9.500000e-002	-4.837797e-012	5.952885e-012	-1.230495e+000
1.000000000000000e-001	1.000000e-001	-4.822004e-012	6.153509e-012	-1.276131e+000
1.050000000000000e-001	1.050000e-001	-4.805392e-012	6.400109e-012	-1.331860e+000
1.100000000000000e-001	1.100000e-001	-4.787809e-012	6.698955e-012	-1.399169e+000
1.150000000000000e-001	1.150000e-001	-4.769171e-012	7.062586e-012	-1.480883e+000
1.200000000000000e-001	1.200000e-001	-4.749270e-012	7.502495e-012	-1.579715e+000
1.250000000000000e-001	1.250000e-001	-4.727940e-012	8.037493e-012	-1.699999e+000
1.300000000000000e-001	1.300000e-001	-4.704959e-012	8.686385e-012	-1.846219e+000
1.350000000000000e-001	1.350000e-001	-4.680090e-012	9.473207e-012	-2.024151e+000
1.400000000000000e-001	1.400000e-001	-4.653028e-012	1.042617e-011	-2.240728e+000
1.450000000000001e-001	1.450000e-001	-4.623468e-012	1.158394e-011	-2.505465e+000
1.500000000000001e-001	1.500000e-001	-4.590966e-012	1.298412e-011	-2.828190e+000
