vin	V(be)	Ic(Q1)
0.000000000000000e+000	1.114460e-009	5.091875e-012
5.000000000000000e-003	5.000001e-003	5.092920e-012
1.000000000000000e-002	1.000000e-002	5.093964e-012
1.500000000000000e-002	1.500000e-002	5.097099e-012
2.000000000000000e-002	2.000000e-002	5.101279e-012
2.500000000000000e-002	2.500000e-002	5.108593e-012
3.000000000000000e-002	3.000000e-002	5.116952e-012
3.500000000000000e-002	3.500000e-002	5.129491e-012
4.000000000000000e-002	4.000000e-002	5.145166e-012
4.500000000000000e-002	4.500000e-002	5.165019e-012
5.000000000000000e-002	5.000000e-002	5.191142e-012
5.499999999999999e-002	5.500000e-002	5.223534e-012
5.999999999999999e-002	6.000000e-002	5.263241e-012
6.499999999999999e-002	6.500000e-002	5.311307e-012
6.999999999999999e-002	7.000000e-002	5.372957e-012
7.500000000000000e-002	7.500000e-002	5.447146e-012
8.000000000000000e-002	8.000000e-002	5.538054e-012
8.500000000000001e-002	8.500000e-002	5.649859e-012
9.000000000000001e-002	9.000000e-002	5.785699e-012
9.500000000000002e-002	9.500000e-002	5.952885e-012
1.000000000000000e-001	1.000000e-001	6.153509e-012
1.050000000000000e-001	1.050000e-001	6.400109e-012
1.100000000000000e-001	1.100000e-001	6.698955e-012
1.150000000000000e-001	1.150000e-001	7.062586e-012
1.200000000000000e-001	1.200000e-001	7.502495e-012
1.250000000000000e-001	1.250000e-001	8.037493e-012
1.300000000000000e-001	1.300000e-001	8.686385e-012
1.350000000000000e-001	1.350000e-001	9.473207e-012
1.400000000000000e-001	1.400000e-001	1.042617e-011
1.450000000000001e-001	1.450000e-001	1.158394e-011
1.500000000000001e-001	1.500000e-001	1.298412e-011
1.550000000000001e-001	1.550000e-001	1.468316e-011
1.600000000000001e-001	1.600000e-001	1.674060e-011
1.650000000000001e-001	1.650000e-001	1.923377e-011
1.700000000000001e-001	1.700000e-001	2.225462e-011
1.750000000000001e-001	1.750000e-001	2.591391e-011
1.800000000000001e-001	1.800000e-001	3.034644e-011
1.850000000000001e-001	1.850000e-001	3.571627e-011
1.900000000000001e-001	1.900000e-001	4.222087e-011
1.950000000000001e-001	1.950000e-001	5.009849e-011
2.000000000000001e-001	2.000000e-001	5.964066e-011
2.050000000000001e-001	2.050000e-001	7.119847e-011
2.100000000000001e-001	2.100000e-001	8.519616e-011
2.150000000000001e-001	2.150000e-001	1.021499e-010
2.200000000000001e-001	2.200000e-001	1.226846e-010
2.250000000000001e-001	2.250000e-001	1.475546e-010
2.300000000000001e-001	2.300000e-001	1.776754e-010
2.350000000000001e-001	2.350000e-001	2.141544e-010
2.400000000000001e-001	2.400000e-001	2.583366e-010
2.450000000000001e-001	2.450000e-001	3.118457e-010
2.500000000000001e-001	2.500000e-001	3.766503e-010
2.550000000000001e-001	2.550000e-001	4.551371e-010
2.600000000000001e-001	2.600000e-001	5.501921e-010
2.650000000000001e-001	2.650000e-001	6.653136e-010
2.700000000000001e-001	2.700000e-001	8.047367e-010
2.750000000000001e-001	2.750000e-001	9.735930e-010
2.800000000000001e-001	2.800000e-001	1.178092e-009
2.850000000000001e-001	2.850000e-001	1.425763e-009
2.900000000000002e-001	2.900000e-001	1.725714e-009
2.950000000000002e-001	2.950000e-001	2.088983e-009
3.000000000000002e-001	3.000000e-001	2.528936e-009
3.050000000000002e-001	3.050000e-001	3.061760e-009
3.100000000000002e-001	3.100000e-001	3.707057e-009
3.150000000000002e-001	3.150000e-001	4.488572e-009
3.200000000000002e-001	3.200000e-001	5.435056e-009
3.250000000000002e-001	3.250000e-001	6.581335e-009
3.300000000000002e-001	3.300000e-001	7.969581e-009
3.350000000000002e-001	3.350000e-001	9.650871e-009
3.400000000000002e-001	3.400000e-001	1.168706e-008
3.450000000000002e-001	3.450000e-001	1.415307e-008
3.500000000000002e-001	3.500000e-001	1.713962e-008
3.550000000000002e-001	3.550000e-001	2.075659e-008
3.600000000000002e-001	3.600000e-001	2.513706e-008
3.650000000000002e-001	3.650000e-001	3.044217e-008
3.700000000000002e-001	3.700000e-001	3.686711e-008
3.750000000000002e-001	3.750000e-001	4.464825e-008
3.800000000000002e-001	3.800000e-001	5.407183e-008
3.850000000000002e-001	3.849999e-001	6.548453e-008
3.900000000000002e-001	3.899999e-001	7.930619e-008
3.950000000000002e-001	3.949999e-001	9.604525e-008
4.000000000000002e-001	3.999999e-001	1.163174e-007
4.050000000000003e-001	4.049999e-001	1.408684e-007
4.100000000000003e-001	4.099998e-001	1.706012e-007
