v2	V(ds)	I(R1)
Step Information: V1=-3  (Run: 1/7)
0.000000000000000e+000	-1.690252e-009	1.594577e-012
1.000000000000000e-002	5.272464e-003	4.459939e-006
2.000000000000000e-002	1.057738e-002	8.889262e-006
3.000000000000000e-002	1.591536e-002	1.328739e-005
4.000000000000000e-002	2.128703e-002	1.765374e-005
5.000000000000000e-002	2.669304e-002	2.198770e-005
6.000000000000001e-002	3.213405e-002	2.628863e-005
7.000000000000001e-002	3.761077e-002	3.055588e-005
8.000000000000000e-002	4.312389e-002	3.478878e-005
9.000000000000000e-002	4.867417e-002	3.898663e-005
9.999999999999999e-002	5.426236e-002	4.314872e-005
1.100000000000000e-001	5.988926e-002	4.727428e-005
1.200000000000000e-001	6.555568e-002	5.136256e-005
1.300000000000000e-001	7.126248e-002	5.541276e-005
1.400000000000000e-001	7.701052e-002	5.942403e-005
1.500000000000000e-001	8.280073e-002	6.339554e-005
1.600000000000000e-001	8.863404e-002	6.732638e-005
1.700000000000000e-001	9.451144e-002	7.121563e-005
1.800000000000000e-001	1.004339e-001	7.506232e-005
1.900000000000000e-001	1.064026e-001	7.886547e-005
2.000000000000000e-001	1.124185e-001	8.262403e-005
2.100000000000001e-001	1.184829e-001	8.633692e-005
2.200000000000001e-001	1.245968e-001	9.000302e-005
2.300000000000001e-001	1.307616e-001	9.362117e-005
2.400000000000001e-001	1.369785e-001	9.719012e-005
2.500000000000001e-001	1.432489e-001	1.007086e-004
2.600000000000001e-001	1.495741e-001	1.041753e-004
2.700000000000001e-001	1.559558e-001	1.075889e-004
2.800000000000001e-001	1.623953e-001	1.109478e-004
2.900000000000001e-001	1.688944e-001	1.142506e-004
3.000000000000001e-001	1.754546e-001	1.174956e-004
3.100000000000001e-001	1.820778e-001	1.206813e-004
3.200000000000001e-001	1.887659e-001	1.238058e-004
3.300000000000001e-001	1.955207e-001	1.268673e-004
3.400000000000001e-001	2.023443e-001	1.298639e-004
3.500000000000001e-001	2.092388e-001	1.327935e-004
3.600000000000002e-001	2.162067e-001	1.356541e-004
3.700000000000002e-001	2.232501e-001	1.384433e-004
3.800000000000002e-001	2.303717e-001	1.411588e-004
3.900000000000002e-001	2.375740e-001	1.437981e-004
4.000000000000002e-001	2.448601e-001	1.463584e-004
4.100000000000002e-001	2.522327e-001	1.488371e-004
4.200000000000002e-001	2.596952e-001	1.512310e-004
4.300000000000002e-001	2.672508e-001	1.535370e-004
4.400000000000002e-001	2.749032e-001	1.557517e-004
4.500000000000002e-001	2.826562e-001	1.578715e-004
4.600000000000002e-001	2.905138e-001	1.598926e-004
4.700000000000003e-001	2.984805e-001	1.618109e-004
4.800000000000003e-001	3.065609e-001	1.636218e-004
4.900000000000003e-001	3.147601e-001	1.653207e-004
5.000000000000002e-001	3.230834e-001	1.669025e-004
5.100000000000002e-001	3.315367e-001	1.683617e-004
5.200000000000002e-001	3.401262e-001	1.696922e-004
5.300000000000003e-001	3.488589e-001	1.708878e-004
5.400000000000003e-001	3.577421e-001	1.719414e-004
5.500000000000003e-001	3.667839e-001	1.728453e-004
5.600000000000003e-001	3.759932e-001	1.735913e-004
5.700000000000003e-001	3.853796e-001	1.741702e-004
5.800000000000003e-001	3.949538e-001	1.745719e-004
5.900000000000003e-001	4.047275e-001	1.747854e-004
6.000000000000003e-001	4.146911e-001	1.748197e-004
6.100000000000003e-001	4.246874e-001	1.748232e-004
6.200000000000003e-001	4.346837e-001	1.748267e-004
6.300000000000003e-001	4.446800e-001	1.748302e-004
6.400000000000004e-001	4.546763e-001	1.748337e-004
6.500000000000004e-001	4.646726e-001	1.748371e-004
6.600000000000004e-001	4.746689e-001	1.748406e-004
6.700000000000004e-001	4.846652e-001	1.748441e-004
6.800000000000004e-001	4.946615e-001	1.748476e-004
6.900000000000004e-001	5.046578e-001	1.748511e-004
7.000000000000004e-001	5.146542e-001	1.748546e-004
7.100000000000004e-001	5.246505e-001	1.748581e-004
7.200000000000004e-001	5.346467e-001	1.748616e-004
7.300000000000004e-001	5.446430e-001	1.748651e-004
7.400000000000004e-001	5.546393e-001	1.748685e-004
7.500000000000004e-001	5.646356e-001	1.748720e-004
7.600000000000005e-001	5.746319e-001	1.748755e-004
7.700000000000005e-001	5.846282e-001	1.748790e-004
7.800000000000005e-001	5.946245e-001	1.748825e-004
7.900000000000005e-001	6.046209e-001	1.748860e-004
8.000000000000005e-001	6.146172e-001	1.748895e-004
8.100000000000005e-001	6.246135e-001	1.748930e-004
8.200000000000005e-001	6.346098e-001	1.748965e-004
8.300000000000005e-001	6.446061e-001	1.748999e-004
8.400000000000005e-001	6.546023e-001	1.749034e-004
8.500000000000005e-001	6.645986e-001	1.749069e-004
8.600000000000005e-001	6.745949e-001	1.749104e-004
8.700000000000006e-001	6.845912e-001	1.749139e-004
