vin	V(gs)	Id(M1)
-2.500000000000000e+000	-2.500000e+000	2.051204e-011
-2.499850000000000e+000	-2.499850e+000	2.051417e-011
-2.499700000000000e+000	-2.499700e+000	2.051626e-011
-2.499550000000000e+000	-2.499550e+000	2.051839e-011
-2.499400000000000e+000	-2.499400e+000	2.052052e-011
-2.499250000000000e+000	-2.499250e+000	2.052265e-011
-2.499099999999999e+000	-2.499100e+000	2.052483e-011
-2.498949999999999e+000	-2.498950e+000	2.052700e-011
-2.498799999999999e+000	-2.498800e+000	2.052918e-011
-2.498649999999999e+000	-2.498650e+000	2.053135e-011
-2.498499999999999e+000	-2.498500e+000	2.053353e-011
-2.498349999999999e+000	-2.498350e+000	2.053571e-011
-2.498199999999999e+000	-2.498200e+000	2.053793e-011
-2.498049999999999e+000	-2.498050e+000	2.054019e-011
-2.497899999999999e+000	-2.497900e+000	2.054237e-011
-2.497749999999999e+000	-2.497750e+000	2.054459e-011
-2.497599999999999e+000	-2.497600e+000	2.054681e-011
-2.497449999999998e+000	-2.497450e+000	2.054912e-011
-2.497299999999998e+000	-2.497300e+000	2.055134e-011
-2.497149999999998e+000	-2.497150e+000	2.055360e-011
-2.496999999999998e+000	-2.497000e+000	2.055591e-011
-2.496849999999998e+000	-2.496850e+000	2.055827e-011
-2.496699999999998e+000	-2.496700e+000	2.056053e-011
-2.496549999999998e+000	-2.496550e+000	2.056284e-011
-2.496399999999998e+000	-2.496400e+000	2.056515e-011
-2.496249999999998e+000	-2.496250e+000	2.056746e-011
-2.496099999999998e+000	-2.496100e+000	2.056981e-011
-2.495949999999997e+000	-2.495950e+000	2.057217e-011
-2.495799999999997e+000	-2.495800e+000	2.057452e-011
-2.495649999999997e+000	-2.495650e+000	2.057687e-011
-2.495499999999997e+000	-2.495500e+000	2.057927e-011
-2.495349999999997e+000	-2.495350e+000	2.058167e-011
-2.495199999999997e+000	-2.495200e+000	2.058407e-011
-2.495049999999997e+000	-2.495050e+000	2.058647e-011
-2.494899999999997e+000	-2.494900e+000	2.058891e-011
-2.494749999999997e+000	-2.494750e+000	2.059135e-011
-2.494599999999997e+000	-2.494600e+000	2.059375e-011
-2.494449999999997e+000	-2.494450e+000	2.059619e-011
-2.494299999999996e+000	-2.494300e+000	2.059868e-011
-2.494149999999996e+000	-2.494150e+000	2.060112e-011
-2.493999999999996e+000	-2.494000e+000	2.060365e-011
-2.493849999999996e+000	-2.493850e+000	2.060609e-011
-2.493699999999996e+000	-2.493700e+000	2.060867e-011
-2.493549999999996e+000	-2.493550e+000	2.061111e-011
-2.493399999999996e+000	-2.493400e+000	2.061364e-011
-2.493249999999996e+000	-2.493250e+000	2.061613e-011
-2.493099999999996e+000	-2.493100e+000	2.061871e-011
-2.492949999999996e+000	-2.492950e+000	2.062128e-011
-2.492799999999996e+000	-2.492800e+000	2.062386e-011
-2.492649999999995e+000	-2.492650e+000	2.062643e-011
-2.492499999999995e+000	-2.492500e+000	2.062897e-011
-2.492349999999995e+000	-2.492350e+000	2.063158e-011
-2.492199999999995e+000	-2.492200e+000	2.063421e-011
-2.492049999999995e+000	-2.492050e+000	2.063683e-011
-2.491899999999995e+000	-2.491900e+000	2.063945e-011
-2.491749999999995e+000	-2.491750e+000	2.064211e-011
-2.491599999999995e+000	-2.491600e+000	2.064477e-011
-2.491449999999995e+000	-2.491450e+000	2.064744e-011
-2.491299999999995e+000	-2.491300e+000	2.065010e-011
-2.491149999999994e+000	-2.491150e+000	2.065277e-011
-2.490999999999994e+000	-2.491000e+000	2.065548e-011
-2.490849999999994e+000	-2.490850e+000	2.065819e-011
-2.490699999999994e+000	-2.490700e+000	2.066094e-011
-2.490549999999994e+000	-2.490550e+000	2.066365e-011
-2.490399999999994e+000	-2.490400e+000	2.066640e-011
-2.490249999999994e+000	-2.490250e+000	2.066916e-011
-2.490099999999994e+000	-2.490100e+000	2.067191e-011
-2.489949999999994e+000	-2.489950e+000	2.067466e-011
-2.489799999999994e+000	-2.489800e+000	2.067750e-011
-2.489649999999994e+000	-2.489650e+000	2.068026e-011
-2.489499999999993e+000	-2.489500e+000	2.068310e-011
-2.489349999999993e+000	-2.489350e+000	2.068590e-011
-2.489199999999993e+000	-2.489200e+000	2.068874e-011
-2.489049999999993e+000	-2.489050e+000	2.069163e-011
-2.488899999999993e+000	-2.488900e+000	2.069447e-011
-2.488749999999993e+000	-2.488750e+000	2.069731e-011
-2.488599999999993e+000	-2.488600e+000	2.070020e-011
-2.488449999999993e+000	-2.488450e+000	2.070308e-011
-2.488299999999993e+000	-2.488300e+000	2.070602e-011
-2.488149999999993e+000	-2.488150e+000	2.070894e-011
-2.487999999999992e+000	-2.488000e+000	2.071188e-011
-2.487849999999992e+000	-2.487850e+000	2.071481e-011
-2.487699999999992e+000	-2.487700e+000	2.071774e-011
-2.487549999999992e+000	-2.487550e+000	2.072076e-011
-2.487399999999992e+000	-2.487400e+000	2.072378e-011
