vdd	V(ds)	Id(M1)
0.000000000000000e+000	0.000000e+000	-4.893791e-031
1.000000000000000e-001	1.000000e-001	1.887807e-004
2.000000000000000e-001	2.000000e-001	3.681887e-004
3.000000000000000e-001	3.000000e-001	5.379948e-004
4.000000000000000e-001	4.000000e-001	6.979619e-004
5.000000000000000e-001	5.000000e-001	8.478482e-004
6.000000000000000e-001	6.000000e-001	9.874090e-004
7.000000000000000e-001	7.000000e-001	1.116397e-003
7.999999999999999e-001	8.000000e-001	1.234562e-003
8.999999999999999e-001	9.000000e-001	1.341654e-003
9.999999999999999e-001	1.000000e+000	1.437424e-003
1.100000000000000e+000	1.100000e+000	1.521621e-003
1.200000000000000e+000	1.200000e+000	1.594000e-003
1.300000000000000e+000	1.300000e+000	1.654316e-003
1.400000000000000e+000	1.400000e+000	1.702325e-003
1.500000000000000e+000	1.500000e+000	1.737792e-003
1.600000000000000e+000	1.600000e+000	1.760484e-003
1.700000000000000e+000	1.700000e+000	1.770172e-003
1.800000000000001e+000	1.800000e+000	1.770572e-003
1.900000000000001e+000	1.900000e+000	1.770615e-003
2.000000000000000e+000	2.000000e+000	1.770657e-003
2.100000000000001e+000	2.100000e+000	1.770700e-003
2.200000000000001e+000	2.200000e+000	1.770742e-003
2.300000000000001e+000	2.300000e+000	1.770784e-003
2.400000000000001e+000	2.400000e+000	1.770827e-003
2.500000000000001e+000	2.500000e+000	1.770869e-003
2.600000000000001e+000	2.600000e+000	1.770911e-003
2.700000000000001e+000	2.700000e+000	1.770953e-003
2.800000000000001e+000	2.800000e+000	1.770995e-003
2.900000000000001e+000	2.900000e+000	1.771038e-003
3.000000000000001e+000	3.000000e+000	1.771080e-003
3.100000000000001e+000	3.100000e+000	1.771122e-003
3.200000000000002e+000	3.200000e+000	1.771164e-003
3.300000000000002e+000	3.300000e+000	1.771207e-003
3.400000000000002e+000	3.400000e+000	1.771249e-003
3.500000000000002e+000	3.500000e+000	1.771291e-003
3.600000000000002e+000	3.600000e+000	1.771334e-003
3.700000000000002e+000	3.700000e+000	1.771376e-003
3.800000000000002e+000	3.800000e+000	1.771418e-003
3.900000000000002e+000	3.900000e+000	1.771460e-003
4.000000000000002e+000	4.000000e+000	1.771502e-003
4.100000000000001e+000	4.100000e+000	1.771545e-003
4.200000000000001e+000	4.200000e+000	1.771587e-003
4.300000000000001e+000	4.300000e+000	1.771629e-003
4.400000000000000e+000	4.400000e+000	1.771671e-003
4.500000000000000e+000	4.500000e+000	1.771714e-003
4.600000000000000e+000	4.600000e+000	1.771756e-003
4.699999999999999e+000	4.700000e+000	1.771798e-003
4.799999999999999e+000	4.800000e+000	1.771840e-003
4.899999999999999e+000	4.900000e+000	1.771883e-003
4.999999999999998e+000	5.000000e+000	1.771925e-003
5.099999999999998e+000	5.100000e+000	1.771967e-003
5.199999999999998e+000	5.200000e+000	1.772010e-003
5.299999999999997e+000	5.300000e+000	1.772052e-003
5.399999999999997e+000	5.400000e+000	1.772094e-003
5.499999999999996e+000	5.500000e+000	1.772136e-003
5.599999999999996e+000	5.600000e+000	1.772179e-003
5.699999999999996e+000	5.700000e+000	1.772221e-003
5.799999999999995e+000	5.800000e+000	1.772263e-003
5.899999999999995e+000	5.900000e+000	1.772305e-003
5.999999999999995e+000	6.000000e+000	1.772348e-003
6.099999999999994e+000	6.100000e+000	1.772390e-003
6.199999999999994e+000	6.200000e+000	1.772432e-003
6.299999999999994e+000	6.300000e+000	1.772474e-003
6.399999999999993e+000	6.400000e+000	1.772517e-003
6.499999999999993e+000	6.500000e+000	1.772559e-003
6.599999999999993e+000	6.600000e+000	1.772601e-003
6.699999999999992e+000	6.700000e+000	1.772643e-003
6.799999999999992e+000	6.800000e+000	1.772686e-003
6.899999999999992e+000	6.900000e+000	1.772728e-003
6.999999999999991e+000	7.000000e+000	1.772770e-003
7.099999999999991e+000	7.100000e+000	1.772813e-003
7.199999999999990e+000	7.200000e+000	1.772855e-003
7.299999999999990e+000	7.300000e+000	1.772897e-003
7.399999999999990e+000	7.400000e+000	1.772939e-003
7.499999999999989e+000	7.500000e+000	1.772982e-003
7.599999999999989e+000	7.600000e+000	1.773024e-003
7.699999999999989e+000	7.700000e+000	1.773066e-003
7.799999999999988e+000	7.800000e+000	1.773108e-003
7.899999999999988e+000	7.900000e+000	1.773151e-003
7.999999999999988e+000	8.000000e+000	1.773193e-003
8.099999999999987e+000	8.100000e+000	1.773235e-003
8.199999999999987e+000	8.200000e+000	1.773277e-003
8.299999999999987e+000	8.300000e+000	1.773320e-003
8.399999999999986e+000	8.400000e+000	1.773362e-003
8.499999999999986e+000	8.500000e+000	1.773404e-003
8.599999999999985e+000	8.600000e+000	1.773447e-003
8.699999999999985e+000	8.700000e+000	1.773489e-003
8.799999999999985e+000	8.800000e+000	1.773531e-003
8.899999999999984e+000	8.900000e+000	1.773573e-003
8.999999999999984e+000	9.000000e+000	1.773616e-003
9.099999999999984e+000	9.100000e+000	1.773658e-003
9.199999999999983e+000	9.200000e+000	1.773700e-003
9.299999999999983e+000	9.300000e+000	1.773742e-003
9.399999999999983e+000	9.400000e+000	1.773785e-003
9.499999999999982e+000	9.500000e+000	1.773827e-003
9.599999999999982e+000	9.600000e+000	1.773869e-003
9.699999999999982e+000	9.700000e+000	1.773912e-003
9.799999999999981e+000	9.800000e+000	1.773954e-003
9.899999999999981e+000	9.900000e+000	1.773996e-003
9.999999999999981e+000	1.000000e+001	1.774038e-003
1.009999999999998e+001	1.010000e+001	1.774081e-003
1.019999999999998e+001	1.020000e+001	1.774123e-003
1.029999999999998e+001	1.030000e+001	1.774165e-003
1.039999999999998e+001	1.040000e+001	1.774207e-003
1.049999999999998e+001	1.050000e+001	1.774250e-003
1.059999999999998e+001	1.060000e+001	1.774292e-003
1.069999999999998e+001	1.070000e+001	1.774334e-003
1.079999999999998e+001	1.080000e+001	1.774377e-003
1.089999999999998e+001	1.090000e+001	1.774419e-003
1.099999999999998e+001	1.100000e+001	1.774461e-003
1.109999999999998e+001	1.110000e+001	1.774503e-003
1.119999999999998e+001	1.120000e+001	1.774546e-003
1.129999999999998e+001	1.130000e+001	1.774588e-003
1.139999999999998e+001	1.140000e+001	1.774630e-003
1.149999999999998e+001	1.150000e+001	1.774673e-003
1.159999999999998e+001	1.160000e+001	1.774715e-003
1.169999999999997e+001	1.170000e+001	1.774757e-003
1.179999999999997e+001	1.180000e+001	1.774799e-003
1.189999999999997e+001	1.190000e+001	1.774842e-003
1.199999999999997e+001	1.200000e+001	1.774884e-003
1.209999999999997e+001	1.210000e+001	1.774926e-003
1.219999999999997e+001	1.220000e+001	1.774968e-003
1.229999999999997e+001	1.230000e+001	1.775011e-003
1.239999999999997e+001	1.240000e+001	1.775053e-003
1.249999999999997e+001	1.250000e+001	1.775095e-003
1.259999999999997e+001	1.260000e+001	1.775138e-003
1.269999999999997e+001	1.270000e+001	1.775180e-003
1.279999999999997e+001	1.280000e+001	1.775222e-003
1.289999999999997e+001	1.290000e+001	1.775265e-003
1.299999999999997e+001	1.300000e+001	1.775307e-003
1.309999999999997e+001	1.310000e+001	1.775349e-003
1.319999999999997e+001	1.320000e+001	1.775391e-003
1.329999999999997e+001	1.330000e+001	1.775434e-003
1.339999999999997e+001	1.340000e+001	1.775476e-003
1.349999999999997e+001	1.350000e+001	1.775518e-003
1.359999999999997e+001	1.360000e+001	1.775561e-003
1.369999999999997e+001	1.370000e+001	1.775603e-003
1.379999999999997e+001	1.380000e+001	1.775645e-003
1.389999999999997e+001	1.390000e+001	1.775687e-003
1.399999999999997e+001	1.400000e+001	1.775730e-003
1.409999999999997e+001	1.410000e+001	1.775772e-003
1.419999999999997e+001	1.420000e+001	1.775814e-003
1.429999999999997e+001	1.430000e+001	1.775857e-003
1.439999999999997e+001	1.440000e+001	1.775899e-003
1.449999999999996e+001	1.450000e+001	1.775941e-003
1.459999999999996e+001	1.460000e+001	1.775983e-003
1.469999999999996e+001	1.470000e+001	1.776026e-003
1.479999999999996e+001	1.480000e+001	1.776068e-003
1.489999999999996e+001	1.490000e+001	1.776110e-003
1.499999999999996e+001	1.500000e+001	1.776153e-003
1.509999999999996e+001	1.510000e+001	1.776195e-003
1.519999999999996e+001	1.520000e+001	1.776237e-003
1.529999999999996e+001	1.530000e+001	1.776280e-003
1.539999999999996e+001	1.540000e+001	1.776322e-003
1.549999999999996e+001	1.550000e+001	1.776364e-003
1.559999999999996e+001	1.560000e+001	1.776406e-003
1.569999999999996e+001	1.570000e+001	1.776449e-003
1.579999999999996e+001	1.580000e+001	1.776491e-003
1.589999999999996e+001	1.590000e+001	1.776533e-003
1.599999999999996e+001	1.600000e+001	1.776576e-003
1.609999999999996e+001	1.610000e+001	1.776618e-003
1.619999999999996e+001	1.620000e+001	1.776660e-003
1.629999999999996e+001	1.630000e+001	1.776702e-003
1.639999999999996e+001	1.640000e+001	1.776745e-003
1.649999999999996e+001	1.650000e+001	1.776787e-003
1.659999999999997e+001	1.660000e+001	1.776829e-003
1.669999999999997e+001	1.670000e+001	1.776872e-003
1.679999999999997e+001	1.680000e+001	1.776914e-003
1.689999999999997e+001	1.690000e+001	1.776956e-003
1.699999999999997e+001	1.700000e+001	1.776999e-003
1.709999999999997e+001	1.710000e+001	1.777041e-003
1.719999999999997e+001	1.720000e+001	1.777083e-003
1.729999999999998e+001	1.730000e+001	1.777126e-003
1.739999999999998e+001	1.740000e+001	1.777168e-003
1.749999999999998e+001	1.750000e+001	1.777210e-003
1.759999999999998e+001	1.760000e+001	1.777252e-003
1.769999999999998e+001	1.770000e+001	1.777295e-003
1.779999999999998e+001	1.780000e+001	1.777337e-003
1.789999999999998e+001	1.790000e+001	1.777379e-003
1.799999999999999e+001	1.800000e+001	1.777422e-003
1.809999999999999e+001	1.810000e+001	1.777464e-003
1.819999999999999e+001	1.820000e+001	1.777506e-003
1.829999999999999e+001	1.830000e+001	1.777549e-003
1.839999999999999e+001	1.840000e+001	1.777591e-003
1.849999999999999e+001	1.850000e+001	1.777633e-003
1.859999999999999e+001	1.860000e+001	1.777675e-003
1.870000000000000e+001	1.870000e+001	1.777718e-003
1.880000000000000e+001	1.880000e+001	1.777760e-003
1.890000000000000e+001	1.890000e+001	1.777802e-003
1.900000000000000e+001	1.900000e+001	1.777845e-003
1.910000000000000e+001	1.910000e+001	1.777887e-003
1.920000000000000e+001	1.920000e+001	1.777929e-003
1.930000000000000e+001	1.930000e+001	1.777972e-003
1.940000000000001e+001	1.940000e+001	1.778014e-003
1.950000000000001e+001	1.950000e+001	1.778056e-003
1.960000000000001e+001	1.960000e+001	1.778099e-003
1.970000000000001e+001	1.970000e+001	1.778141e-003
1.980000000000001e+001	1.980000e+001	1.778183e-003
1.990000000000001e+001	1.990000e+001	1.778225e-003
2.000000000000000e+001	2.000000e+001	1.778268e-003
