v2	V(ds)	I(R1)
0.000000000000000e+000	-1.088086e-010	1.026496e-013
1.000000000000000e-002	1.438536e-003	8.076853e-006
2.000000000000000e-002	2.878342e-003	1.615251e-005
3.000000000000000e-002	4.318467e-003	2.422786e-005
4.000000000000000e-002	5.759229e-003	3.230261e-005
5.000000000000000e-002	7.200630e-003	4.037676e-005
6.000000000000001e-002	8.642670e-003	4.845031e-005
7.000000000000001e-002	1.008535e-002	5.652325e-005
8.000000000000000e-002	1.152867e-002	6.459560e-005
9.000000000000000e-002	1.297263e-002	7.266733e-005
9.999999999999999e-002	1.441724e-002	8.073846e-005
1.100000000000000e-001	1.586248e-002	8.880898e-005
1.200000000000000e-001	1.730838e-002	9.687889e-005
1.300000000000000e-001	1.875491e-002	1.049482e-004
1.400000000000000e-001	2.020210e-002	1.130169e-004
1.500000000000000e-001	2.164993e-002	1.210850e-004
1.600000000000000e-001	2.309840e-002	1.291525e-004
1.700000000000000e-001	2.454753e-002	1.372193e-004
1.800000000000000e-001	2.599731e-002	1.452856e-004
1.900000000000000e-001	2.744773e-002	1.533512e-004
2.000000000000000e-001	2.889881e-002	1.614162e-004
2.100000000000001e-001	3.035054e-002	1.694806e-004
2.200000000000001e-001	3.180292e-002	1.775444e-004
2.300000000000001e-001	3.325596e-002	1.856076e-004
2.400000000000001e-001	3.470965e-002	1.936701e-004
2.500000000000001e-001	3.616400e-002	2.017321e-004
2.600000000000001e-001	3.761900e-002	2.097934e-004
2.700000000000001e-001	3.907466e-002	2.178541e-004
2.800000000000001e-001	4.053098e-002	2.259142e-004
2.900000000000001e-001	4.198796e-002	2.339736e-004
3.000000000000001e-001	4.344561e-002	2.420324e-004
3.100000000000001e-001	4.490390e-002	2.500907e-004
3.200000000000001e-001	4.636287e-002	2.581482e-004
3.300000000000001e-001	4.782249e-002	2.662052e-004
3.400000000000001e-001	4.928278e-002	2.742615e-004
3.500000000000001e-001	5.074374e-002	2.823172e-004
3.600000000000002e-001	5.220536e-002	2.903723e-004
3.700000000000002e-001	5.366765e-002	2.984267e-004
3.800000000000002e-001	5.513060e-002	3.064806e-004
3.900000000000002e-001	5.659422e-002	3.145337e-004
4.000000000000002e-001	5.805852e-002	3.225863e-004
4.100000000000002e-001	5.952348e-002	3.306382e-004
4.200000000000002e-001	6.098912e-002	3.386895e-004
4.300000000000002e-001	6.245542e-002	3.467402e-004
4.400000000000002e-001	6.392240e-002	3.547902e-004
4.500000000000002e-001	6.539006e-002	3.628396e-004
4.600000000000002e-001	6.685838e-002	3.708883e-004
4.700000000000003e-001	6.832739e-002	3.789364e-004
4.800000000000003e-001	6.979707e-002	3.869839e-004
