v1	I(R1)
1.000000000000000e+000	5.229694e-009
1.001000000000000e+000	5.333759e-009
1.002000000000000e+000	5.442033e-009
1.003000000000000e+000	5.551425e-009
1.004000000000000e+000	5.663022e-009
1.004999999999999e+000	5.776869e-009
1.005999999999999e+000	5.893011e-009
1.006999999999999e+000	6.011495e-009
1.007999999999999e+000	6.132368e-009
1.008999999999999e+000	6.255678e-009
1.009999999999999e+000	6.381473e-009
1.010999999999999e+000	6.509805e-009
1.011999999999999e+000	6.640723e-009
1.012999999999999e+000	6.774281e-009
1.013999999999999e+000	6.910530e-009
1.014999999999998e+000	7.049527e-009
1.015999999999998e+000	7.191325e-009
1.016999999999998e+000	7.335981e-009
1.017999999999998e+000	7.483553e-009
1.018999999999998e+000	7.634100e-009
1.019999999999998e+000	7.787681e-009
1.020999999999998e+000	7.944357e-009
1.021999999999998e+000	8.104192e-009
1.022999999999998e+000	8.267247e-009
1.023999999999997e+000	8.433589e-009
1.024999999999997e+000	8.603283e-009
1.025999999999997e+000	8.776396e-009
1.026999999999997e+000	8.952999e-009
1.027999999999997e+000	9.133161e-009
1.028999999999997e+000	9.316953e-009
1.029999999999997e+000	9.504448e-009
1.030999999999997e+000	9.695721e-009
1.031999999999997e+000	9.890849e-009
1.032999999999996e+000	1.008991e-008
1.033999999999996e+000	1.029298e-008
1.034999999999996e+000	1.050014e-008
1.035999999999996e+000	1.071147e-008
1.036999999999996e+000	1.092707e-008
1.037999999999996e+000	1.114700e-008
1.038999999999996e+000	1.137137e-008
1.039999999999996e+000	1.160026e-008
1.040999999999996e+000	1.183376e-008
1.041999999999995e+000	1.207196e-008
1.042999999999995e+000	1.231496e-008
1.043999999999995e+000	1.256286e-008
1.044999999999995e+000	1.281574e-008
1.045999999999995e+000	1.307373e-008
1.046999999999995e+000	1.333690e-008
1.047999999999995e+000	1.360538e-008
1.048999999999995e+000	1.387927e-008
1.049999999999995e+000	1.415867e-008
1.050999999999994e+000	1.444370e-008
1.051999999999994e+000	1.473447e-008
1.052999999999994e+000	1.503109e-008
1.053999999999994e+000	1.533369e-008
1.054999999999994e+000	1.564238e-008
1.055999999999994e+000	1.595729e-008
1.056999999999994e+000	1.627854e-008
1.057999999999994e+000	1.660625e-008
1.058999999999994e+000	1.694057e-008
1.059999999999993e+000	1.728161e-008
1.060999999999993e+000	1.762952e-008
1.061999999999993e+000	1.798444e-008
1.062999999999993e+000	1.834650e-008
1.063999999999993e+000	1.871584e-008
1.064999999999993e+000	1.909263e-008
1.065999999999993e+000	1.947699e-008
1.066999999999993e+000	1.986910e-008
1.067999999999993e+000	2.026909e-008
