v2	V(ds)	I(R1)
1.000000000000000e-003	7.002642e-006	1.873580e-007
1.100000000000000e-002	7.703139e-005	2.060938e-006
2.100000000000000e-002	1.471534e-004	3.934500e-006
3.100000000000000e-002	2.172989e-004	5.808057e-006
4.100000000000000e-002	2.874912e-004	7.681605e-006
5.100000000000000e-002	3.577305e-004	9.555145e-006
6.100000000000001e-002	4.280168e-004	1.142868e-005
7.100000000000001e-002	4.983503e-004	1.330220e-005
8.100000000000000e-002	5.687310e-004	1.517571e-005
9.100000000000000e-002	6.391591e-004	1.704921e-005
1.010000000000000e-001	7.096345e-004	1.892271e-005
1.110000000000000e-001	7.801575e-004	2.079620e-005
1.210000000000000e-001	8.507281e-004	2.266967e-005
1.310000000000000e-001	9.213465e-004	2.454314e-005
1.410000000000000e-001	9.920127e-004	2.641660e-005
1.510000000000000e-001	1.062727e-003	2.829005e-005
1.610000000000000e-001	1.133489e-003	3.016349e-005
1.710000000000000e-001	1.204299e-003	3.203693e-005
1.810000000000000e-001	1.275157e-003	3.391035e-005
1.910000000000000e-001	1.346064e-003	3.578376e-005
2.010000000000000e-001	1.417019e-003	3.765717e-005
2.110000000000001e-001	1.488023e-003	3.953056e-005
2.210000000000001e-001	1.559075e-003	4.140395e-005
2.310000000000001e-001	1.630176e-003	4.327733e-005
2.410000000000001e-001	1.701326e-003	4.515069e-005
2.510000000000001e-001	1.772525e-003	4.702405e-005
2.610000000000001e-001	1.843772e-003	4.889740e-005
2.710000000000001e-001	1.915069e-003	5.077074e-005
2.810000000000001e-001	1.986415e-003	5.264407e-005
2.910000000000001e-001	2.057811e-003	5.451739e-005
3.010000000000001e-001	2.129256e-003	5.639071e-005
3.110000000000001e-001	2.200750e-003	5.826401e-005
3.210000000000001e-001	2.272294e-003	6.013730e-005
3.310000000000001e-001	2.343888e-003	6.201059e-005
3.410000000000001e-001	2.415531e-003	6.388386e-005
3.510000000000002e-001	2.487225e-003	6.575713e-005
3.610000000000002e-001	2.558968e-003	6.763038e-005
3.710000000000002e-001	2.630762e-003	6.950363e-005
3.810000000000002e-001	2.702606e-003	7.137687e-005
3.910000000000002e-001	2.774501e-003	7.325009e-005
4.010000000000002e-001	2.846446e-003	7.512331e-005
4.110000000000002e-001	2.918441e-003	7.699652e-005
4.210000000000002e-001	2.990487e-003	7.886972e-005
4.310000000000002e-001	3.062584e-003	8.074291e-005
4.410000000000002e-001	3.134732e-003	8.261609e-005
4.510000000000002e-001	3.206931e-003	8.448926e-005
4.610000000000002e-001	3.279181e-003	8.636242e-005
4.710000000000003e-001	3.351483e-003	8.823557e-005
4.810000000000003e-001	3.423835e-003	9.010871e-005
4.910000000000003e-001	3.496239e-003	9.198184e-005
5.010000000000002e-001	3.568695e-003	9.385496e-005
5.110000000000002e-001	3.641202e-003	9.572807e-005
5.210000000000002e-001	3.713762e-003	9.760118e-005
5.310000000000003e-001	3.786373e-003	9.947427e-005
5.410000000000003e-001	3.859036e-003	1.013474e-004
5.510000000000003e-001	3.931751e-003	1.032204e-004
5.610000000000003e-001	4.004519e-003	1.050935e-004
5.710000000000003e-001	4.077339e-003	1.069665e-004
5.810000000000003e-001	4.150211e-003	1.088396e-004
5.910000000000003e-001	4.223136e-003	1.107126e-004
6.010000000000003e-001	4.296113e-003	1.125856e-004
6.110000000000003e-001	4.369144e-003	1.144586e-004
6.210000000000003e-001	4.442227e-003	1.163317e-004
6.310000000000003e-001	4.515364e-003	1.182046e-004
6.410000000000004e-001	4.588553e-003	1.200776e-004
6.510000000000004e-001	4.661796e-003	1.219506e-004
6.610000000000004e-001	4.735093e-003	1.238236e-004
6.710000000000004e-001	4.808442e-003	1.256965e-004
6.810000000000004e-001	4.881846e-003	1.275695e-004
6.910000000000004e-001	4.955303e-003	1.294424e-004
7.010000000000004e-001	5.028814e-003	1.313153e-004
7.110000000000004e-001	5.102379e-003	1.331882e-004
7.210000000000004e-001	5.175998e-003	1.350611e-004
7.310000000000004e-001	5.249672e-003	1.369340e-004
7.410000000000004e-001	5.323400e-003	1.388069e-004
7.510000000000004e-001	5.397182e-003	1.406798e-004
7.610000000000005e-001	5.471019e-003	1.425526e-004
7.710000000000005e-001	5.544911e-003	1.444255e-004
7.810000000000005e-001	5.618857e-003	1.462983e-004
7.910000000000005e-001	5.692858e-003	1.481712e-004
8.010000000000005e-001	5.766915e-003	1.500440e-004
8.110000000000005e-001	5.841027e-003	1.519168e-004
8.210000000000005e-001	5.915194e-003	1.537896e-004
8.310000000000005e-001	5.989417e-003	1.556624e-004
8.410000000000005e-001	6.063695e-003	1.575351e-004
8.510000000000005e-001	6.138029e-003	1.594079e-004
8.610000000000005e-001	6.212418e-003	1.612807e-004
8.710000000000006e-001	6.286864e-003	1.631534e-004
8.810000000000006e-001	6.361366e-003	1.650262e-004
8.910000000000006e-001	6.435924e-003	1.668989e-004
9.010000000000006e-001	6.510539e-003	1.687716e-004
9.110000000000006e-001	6.585209e-003	1.706443e-004
9.210000000000006e-001	6.659937e-003	1.725170e-004
9.310000000000006e-001	6.734721e-003	1.743897e-004
9.410000000000006e-001	6.809562e-003	1.762623e-004
9.510000000000006e-001	6.884460e-003	1.781350e-004
9.610000000000006e-001	6.959416e-003	1.800077e-004
9.710000000000006e-001	7.034428e-003	1.818803e-004
9.810000000000007e-001	7.109499e-003	1.837529e-004
9.910000000000007e-001	7.184626e-003	1.856255e-004
1.001000000000001e+000	7.259811e-003	1.874982e-004
1.011000000000001e+000	7.335054e-003	1.893707e-004
1.021000000000001e+000	7.410355e-003	1.912433e-004
1.031000000000001e+000	7.485714e-003	1.931159e-004
1.041000000000001e+000	7.561131e-003	1.949885e-004
1.051000000000001e+000	7.636607e-003	1.968610e-004
1.061000000000001e+000	7.712141e-003	1.987336e-004
1.071000000000001e+000	7.787734e-003	2.006061e-004
1.081000000000001e+000	7.863386e-003	2.024786e-004
1.091000000000001e+000	7.939096e-003	2.043511e-004
1.101000000000001e+000	8.014865e-003	2.062236e-004
1.111000000000001e+000	8.090694e-003	2.080961e-004
1.121000000000001e+000	8.166581e-003	2.099686e-004
1.131000000000001e+000	8.242529e-003	2.118410e-004
1.141000000000001e+000	8.318536e-003	2.137135e-004
1.151000000000001e+000	8.394603e-003	2.155859e-004
1.161000000000001e+000	8.470729e-003	2.174583e-004
1.171000000000001e+000	8.546916e-003	2.193308e-004
1.181000000000001e+000	8.623162e-003	2.212032e-004
1.191000000000001e+000	8.699469e-003	2.230756e-004
1.201000000000001e+000	8.775837e-003	2.249480e-004
1.211000000000001e+000	8.852266e-003	2.268203e-004
1.221000000000001e+000	8.928754e-003	2.286927e-004
1.231000000000001e+000	9.005304e-003	2.305650e-004
1.241000000000001e+000	9.081915e-003	2.324374e-004
1.251000000000001e+000	9.158587e-003	2.343097e-004
1.261000000000001e+000	9.235321e-003	2.361820e-004
1.271000000000001e+000	9.312115e-003	2.380543e-004
1.281000000000001e+000	9.388971e-003	2.399266e-004
