time	V(vd)	V(n001)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.872457149649470e-011	2.005313e-005	5.883630e-002	5.711275e-006
3.744914299298940e-011	7.332948e-005	1.176467e-001	1.141461e-005
5.617371448948410e-011	1.598290e-004	1.764311e-001	1.711000e-005
7.489828598597880e-011	2.795518e-004	2.351896e-001	2.279744e-005
9.362285748247350e-011	4.324978e-004	2.939222e-001	2.847695e-005
1.123474289789682e-010	6.186670e-004	3.526288e-001	3.414851e-005
1.310720004754629e-010	8.380594e-004	4.113095e-001	3.981213e-005
2.621440009509257e-010	3.134647e-003	8.198310e-001	7.906735e-005
4.621440009509258e-010	8.822801e-003	1.431551e+000	1.375811e-004
6.621440009509258e-010	1.708997e-002	2.020695e+000	1.937514e-004
8.621440009509258e-010	2.802069e-002	2.577971e+000	2.465814e-004
1.062144000950926e-009	4.139229e-002	3.094591e+000	2.952427e-004
1.262144000950926e-009	5.693875e-002	3.562408e+000	3.389733e-004
1.462144000950926e-009	7.435665e-002	3.974043e+000	3.770893e-004
1.662144000950926e-009	9.331173e-002	4.323005e+000	4.089952e-004
1.862144000950926e-009	1.134455e-001	4.603791e+000	4.341937e-004
2.062144000950926e-009	1.343814e-001	4.811973e+000	4.522931e-004
2.262144000950926e-009	1.557357e-001	4.944266e+000	4.632625e-004
2.435927383905708e-009	1.743276e-001	4.995949e+000	4.665373e-004
2.626174522379971e-009	1.943726e-001	4.984296e+000	4.632264e-004
2.826174522379971e-009	2.147513e-001	4.895364e+000	4.525546e-004
3.026174522379972e-009	2.340585e-001	4.729230e+000	4.346143e-004
3.226174522379972e-009	2.519412e-001	4.488513e+000	4.095998e-004
3.426174522379972e-009	2.681033e-001	4.177010e+000	3.779070e-004
3.626174522379972e-009	2.823187e-001	3.799632e+000	3.400329e-004
3.826174522379972e-009	2.944430e-001	3.362333e+000	2.965671e-004
4.026174522379972e-009	3.044112e-001	2.872007e+000	2.481827e-004
4.226174522379972e-009	3.122219e-001	2.336387e+000	1.956277e-004
4.426174522379972e-009	3.179131e-001	1.763922e+000	1.397152e-004
4.626174522379973e-009	3.215356e-001	1.163639e+000	8.131330e-005
4.826174522379973e-009	3.231311e-001	5.450038e-001	2.133355e-005
5.026174522379973e-009	3.227181e-001	-8.222598e-002	-3.928238e-005
5.226174522379973e-009	3.202835e-001	-7.081590e-001	-9.957665e-005
5.426174522379973e-009	3.157842e-001	-1.322924e+000	-1.585904e-004
5.626174522379973e-009	3.091547e-001	-1.916826e+000	-2.153799e-004
5.826174522379973e-009	3.003237e-001	-2.480498e+000	-2.690322e-004
6.026174522379974e-009	2.892392e-001	-3.005051e+000	-3.186829e-004
6.226174522379974e-009	2.758964e-001	-3.482213e+000	-3.635313e-004
6.426174522379974e-009	2.603626e-001	-3.904458e+000	-4.028564e-004
6.626174522379974e-009	2.427914e-001	-4.265128e+000	-4.360291e-004
6.826174522379974e-009	2.234199e-001	-4.558534e+000	-4.625222e-004
7.026174522379974e-009	2.025535e-001	-4.780049e+000	-4.819180e-004
7.226174522379974e-009	1.805439e-001	-4.926180e+000	-4.939127e-004
7.426174522379975e-009	1.577711e-001	-4.994622e+000	-4.983552e-004
