time	V(vd)	V(n001)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.462857137011855e-009	1.152516e-005	4.595701e-004	4.349948e-008
2.925714274023709e-009	4.019067e-005	9.191402e-004	8.533489e-008
4.388571411035564e-009	8.599654e-005	1.378710e-003	1.255062e-007
5.851428548047419e-009	1.489428e-004	1.838280e-003	1.640135e-007
7.314285685059273e-009	2.290294e-004	2.297851e-003	2.008567e-007
8.777142822071128e-009	3.262563e-004	2.757421e-003	2.360359e-007
1.023999995908298e-008	4.406236e-004	3.216991e-003	2.695509e-007
2.047999991816596e-008	1.480777e-003	6.433980e-003	4.808964e-007
3.126023940414708e-008	3.043850e-003	9.820688e-003	6.579499e-007
4.455557189430390e-008	5.554903e-003	1.399753e-002	8.196776e-007
6.165448996074112e-008	9.437791e-003	1.936928e-002	9.642287e-007
8.501987561385076e-008	1.549841e-002	2.670966e-002	1.088477e-006
1.162047711112924e-007	2.435390e-002	3.650648e-002	1.179867e-006
1.600774227352249e-007	3.751520e-002	5.028896e-002	1.240164e-006
2.238244823464172e-007	5.715459e-002	7.031421e-002	1.277591e-006
3.270385512208669e-007	8.919076e-002	1.027350e-001	1.314760e-006
5.190226349229599e-007	1.476970e-001	1.630269e-001	1.487042e-006
9.029908023271458e-007	2.531872e-001	2.835307e-001	2.941750e-006
1.306012382554690e-006	3.342553e-001	4.098356e-001	7.331524e-006
1.773761165481326e-006	3.870939e-001	5.560907e-001	1.639409e-005
2.394067438590476e-006	4.229830e-001	7.492853e-001	3.165288e-005
3.043325330447039e-006	4.446107e-001	9.502730e-001	4.903250e-005
4.063020966949822e-006	4.650223e-001	1.262616e+000	7.717323e-005
6.063020966949822e-006	4.902295e-001	1.859017e+000	1.321843e-004
8.063020966949821e-006	5.069109e-001	2.426099e+000	1.854075e-004
1.006302096694982e-005	5.183159e-001	2.954921e+000	2.354457e-004
1.206302096694982e-005	5.266215e-001	3.437141e+000	2.812705e-004
1.406302096694982e-005	5.328476e-001	3.865156e+000	3.220507e-004
1.606302096694982e-005	5.376003e-001	4.232215e+000	3.570829e-004
1.806302096694982e-005	5.411639e-001	4.532530e+000	3.857778e-004
2.006302096694982e-005	5.437083e-001	4.761364e+000	4.076596e-004
2.206302096694982e-005	5.453447e-001	4.915108e+000	4.223683e-004
2.406302096694983e-005	5.461389e-001	4.991338e+000	4.296629e-004
2.606302096694983e-005	5.461211e-001	4.988852e+000	4.294241e-004
2.806302096694983e-005	5.452903e-001	4.907688e+000	4.216559e-004
3.006302096694983e-005	5.436148e-001	4.749127e+000	4.064851e-004
3.206302096694983e-005	5.410265e-001	4.515670e+000	3.841601e-004
3.406302096694983e-005	5.374092e-001	4.210998e+000	3.550483e-004
3.606302096694983e-005	5.325755e-001	3.839916e+000	3.196328e-004
3.806302096694983e-005	5.262198e-001	3.408276e+000	2.785092e-004
4.006302096694984e-005	5.178182e-001	2.922886e+000	2.323877e-004
4.206302096694984e-005	5.063813e-001	2.391400e+000	1.821072e-004
4.406302096694984e-005	4.894550e-001	1.822200e+000	1.287091e-004
4.606302096694984e-005	4.579825e-001	1.224263e+000	7.393389e-005
4.806302096694984e-005	3.723580e-001	6.070188e-001	2.263590e-005
4.915903081174755e-005	2.137309e-001	2.640753e-001	4.854571e-006
5.048027015787408e-005	-1.397959e-001	-1.508584e-001	-1.068174e-006
5.108537266738511e-005	-3.289341e-001	-3.407156e-001	-1.130979e-006
5.172577564831241e-005	-5.297442e-001	-5.411066e-001	-1.055326e-006
5.300658161016700e-005	-9.275635e-001	-9.389375e-001	-9.576814e-007
5.428019546559055e-005	-1.316023e+000	-1.328513e+000	-8.707517e-007
5.628019546559056e-005	-1.906742e+000	-1.922178e+000	-7.627563e-007
5.828019546559056e-005	-2.468857e+000	-2.485529e+000	-6.670701e-007
6.028019546559056e-005	-2.991835e+000	-3.009682e+000	-5.804593e-007
6.228019546559055e-005	-3.467492e+000	-3.486370e+000	-4.981267e-007
6.428019546559055e-005	-3.888354e+000	-3.908076e+000	-4.186238e-007
6.628019546559054e-005	-4.247815e+000	-4.268150e+000	-3.402306e-007
6.828019546559054e-005	-4.540223e+000	-4.560912e+000	-2.627104e-007
7.028019546559053e-005	-4.760984e+000	-4.781746e+000	-1.853341e-007
7.228019546559052e-005	-4.906628e+000	-4.927169e+000	-1.082221e-007
7.428019546559052e-005	-4.975346e+000	-4.994887e+000	-3.106240e-008
7.623230782738551e-005	-4.966292e+000	-4.985020e+000	4.416379e-008
7.823230782738551e-005	-4.879180e+000	-4.897238e+000	1.213420e-007
8.023230782738550e-005	-4.715611e+000	-4.732224e+000	1.984501e-007
8.223230782738550e-005	-4.477707e+000	-4.492580e+000	2.757381e-007
8.423230782738549e-005	-4.169235e+000	-4.182086e+000	3.533162e-007
8.623230782738549e-005	-3.795077e+000	-3.805637e+000	4.316819e-007
8.823230782738548e-005	-3.361154e+000	-3.369171e+000	5.115256e-007
9.023230782738548e-005	-2.874336e+000	-2.879572e+000	5.941806e-007
9.223230782738547e-005	-2.342338e+000	-2.344560e+000	6.820118e-007
9.423230782738546e-005	-1.773609e+000	-1.772573e+000	7.793862e-007
9.623230782738546e-005	-1.177230e+000	-1.172631e+000	8.955566e-007
9.823230782738545e-005	-5.628792e-001	-5.541958e-001	1.055333e-006
1.002323078273855e-004	3.726607e-002	7.297906e-002	3.469997e-006
1.014262553540609e-004	3.199976e-001	4.474719e-001	1.234379e-005
1.021783660285339e-004	4.094682e-001	6.822191e-001	2.644426e-005
1.029862615636699e-004	4.421206e-001	9.326666e-001	4.754958e-005
1.040542080683126e-004	4.656679e-001	1.259937e+000	7.696652e-005
1.052031426935130e-004	4.818691e-001	1.605653e+000	1.087350e-004
1.072031426935130e-004	5.006572e-001	2.186467e+000	1.628439e-004
1.092031426935130e-004	5.140042e-001	2.732799e+000	2.143942e-004
1.112031426935130e-004	5.234164e-001	3.236032e+000	2.621413e-004
1.132031426935130e-004	5.303761e-001	3.688232e+000	3.051836e-004
1.152031426935130e-004	5.357127e-001	4.082266e+000	3.427660e-004
1.172031426935130e-004	5.397650e-001	4.411921e+000	3.742504e-004
1.192031426935130e-004	5.427310e-001	4.671997e+000	3.991125e-004
1.212031426935129e-004	5.447474e-001	4.858392e+000	4.169417e-004
1.232031426935129e-004	5.459346e-001	4.968168e+000	4.277971e-004
