time	V(vd)	V(n001)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.744914348862468e-012	1.418999e-005	1.177404e-001	1.143178e-005
7.489828697724936e-012	4.056170e-005	2.352736e-001	2.283092e-005
1.123474304658740e-011	7.911514e-005	3.525995e-001	3.419743e-005
1.497965739544987e-011	1.298503e-004	4.697182e-001	4.553132e-005
1.872457174431234e-011	1.927672e-004	5.866297e-001	5.683257e-005
2.246948609317481e-011	2.678658e-004	7.033340e-001	6.810118e-005
2.621440044203727e-011	3.551461e-004	8.198310e-001	7.933717e-005
4.621440044203726e-011	9.583089e-004	1.431551e+000	1.383445e-004
6.621440044203726e-011	1.823874e-003	2.020695e+000	1.952334e-004
8.621440044203725e-011	2.963678e-003	2.577971e+000	2.490139e-004
1.062144004420373e-010	4.359233e-003	3.094591e+000	2.988380e-004
1.262144004420373e-010	5.987974e-003	3.562408e+000	3.439199e-004
1.462144004420373e-010	7.823633e-003	3.974043e+000	3.835487e-004
1.662144004420373e-010	9.836680e-003	4.323005e+000	4.170995e-004
1.862144004420373e-010	1.199482e-002	4.603791e+000	4.440432e-004
2.062144004420373e-010	1.426352e-002	4.811973e+000	4.639550e-004
2.262144004420373e-010	1.660590e-002	4.944266e+000	4.767702e-004
2.435927385195854e-010	1.867412e-002	4.995949e+000	4.816493e-004
2.626174522860151e-010	2.094113e-002	4.984296e+000	4.800644e-004
2.826174522860151e-010	2.329178e-002	4.895364e+000	4.711429e-004
3.026174522860151e-010	2.557393e-002	4.729230e+000	4.548554e-004
3.226174522860151e-010	2.775151e-002	4.488513e+000	4.313655e-004
3.426174522860151e-010	2.979035e-002	4.177010e+000	4.010438e-004
3.626174522860151e-010	3.165854e-002	3.799632e+000	3.643683e-004
3.826174522860150e-010	3.332688e-002	3.362333e+000	3.219174e-004
4.026174522860150e-010	3.476938e-002	2.872007e+000	2.743606e-004
4.226174522860150e-010	3.596357e-002	2.336387e+000	2.224478e-004
4.426174522860150e-010	3.689087e-002	1.763922e+000	1.669977e-004
4.626174522860150e-010	3.753684e-002	1.163639e+000	1.088849e-004
4.826174522860150e-010	3.789140e-002	5.450038e-001	4.902560e-005
5.026174522860150e-010	3.794896e-002	-8.222598e-002	-1.163599e-005
5.226174522860151e-010	3.770849e-002	-7.081590e-001	-7.214325e-005
5.426174522860151e-010	3.717357e-002	-1.322924e+000	-1.315419e-004
5.626174522860151e-010	3.635230e-002	-1.916826e+000	-1.888952e-004
5.826174522860152e-010	3.525721e-002	-2.480498e+000	-2.432986e-004
6.026174522860152e-010	3.390508e-002	-3.005051e+000	-2.938940e-004
6.226174522860152e-010	3.231666e-002	-3.482213e+000	-3.398835e-004
6.426174522860153e-010	3.051642e-002	-3.904458e+000	-3.805418e-004
6.626174522860153e-010	2.853216e-002	-4.265128e+000	-4.152276e-004
6.826174522860154e-010	2.639461e-002	-4.558534e+000	-4.433937e-004
7.026174522860154e-010	2.413699e-002	-4.780049e+000	-4.645961e-004
7.226174522860154e-010	2.179446e-002	-4.926180e+000	-4.785002e-004
7.426174522860155e-010	1.940359e-002	-4.994622e+000	-4.849215e-004
7.622543805575631e-010	1.704529e-002	-4.985186e+000	-4.837800e-004
7.822543805575631e-010	1.466976e-002	-4.897673e+000	-4.750518e-004
8.022543805575631e-010	1.235790e-002	-4.732921e+000	-4.588950e-004
8.222543805575632e-010	1.014629e-002	-4.493527e+000	-4.355298e-004
8.422543805575632e-010	8.069970e-003	-4.183268e+000	-4.053248e-004
8.622543805575632e-010	6.161938e-003	-3.807037e+000	-3.687562e-004
8.822543805575633e-010	4.452567e-003	-3.370766e+000	-3.264008e-004
9.022543805575633e-010	2.969113e-003	-2.881336e+000	-2.789267e-004
9.222543805575633e-010	1.735261e-003	-2.346466e+000	-2.270825e-004
9.422543805575634e-010	7.707187e-004	-1.774590e+000	-1.716859e-004
9.622543805575633e-010	9.088384e-005	-1.174729e+000	-1.136105e-004
9.822543805575632e-010	-2.934183e-004	-5.563406e-001	-5.377221e-005
1.002254380557563e-009	-3.761217e-004	7.082108e-002	6.885243e-006
1.022254380557563e-009	-1.560243e-004	6.968659e-001	6.740529e-005
1.042254380557563e-009	3.631910e-004	1.311921e+000	1.268335e-004
1.062254380557563e-009	1.173019e-003	1.906286e+000	1.842327e-004
1.082254380557563e-009	2.260276e-003	2.470588e+000	2.386977e-004
1.102254380557563e-009	3.607326e-003	2.995927e+000	2.893697e-004
1.122254380557563e-009	5.192382e-003	3.474019e+000	3.354494e-004
1.142254380557563e-009	6.989870e-003	3.897323e+000	3.762104e-004
1.162254380557563e-009	8.970865e-003	4.259164e+000	4.110098e-004
1.182254380557563e-009	1.110357e-002	4.553835e+000	4.392988e-004
1.202254380557563e-009	1.335385e-002	4.776690e+000	4.606314e-004
1.222254380557562e-009	1.568577e-002	4.924214e+000	4.746713e-004
1.242254380557562e-009	1.806225e-002	4.994080e+000	4.812098e-004
1.262119175882335e-009	2.042953e-002	4.985511e+000	4.801513e-004
1.282119175882335e-009	2.278223e-002	4.898526e+000	4.714981e-004
1.302119175882335e-009	2.506718e-002	4.734289e+000	4.553937e-004
1.322119175882335e-009	2.724843e-002	4.495389e+000	4.320793e-004
1.342119175882335e-009	2.929173e-002	4.185593e+000	4.019223e-004
1.362119175882335e-009	3.116511e-002	3.809789e+000	3.653984e-004
1.382119175882335e-009	3.283930e-002	3.373902e+000	3.230835e-004
1.402119175882334e-009	3.428821e-002	2.884806e+000	2.756451e-004
1.422119175882334e-009	3.548928e-002	2.350216e+000	2.238311e-004
1.442119175882334e-009	3.642382e-002	1.778561e+000	1.684587e-004
1.462119175882334e-009	3.707729e-002	1.178857e+000	1.104011e-004
1.482119175882334e-009	3.743949e-002	5.605617e-001	5.057399e-005
1.502119175882334e-009	3.750471e-002	-6.657390e-002	-1.007923e-005
1.522119175882334e-009	3.727181e-002	-6.926596e-001	-7.060199e-005
1.542119175882334e-009	3.674427e-002	-1.307822e+000	-1.300398e-004
1.562119175882334e-009	3.593006e-002	-1.902358e+000	-1.874552e-004
1.582119175882334e-009	3.484163e-002	-2.466894e+000	-2.419427e-004
1.602119175882334e-009	3.349562e-002	-2.992525e+000	-2.926429e-004
1.622119175882334e-009	3.191272e-002	-3.470963e+000	-3.387563e-004
1.642119175882334e-009	3.011731e-002	-3.894660e+000	-3.795556e-004
1.662119175882334e-009	2.813712e-002	-4.256938e+000	-4.143972e-004
1.682119175882333e-009	2.600281e-002	-4.552080e+000	-4.427316e-004
1.702119175882333e-009	2.374755e-002	-4.775434e+000	-4.641120e-004
1.722119175882333e-009	2.140647e-002	-4.923476e+000	-4.782010e-004
1.742119175882333e-009	1.901615e-002	-4.993872e+000	-4.847814e-004
1.762068820460610e-009	1.662009e-002	-4.985631e+000	-4.837519e-004
1.782068820460610e-009	1.424389e-002	-4.898843e+000	-4.751236e-004
1.802068820460609e-009	1.193106e-002	-4.734797e+000	-4.590350e-004
1.822068820460609e-009	9.718151e-003	-4.496081e+000	-4.357352e-004
1.842068820460609e-009	7.640254e-003	-4.186459e+000	-4.055916e-004
1.862068820460609e-009	5.730379e-003	-3.810813e+000	-3.690795e-004
1.882068820460609e-009	4.018933e-003	-3.375069e+000	-3.267749e-004
1.902068820460609e-009	2.533210e-003	-2.886098e+000	-2.793449e-004
1.922068820460609e-009	1.296931e-003	-2.351612e+000	-2.275376e-004
1.942068820460609e-009	3.298479e-004	-1.780039e+000	-1.721700e-004
1.962068820460609e-009	-3.525981e-004	-1.180394e+000	-1.141153e-004
1.982068820460609e-009	-7.473967e-004	-5.621336e-001	-5.430319e-005
2.000000000000000e-009	-9.061729e-004	6.432491e-015	8.797925e-008
