freq    vd-db   vd-ph   id-db   id-ph
1.00000000000000e+001   -4.97381612383920e-003    -1.48276299889840e-004    -1.45101634231018e+002    2.58862423978114e-001
1.02329299228075e+001   -4.97381612521222e-003    -1.51730098598577e-004    -1.45101630053119e+002    2.64892019480012e-001
1.04712854805090e+001   -4.97381612664603e-003    -1.55264346613975e-004    -1.45101625647780e+002    2.71062055274687e-001
1.07151930523761e+001   -4.97381612814835e-003    -1.58880917841112e-004    -1.45101621066813e+002    2.77375804109327e-001
1.09647819614319e+001   -4.97381612972207e-003    -1.62581729833924e-004    -1.45101616269958e+002    2.83836612071953e-001
1.12201845430196e+001   -4.97381613137105e-003    -1.66368744811917e-004    -1.45101611247039e+002    2.90447904111156e-001
1.14815362149688e+001   -4.97381613309625e-003    -1.70243970700557e-004    -1.45101605987404e+002    2.97213184916570e-001
1.17489755493953e+001   -4.97381613490540e-003    -1.74209462195906e-004    -1.45101600449351e+002    3.04136039705660e-001
1.20226443461741e+001   -4.97381613679657e-003    -1.78267321854043e-004    -1.45101594682291e+002    3.11220140371598e-001
1.23026877081238e+001   -4.97381613877843e-003    -1.82419701205873e-004    -1.45101588643445e+002    3.18469241088060e-001
1.25892541179417e+001   -4.97381614085099e-003    -1.86668801897889e-004    -1.45101582320007e+002    3.25887184494675e-001
1.28824955169313e+001   -4.97381614302487e-003    -1.91016876859522e-004    -1.45101575668018e+002    3.33477901515615e-001
1.31825673855641e+001   -4.97381614529909e-003    -1.95466231497671e-004    -1.45101568734527e+002    3.41245418100987e-001
1.34896288259165e+001   -4.97381614768138e-003    -2.00019224919057e-004    -1.45101561474282e+002    3.49193850403541e-001
1.38038426460288e+001   -4.97381615017463e-003    -2.04678271181060e-004    -1.45101553871885e+002    3.57327411561979e-001
1.41253754462275e+001   -4.97381615278752e-003    -2.09445840571677e-004    -1.45101545880668e+002    3.65650411499994e-001
1.44543977074593e+001   -4.97381615552295e-003    -2.14324460919304e-004    -1.45101537544836e+002    3.74167264318789e-001
1.47910838816821e+001   -4.97381615838672e-003    -2.19316718933026e-004    -1.45101528816166e+002    3.82882483004691e-001
1.51356124843621e+001   -4.97381616138653e-003    -2.24425261574121e-004    -1.45101519645600e+002    3.91800685488803e-001
1.54881661891248e+001   -4.97381616452625e-003    -2.29652797459518e-004    -1.45101510074844e+002    4.00926601314545e-001
1.58489319246111e+001   -4.97381616781456e-003    -2.35002098297937e-004    -1.45101500053055e+002    4.10265065965719e-001
1.62181009735893e+001   -4.97381617125725e-003    -2.40476000359488e-004    -1.45101489528434e+002    4.19821027356385e-001
1.65958690743756e+001   -4.97381617486494e-003    -2.46077405979500e-004    -1.45101478539813e+002    4.29599552975157e-001
1.69824365246174e+001   -4.97381617863858e-003    -2.51809285097376e-004    -1.45101467002801e+002    4.39605822257619e-001
1.73780082874937e+001   -4.97381618259362e-003    -2.57674676831293e-004    -1.45101454954082e+002    4.49845141274497e-001
1.77827941003892e+001   -4.97381618673296e-003    -2.63676691089586e-004    -1.45101442307017e+002    4.60322933298675e-001
1.81970085860998e+001   -4.97381619106720e-003    -2.69818510219661e-004    -1.45101429095936e+002    4.71044754190035e-001
1.86208713666287e+001   -4.97381619560599e-003    -2.76103390695316e-004    -1.45101415231736e+002    4.82016282521039e-001
1.90546071796325e+001   -4.97381620035899e-003    -2.82534664843369e-004    -1.45101400746167e+002    4.93243335672204e-001
1.94984459975804e+001   -4.97381620533584e-003    -2.89115742610501e-004    -1.45101385547422e+002    5.04731859490349e-001
1.99526231496888e+001   -4.97381621054812e-003    -2.95850113371253e-004    -1.45101369664423e+002    5.16487945155999e-001
2.04173794466953e+001   -4.97381621600355e-003    -3.02741347778143e-004    -1.45101353002399e+002    5.28517818348613e-001
2.08929613085404e+001   -4.97381622171853e-003    -3.09793099654869e-004    -1.45101335556626e+002    5.40827854994335e-001
2.13796208950223e+001   -4.97381622770175e-003    -3.17009107933615e-004    -1.45101317320718e+002    5.53424579428175e-001
2.18776162394955e+001   -4.97381623396865e-003    -3.24393198637485e-004    -1.45101298194917e+002    5.66314661884132e-001
2.23872113856834e+001   -4.97381624052983e-003    -3.31949286909110e-004    -1.45101278169273e+002    5.79504933523851e-001
2.29086765276777e+001   -4.97381624739978e-003    -3.39681379086507e-004    -1.45101257231932e+002    5.93002384497313e-001
2.34422881531992e+001   -4.97381625459296e-003    -3.47593574827293e-004    -1.45101235277410e+002    6.06814161209946e-001
2.39883291901949e+001   -4.97381626212577e-003    -3.55690069282379e-004    -1.45101212289761e+002    6.20947582456505e-001
2.45470891568503e+001   -4.97381627001463e-003    -3.63975155320294e-004    -1.45101188220308e+002    6.35410135078137e-001
2.51188643150958e+001   -4.97381627827304e-003    -3.72453225803320e-004    -1.45101163018078e+002    6.50209479935696e-001
2.57039578276886e+001   -4.97381628692415e-003    -3.81128775916646e-004    -1.45101136629701e+002    6.65353455931718e-001
