time	V(be)	V(ce)	Ib(Q1)	Ic(Q1)	Ie(Q1)
0.000000000000000e+000	6.033971e-001	2.319347e+000	9.224142e-007	2.680653e-004	-2.689877e-004
2.047999885235186e-007	6.034019e-001	2.318938e+000	9.298520e-007	2.681063e-004	-2.690361e-004
1.031071992655052e-004	6.063854e-001	2.011264e+000	1.040729e-006	2.988736e-004	-2.999143e-004
1.531071992655052e-004	6.074597e-001	1.892556e+000	1.081920e-006	3.107444e-004	-3.118264e-004
1.931071992655052e-004	6.080365e-001	1.826980e+000	1.103674e-006	3.173021e-004	-3.184057e-004
2.331071992655052e-004	6.083220e-001	1.794030e+000	1.113222e-006	3.205971e-004	-3.217103e-004
2.631071992655052e-004	6.083336e-001	1.792681e+000	1.111785e-006	3.207320e-004	-3.218438e-004
3.031071992655053e-004	6.080779e-001	1.822171e+000	1.098575e-006	3.177829e-004	-3.188815e-004
3.431071992655054e-004	6.075282e-001	1.884735e+000	1.073704e-006	3.115265e-004	-3.126002e-004
3.931071992655055e-004	6.064817e-001	2.000678e+000	1.029777e-006	2.999323e-004	-3.009620e-004
4.831071992655058e-004	6.039240e-001	2.267158e+000	9.328047e-007	2.732842e-004	-2.742170e-004
5.631071992655060e-004	6.014837e-001	2.500369e+000	8.508226e-007	2.499631e-004	-2.508140e-004
6.231071992655061e-004	5.999334e-001	2.638556e+000	8.036266e-007	2.361444e-004	-2.369480e-004
6.731071992655063e-004	5.990056e-001	2.717743e+000	7.774947e-007	2.282257e-004	-2.290032e-004
7.231071992655064e-004	5.985078e-001	2.759185e+000	7.649032e-007	2.240815e-004	-2.248464e-004
7.731071992655065e-004	5.984889e-001	2.760763e+000	7.664444e-007	2.239238e-004	-2.246902e-004
8.231071992655067e-004	5.989507e-001	2.722402e+000	7.820515e-007	2.277599e-004	-2.285420e-004
8.731071992655068e-004	5.998478e-001	2.646053e+000	8.109836e-007	2.353947e-004	-2.362057e-004
9.331071992655070e-004	6.013724e-001	2.510651e+000	8.609862e-007	2.489349e-004	-2.497958e-004
