vin	V(be)	Ic(Q1)
0.000000000000000e+000	0.000000e+000	1.369983e-013
5.000000000000000e-003	5.000000e-003	1.348186e-013
1.000000000000000e-002	1.000000e-002	1.333411e-013
1.500000000000000e-002	1.500000e-002	1.326635e-013
2.000000000000000e-002	2.000000e-002	1.329900e-013
2.500000000000000e-002	2.500000e-002	1.345574e-013
3.000000000000000e-002	3.000000e-002	1.376513e-013
3.500000000000000e-002	3.500000e-002	1.425820e-013
4.000000000000000e-002	4.000000e-002	1.498148e-013
4.500000000000000e-002	4.500000e-002	1.598150e-013
5.000000000000000e-002	5.000000e-002	1.732356e-013
5.499999999999999e-002	5.500000e-002	1.908114e-013
5.999999999999999e-002	6.000000e-002	2.134975e-013
6.499999999999999e-002	6.500000e-002	2.424123e-013
6.999999999999999e-002	7.000000e-002	2.789354e-013
7.500000000000000e-002	7.500000e-002	3.247239e-013
8.000000000000000e-002	8.000000e-002	3.818596e-013
8.500000000000001e-002	8.500000e-002	4.528404e-013
9.000000000000001e-002	9.000000e-002	5.406541e-013
9.500000000000002e-002	9.500000e-002	6.490723e-013
1.000000000000000e-001	1.000000e-001	7.825603e-013
1.050000000000000e-001	1.050000e-001	9.465794e-013
1.100000000000000e-001	1.100000e-001	1.147856e-012
1.150000000000000e-001	1.150000e-001	1.394481e-012
1.200000000000000e-001	1.200000e-001	1.696323e-012
1.250000000000000e-001	1.250000e-001	2.065407e-012
1.300000000000000e-001	1.300000e-001	2.516312e-012
1.350000000000000e-001	1.350000e-001	3.066803e-012
1.400000000000000e-001	1.400000e-001	3.738488e-012
1.450000000000001e-001	1.450000e-001	4.557588e-012
1.500000000000001e-001	1.500000e-001	5.555972e-012
1.550000000000001e-001	1.550000e-001	6.772401e-012
1.600000000000001e-001	1.600000e-001	8.253912e-012
1.650000000000001e-001	1.650000e-001	1.005771e-011
1.700000000000001e-001	1.700000e-001	1.225323e-011
1.750000000000001e-001	1.750000e-001	1.492479e-011
1.800000000000001e-001	1.800000e-001	1.817482e-011
1.850000000000001e-001	1.850000e-001	2.212771e-011
1.900000000000001e-001	1.900000e-001	2.693437e-011
1.950000000000001e-001	1.950000e-001	3.277815e-011
2.000000000000001e-001	2.000000e-001	3.988153e-011
2.050000000000001e-001	2.050000e-001	4.851450e-011
2.100000000000001e-001	2.100000e-001	5.900490e-011
2.150000000000001e-001	2.150000e-001	7.175037e-011
2.200000000000001e-001	2.200000e-001	8.723357e-011
2.250000000000001e-001	2.250000e-001	1.060401e-010
2.300000000000001e-001	2.300000e-001	1.288804e-010
2.350000000000001e-001	2.350000e-001	1.566165e-010
2.400000000000001e-001	2.400000e-001	1.902939e-010
2.450000000000001e-001	2.450000e-001	2.311809e-010
2.500000000000001e-001	2.500000e-001	2.808161e-010
2.550000000000001e-001	2.550000e-001	3.410653e-010
2.600000000000001e-001	2.600000e-001	4.141913e-010
2.650000000000001e-001	2.650000e-001	5.029387e-010
2.700000000000001e-001	2.700000e-001	6.106353e-010
2.750000000000001e-001	2.750000e-001	7.413166e-010
2.800000000000001e-001	2.800000e-001	8.998756e-010
2.850000000000001e-001	2.850000e-001	1.092245e-009
2.900000000000002e-001	2.900000e-001	1.325618e-009
2.950000000000002e-001	2.950000e-001	1.608715e-009
3.000000000000002e-001	3.000000e-001	1.952109e-009
3.050000000000002e-001	3.050000e-001	2.368614e-009
3.100000000000002e-001	3.100000e-001	2.873768e-009
3.150000000000002e-001	3.150000e-001	3.486402e-009
