vcc	V(ce)	Ic(Q1)
0.000000000000000e+000	0.000000e+000	-5.267009e-005
5.000000000000000e-003	5.000000e-003	-1.053238e-005
1.000000000000000e-002	1.000000e-002	2.702216e-005
1.500000000000000e-002	1.500000e-002	6.023716e-005
2.000000000000000e-002	2.000000e-002	8.939972e-005
2.500000000000000e-002	2.500000e-002	1.148280e-004
3.000000000000000e-002	3.000000e-002	1.368584e-004
3.500000000000000e-002	3.500000e-002	1.558331e-004
4.000000000000000e-002	4.000000e-002	1.720893e-004
4.500000000000000e-002	4.500000e-002	1.859505e-004
5.000000000000000e-002	5.000000e-002	1.977203e-004
5.499999999999999e-002	5.500000e-002	2.076779e-004
5.999999999999999e-002	6.000000e-002	2.160757e-004
6.499999999999999e-002	6.500000e-002	2.231392e-004
6.999999999999999e-002	7.000000e-002	2.290668e-004
7.500000000000000e-002	7.500000e-002	2.340319e-004
8.000000000000000e-002	8.000000e-002	2.381843e-004
8.500000000000001e-002	8.500000e-002	2.416526e-004
9.000000000000001e-002	9.000000e-002	2.445469e-004
9.500000000000002e-002	9.500000e-002	2.469603e-004
1.000000000000000e-001	1.000000e-001	2.489718e-004
1.050000000000000e-001	1.050000e-001	2.506477e-004
1.100000000000000e-001	1.100000e-001	2.520441e-004
1.150000000000000e-001	1.150000e-001	2.532075e-004
1.200000000000000e-001	1.200000e-001	2.541772e-004
1.250000000000000e-001	1.250000e-001	2.549859e-004
1.300000000000000e-001	1.300000e-001	2.556607e-004
1.350000000000000e-001	1.350000e-001	2.562243e-004
1.400000000000000e-001	1.400000e-001	2.566957e-004
1.450000000000001e-001	1.450000e-001	2.570905e-004
1.500000000000001e-001	1.500000e-001	2.574216e-004
1.550000000000001e-001	1.550000e-001	2.577001e-004
1.600000000000001e-001	1.600000e-001	2.579348e-004
1.650000000000001e-001	1.650000e-001	2.581331e-004
1.700000000000001e-001	1.700000e-001	2.583014e-004
1.750000000000001e-001	1.750000e-001	2.584447e-004
1.800000000000001e-001	1.800000e-001	2.585672e-004
1.850000000000001e-001	1.850000e-001	2.586725e-004
1.900000000000001e-001	1.900000e-001	2.587636e-004
1.950000000000001e-001	1.950000e-001	2.588428e-004
2.000000000000001e-001	2.000000e-001	2.589122e-004
2.050000000000001e-001	2.050000e-001	2.589733e-004
2.100000000000001e-001	2.100000e-001	2.590278e-004
2.150000000000001e-001	2.150000e-001	2.590766e-004
2.200000000000001e-001	2.200000e-001	2.591207e-004
2.250000000000001e-001	2.250000e-001	2.591609e-004
2.300000000000001e-001	2.300000e-001	2.591979e-004
2.350000000000001e-001	2.350000e-001	2.592323e-004
2.400000000000001e-001	2.400000e-001	2.592644e-004
2.450000000000001e-001	2.450000e-001	2.592946e-004
2.500000000000001e-001	2.500000e-001	2.593233e-004
2.550000000000001e-001	2.550000e-001	2.593508e-004
2.600000000000001e-001	2.600000e-001	2.593771e-004
2.650000000000001e-001	2.650000e-001	2.594026e-004
2.700000000000001e-001	2.700000e-001	2.594273e-004
2.750000000000001e-001	2.750000e-001	2.594514e-004
2.800000000000001e-001	2.800000e-001	2.594750e-004
2.850000000000001e-001	2.850000e-001	2.594982e-004
2.900000000000002e-001	2.900000e-001	2.595210e-004
2.950000000000002e-001	2.950000e-001	2.595436e-004
3.000000000000002e-001	3.000000e-001	2.595659e-004
3.050000000000002e-001	3.050000e-001	2.595879e-004
3.100000000000002e-001	3.100000e-001	2.596098e-004
3.150000000000002e-001	3.150000e-001	2.596316e-004
3.200000000000002e-001	3.200000e-001	2.596533e-004
3.250000000000002e-001	3.250000e-001	2.596748e-004
3.300000000000002e-001	3.300000e-001	2.596962e-004
3.350000000000002e-001	3.350000e-001	2.597176e-004
3.400000000000002e-001	3.400000e-001	2.597390e-004
3.450000000000002e-001	3.450000e-001	2.597602e-004
3.500000000000002e-001	3.500000e-001	2.597815e-004
3.550000000000002e-001	3.550000e-001	2.598027e-004
3.600000000000002e-001	3.600000e-001	2.598239e-004
3.650000000000002e-001	3.650000e-001	2.598450e-004
3.700000000000002e-001	3.700000e-001	2.598662e-004
3.750000000000002e-001	3.750000e-001	2.598873e-004
3.800000000000002e-001	3.800000e-001	2.599084e-004
3.850000000000002e-001	3.850000e-001	2.599295e-004
3.900000000000002e-001	3.900000e-001	2.599506e-004
3.950000000000002e-001	3.950000e-001	2.599717e-004
4.000000000000002e-001	4.000000e-001	2.599927e-004
4.050000000000003e-001	4.050000e-001	2.600138e-004
4.100000000000003e-001	4.100000e-001	2.600348e-004
4.150000000000003e-001	4.150000e-001	2.600559e-004
4.200000000000003e-001	4.200000e-001	2.600770e-004
4.250000000000003e-001	4.250000e-001	2.600980e-004
4.300000000000003e-001	4.300000e-001	2.601190e-004
4.350000000000003e-001	4.350000e-001	2.601401e-004
4.400000000000003e-001	4.400000e-001	2.601611e-004
4.450000000000003e-001	4.450000e-001	2.601822e-004
4.500000000000003e-001	4.500000e-001	2.602032e-004
4.550000000000003e-001	4.550000e-001	2.602242e-004
4.600000000000003e-001	4.600000e-001	2.602453e-004
4.650000000000003e-001	4.650000e-001	2.602663e-004
4.700000000000003e-001	4.700000e-001	2.602873e-004
4.750000000000003e-001	4.750000e-001	2.603084e-004
4.800000000000003e-001	4.800000e-001	2.603294e-004
4.850000000000003e-001	4.850000e-001	2.603504e-004
4.900000000000003e-001	4.900000e-001	2.603715e-004
4.950000000000003e-001	4.950000e-001	2.603925e-004
5.000000000000003e-001	5.000000e-001	2.604135e-004
5.050000000000003e-001	5.050000e-001	2.604346e-004
5.100000000000003e-001	5.100000e-001	2.604556e-004
5.150000000000004e-001	5.150000e-001	2.604766e-004
5.200000000000004e-001	5.200000e-001	2.604977e-004
5.250000000000004e-001	5.250000e-001	2.605187e-004
5.300000000000004e-001	5.300000e-001	2.605397e-004
5.350000000000004e-001	5.350000e-001	2.605608e-004
5.400000000000004e-001	5.400000e-001	2.605818e-004
5.450000000000004e-001	5.450000e-001	2.606028e-004
5.500000000000004e-001	5.500000e-001	2.606239e-004
5.550000000000004e-001	5.550000e-001	2.606449e-004
5.600000000000004e-001	5.600000e-001	2.606659e-004
5.650000000000004e-001	5.650000e-001	2.606870e-004
5.700000000000004e-001	5.700000e-001	2.607080e-004
5.750000000000004e-001	5.750000e-001	2.607290e-004
5.800000000000004e-001	5.800000e-001	2.607501e-004
5.850000000000004e-001	5.850000e-001	2.607711e-004
5.900000000000004e-001	5.900000e-001	2.607921e-004
5.950000000000004e-001	5.950000e-001	2.608132e-004
6.000000000000004e-001	6.000000e-001	2.608342e-004
6.050000000000004e-001	6.050000e-001	2.608552e-004
6.100000000000004e-001	6.100000e-001	2.608763e-004
6.150000000000004e-001	6.150000e-001	2.608973e-004
6.200000000000004e-001	6.200000e-001	2.609183e-004
6.250000000000004e-001	6.250000e-001	2.609393e-004
6.300000000000005e-001	6.300000e-001	2.609604e-004
6.350000000000005e-001	6.350000e-001	2.609814e-004
6.400000000000005e-001	6.400000e-001	2.610024e-004
6.450000000000005e-001	6.450000e-001	2.610235e-004
6.500000000000005e-001	6.500000e-001	2.610445e-004
6.550000000000005e-001	6.550000e-001	2.610655e-004
6.600000000000005e-001	6.600000e-001	2.610866e-004
6.650000000000005e-001	6.650000e-001	2.611076e-004
6.700000000000005e-001	6.700000e-001	2.611286e-004
6.750000000000005e-001	6.750000e-001	2.611497e-004
6.800000000000005e-001	6.800000e-001	2.611707e-004
6.850000000000005e-001	6.850000e-001	2.611917e-004
6.900000000000005e-001	6.900000e-001	2.612128e-004
6.950000000000005e-001	6.950000e-001	2.612338e-004
7.000000000000000e-001	7.000000e-001	2.612548e-004
