vcc	V(ce)	Ic(Q1)
0.000000000000000e+000	0.000000e+000	-2.516207e-005
5.000000000000000e-003	5.000000e-003	-5.011414e-006
1.000000000000000e-002	1.000000e-002	1.232306e-005
1.500000000000000e-002	1.500000e-002	2.715665e-005
2.000000000000000e-002	2.000000e-002	3.979044e-005
2.500000000000000e-002	2.500000e-002	5.050574e-005
3.000000000000000e-002	3.000000e-002	5.956063e-005
3.500000000000000e-002	3.500000e-002	6.718806e-005
4.000000000000000e-002	4.000000e-002	7.359550e-005
4.500000000000000e-002	4.500000e-002	7.896552e-005
5.000000000000000e-002	5.000000e-002	8.345722e-005
5.499999999999999e-002	5.500000e-002	8.720805e-005
5.999999999999999e-002	6.000000e-002	9.033595e-005
6.499999999999999e-002	6.500000e-002	9.294147e-005
6.999999999999999e-002	7.000000e-002	9.510992e-005
7.500000000000000e-002	7.500000e-002	9.691338e-005
8.000000000000000e-002	8.000000e-002	9.841251e-005
8.500000000000001e-002	8.500000e-002	9.965822e-005
9.000000000000001e-002	9.000000e-002	1.006931e-004
9.500000000000002e-002	9.500000e-002	1.015529e-004
1.000000000000000e-001	1.000000e-001	1.022672e-004
1.050000000000000e-001	1.050000e-001	1.028607e-004
1.100000000000000e-001	1.100000e-001	1.033541e-004
1.150000000000000e-001	1.150000e-001	1.037645e-004
1.200000000000000e-001	1.200000e-001	1.041060e-004
1.250000000000000e-001	1.250000e-001	1.043904e-004
1.300000000000000e-001	1.300000e-001	1.046276e-004
1.350000000000000e-001	1.350000e-001	1.048256e-004
1.400000000000000e-001	1.400000e-001	1.049911e-004
1.450000000000001e-001	1.450000e-001	1.051298e-004
1.500000000000001e-001	1.500000e-001	1.052462e-004
1.550000000000001e-001	1.550000e-001	1.053441e-004
1.600000000000001e-001	1.600000e-001	1.054268e-004
1.650000000000001e-001	1.650000e-001	1.054968e-004
1.700000000000001e-001	1.700000e-001	1.055563e-004
1.750000000000001e-001	1.750000e-001	1.056071e-004
1.800000000000001e-001	1.800000e-001	1.056507e-004
1.850000000000001e-001	1.850000e-001	1.056883e-004
1.900000000000001e-001	1.900000e-001	1.057210e-004
1.950000000000001e-001	1.950000e-001	1.057496e-004
2.000000000000001e-001	2.000000e-001	1.057748e-004
2.050000000000001e-001	2.050000e-001	1.057972e-004
2.100000000000001e-001	2.100000e-001	1.058172e-004
2.150000000000001e-001	2.150000e-001	1.058353e-004
2.200000000000001e-001	2.200000e-001	1.058518e-004
2.250000000000001e-001	2.250000e-001	1.058670e-004
2.300000000000001e-001	2.300000e-001	1.058810e-004
2.350000000000001e-001	2.350000e-001	1.058941e-004
2.400000000000001e-001	2.400000e-001	1.059065e-004
2.450000000000001e-001	2.450000e-001	1.059182e-004
2.500000000000001e-001	2.500000e-001	1.059294e-004
2.550000000000001e-001	2.550000e-001	1.059402e-004
2.600000000000001e-001	2.600000e-001	1.059506e-004
2.650000000000001e-001	2.650000e-001	1.059607e-004
2.700000000000001e-001	2.700000e-001	1.059705e-004
2.750000000000001e-001	2.750000e-001	1.059802e-004
2.800000000000001e-001	2.800000e-001	1.059896e-004
2.850000000000001e-001	2.850000e-001	1.059990e-004
2.900000000000002e-001	2.900000e-001	1.060082e-004
2.950000000000002e-001	2.950000e-001	1.060173e-004
3.000000000000002e-001	3.000000e-001	1.060263e-004
3.050000000000002e-001	3.050000e-001	1.060352e-004
3.100000000000002e-001	3.100000e-001	1.060441e-004
3.150000000000002e-001	3.150000e-001	1.060530e-004
3.200000000000002e-001	3.200000e-001	1.060618e-004
3.250000000000002e-001	3.250000e-001	1.060705e-004
3.300000000000002e-001	3.300000e-001	1.060793e-004
3.350000000000002e-001	3.350000e-001	1.060880e-004
3.400000000000002e-001	3.400000e-001	1.060967e-004
3.450000000000002e-001	3.450000e-001	1.061054e-004
3.500000000000002e-001	3.500000e-001	1.061141e-004
3.550000000000002e-001	3.550000e-001	1.061227e-004
3.600000000000002e-001	3.600000e-001	1.061314e-004
3.650000000000002e-001	3.650000e-001	1.061400e-004
3.700000000000002e-001	3.700000e-001	1.061487e-004
3.750000000000002e-001	3.750000e-001	1.061573e-004
3.800000000000002e-001	3.800000e-001	1.061659e-004
3.850000000000002e-001	3.850000e-001	1.061745e-004
3.900000000000002e-001	3.900000e-001	1.061832e-004
3.950000000000002e-001	3.950000e-001	1.061918e-004
4.000000000000002e-001	4.000000e-001	1.062004e-004
4.050000000000003e-001	4.050000e-001	1.062090e-004
4.100000000000003e-001	4.100000e-001	1.062176e-004
4.150000000000003e-001	4.150000e-001	1.062262e-004
4.200000000000003e-001	4.200000e-001	1.062348e-004
4.250000000000003e-001	4.250000e-001	1.062434e-004
4.300000000000003e-001	4.300000e-001	1.062520e-004
4.350000000000003e-001	4.350000e-001	1.062607e-004
4.400000000000003e-001	4.400000e-001	1.062693e-004
4.450000000000003e-001	4.450000e-001	1.062779e-004
4.500000000000003e-001	4.500000e-001	1.062865e-004
4.550000000000003e-001	4.550000e-001	1.062951e-004
4.600000000000003e-001	4.600000e-001	1.063037e-004
4.650000000000003e-001	4.650000e-001	1.063123e-004
4.700000000000003e-001	4.700000e-001	1.063209e-004
4.750000000000003e-001	4.750000e-001	1.063295e-004
4.800000000000003e-001	4.800000e-001	1.063381e-004
4.850000000000003e-001	4.850000e-001	1.063467e-004
4.900000000000003e-001	4.900000e-001	1.063553e-004
4.950000000000003e-001	4.950000e-001	1.063639e-004
5.000000000000003e-001	5.000000e-001	1.063725e-004
5.050000000000003e-001	5.050000e-001	1.063811e-004
5.100000000000003e-001	5.100000e-001	1.063897e-004
5.150000000000004e-001	5.150000e-001	1.063983e-004
5.200000000000004e-001	5.200000e-001	1.064069e-004
5.250000000000004e-001	5.250000e-001	1.064155e-004
5.300000000000004e-001	5.300000e-001	1.064241e-004
5.350000000000004e-001	5.350000e-001	1.064327e-004
5.400000000000004e-001	5.400000e-001	1.064413e-004
5.450000000000004e-001	5.450000e-001	1.064499e-004
5.500000000000004e-001	5.500000e-001	1.064585e-004
5.550000000000004e-001	5.550000e-001	1.064671e-004
5.600000000000004e-001	5.600000e-001	1.064758e-004
5.650000000000004e-001	5.650000e-001	1.064844e-004
5.700000000000004e-001	5.700000e-001	1.064930e-004
5.750000000000004e-001	5.750000e-001	1.065016e-004
5.800000000000004e-001	5.800000e-001	1.065102e-004
5.850000000000004e-001	5.850000e-001	1.065188e-004
5.900000000000004e-001	5.900000e-001	1.065274e-004
5.950000000000004e-001	5.950000e-001	1.065360e-004
