vcc	V(ce)	Ic(Q1)
0.000000000000000e+000	0.000000e+000	-7.255354e-005
5.000000000000000e-003	5.000000e-003	-1.465462e-005
1.000000000000000e-002	1.000000e-002	3.806183e-005
1.500000000000000e-002	1.500000e-002	8.566989e-005
2.000000000000000e-002	2.000000e-002	1.283173e-004
2.500000000000000e-002	2.500000e-002	1.662191e-004
3.000000000000000e-002	3.000000e-002	1.996470e-004
3.500000000000000e-002	3.500000e-002	2.289166e-004
4.000000000000000e-002	4.000000e-002	2.543728e-004
4.500000000000000e-002	4.500000e-002	2.763755e-004
5.000000000000000e-002	5.000000e-002	2.952865e-004
5.499999999999999e-002	5.500000e-002	3.114587e-004
5.999999999999999e-002	6.000000e-002	3.252273e-004
6.499999999999999e-002	6.500000e-002	3.369040e-004
6.999999999999999e-002	7.000000e-002	3.467737e-004
7.500000000000000e-002	7.500000e-002	3.550919e-004
8.000000000000000e-002	8.000000e-002	3.620858e-004
8.500000000000001e-002	8.500000e-002	3.679543e-004
9.000000000000001e-002	9.000000e-002	3.728707e-004
9.500000000000002e-002	9.500000e-002	3.769838e-004
1.000000000000000e-001	1.000000e-001	3.804217e-004
1.050000000000000e-001	1.050000e-001	3.832930e-004
1.100000000000000e-001	1.100000e-001	3.856899e-004
1.150000000000000e-001	1.150000e-001	3.876904e-004
1.200000000000000e-001	1.200000e-001	3.893601e-004
1.250000000000000e-001	1.250000e-001	3.907539e-004
1.300000000000000e-001	1.300000e-001	3.919180e-004
1.350000000000000e-001	1.350000e-001	3.928908e-004
1.400000000000000e-001	1.400000e-001	3.937046e-004
1.450000000000001e-001	1.450000e-001	3.943862e-004
1.500000000000001e-001	1.500000e-001	3.949578e-004
1.550000000000001e-001	1.550000e-001	3.954382e-004
1.600000000000001e-001	1.600000e-001	3.958427e-004
1.650000000000001e-001	1.650000e-001	3.961842e-004
1.700000000000001e-001	1.700000e-001	3.964735e-004
1.750000000000001e-001	1.750000e-001	3.967193e-004
1.800000000000001e-001	1.800000e-001	3.969290e-004
1.850000000000001e-001	1.850000e-001	3.971087e-004
1.900000000000001e-001	1.900000e-001	3.972636e-004
1.950000000000001e-001	1.950000e-001	3.973978e-004
2.000000000000001e-001	2.000000e-001	3.975148e-004
2.050000000000001e-001	2.050000e-001	3.976176e-004
2.100000000000001e-001	2.100000e-001	3.977084e-004
2.150000000000001e-001	2.150000e-001	3.977895e-004
2.200000000000001e-001	2.200000e-001	3.978624e-004
2.250000000000001e-001	2.250000e-001	3.979284e-004
2.300000000000001e-001	2.300000e-001	3.979889e-004
2.350000000000001e-001	2.350000e-001	3.980446e-004
2.400000000000001e-001	2.400000e-001	3.980963e-004
2.450000000000001e-001	2.450000e-001	3.981449e-004
2.500000000000001e-001	2.500000e-001	3.981907e-004
2.550000000000001e-001	2.550000e-001	3.982343e-004
2.600000000000001e-001	2.600000e-001	3.982759e-004
2.650000000000001e-001	2.650000e-001	3.983160e-004
2.700000000000001e-001	2.700000e-001	3.983549e-004
2.750000000000001e-001	2.750000e-001	3.983926e-004
2.800000000000001e-001	2.800000e-001	3.984294e-004
2.850000000000001e-001	2.850000e-001	3.984655e-004
2.900000000000002e-001	2.900000e-001	3.985009e-004
2.950000000000002e-001	2.950000e-001	3.985358e-004
3.000000000000002e-001	3.000000e-001	3.985703e-004
3.050000000000002e-001	3.050000e-001	3.986044e-004
3.100000000000002e-001	3.100000e-001	3.986382e-004
3.150000000000002e-001	3.150000e-001	3.986717e-004
3.200000000000002e-001	3.200000e-001	3.987051e-004
3.250000000000002e-001	3.250000e-001	3.987383e-004
3.300000000000002e-001	3.300000e-001	3.987713e-004
3.350000000000002e-001	3.350000e-001	3.988041e-004
3.400000000000002e-001	3.400000e-001	3.988369e-004
3.450000000000002e-001	3.450000e-001	3.988696e-004
3.500000000000002e-001	3.500000e-001	3.989022e-004
3.550000000000002e-001	3.550000e-001	3.989348e-004
3.600000000000002e-001	3.600000e-001	3.989673e-004
3.650000000000002e-001	3.650000e-001	3.989997e-004
3.700000000000002e-001	3.700000e-001	3.990322e-004
3.750000000000002e-001	3.750000e-001	3.990646e-004
3.800000000000002e-001	3.800000e-001	3.990969e-004
3.850000000000002e-001	3.850000e-001	3.991293e-004
3.900000000000002e-001	3.900000e-001	3.991616e-004
3.950000000000002e-001	3.950000e-001	3.991939e-004
4.000000000000002e-001	4.000000e-001	3.992262e-004
4.050000000000003e-001	4.050000e-001	3.992585e-004
4.100000000000003e-001	4.100000e-001	3.992908e-004
4.150000000000003e-001	4.150000e-001	3.993231e-004
4.200000000000003e-001	4.200000e-001	3.993554e-004
4.250000000000003e-001	4.250000e-001	3.993876e-004
4.300000000000003e-001	4.300000e-001	3.994199e-004
4.350000000000003e-001	4.350000e-001	3.994521e-004
4.400000000000003e-001	4.400000e-001	3.994844e-004
4.450000000000003e-001	4.450000e-001	3.995167e-004
4.500000000000003e-001	4.500000e-001	3.995489e-004
4.550000000000003e-001	4.550000e-001	3.995812e-004
4.600000000000003e-001	4.600000e-001	3.996134e-004
4.650000000000003e-001	4.650000e-001	3.996456e-004
4.700000000000003e-001	4.700000e-001	3.996779e-004
4.750000000000003e-001	4.750000e-001	3.997101e-004
4.800000000000003e-001	4.800000e-001	3.997424e-004
4.850000000000003e-001	4.850000e-001	3.997746e-004
4.900000000000003e-001	4.900000e-001	3.998069e-004
4.950000000000003e-001	4.950000e-001	3.998391e-004
5.000000000000003e-001	5.000000e-001	3.998713e-004
5.050000000000003e-001	5.050000e-001	3.999036e-004
5.100000000000003e-001	5.100000e-001	3.999358e-004
5.150000000000004e-001	5.150000e-001	3.999680e-004
5.200000000000004e-001	5.200000e-001	4.000003e-004
5.250000000000004e-001	5.250000e-001	4.000325e-004
5.300000000000004e-001	5.300000e-001	4.000647e-004
5.350000000000004e-001	5.350000e-001	4.000970e-004
5.400000000000004e-001	5.400000e-001	4.001292e-004
5.450000000000004e-001	5.450000e-001	4.001615e-004
5.500000000000004e-001	5.500000e-001	4.001937e-004
5.550000000000004e-001	5.550000e-001	4.002259e-004
5.600000000000004e-001	5.600000e-001	4.002582e-004
5.650000000000004e-001	5.650000e-001	4.002904e-004
5.700000000000004e-001	5.700000e-001	4.003226e-004
5.750000000000004e-001	5.750000e-001	4.003549e-004
5.800000000000004e-001	5.800000e-001	4.003871e-004
5.850000000000004e-001	5.850000e-001	4.004193e-004
5.900000000000004e-001	5.900000e-001	4.004516e-004
5.950000000000004e-001	5.950000e-001	4.004838e-004
6.000000000000004e-001	6.000000e-001	4.005161e-004
6.050000000000004e-001	6.050000e-001	4.005483e-004
6.100000000000004e-001	6.100000e-001	4.005805e-004
6.150000000000004e-001	6.150000e-001	4.006128e-004
6.200000000000004e-001	6.200000e-001	4.006450e-004
6.250000000000004e-001	6.250000e-001	4.006772e-004
6.300000000000005e-001	6.300000e-001	4.007095e-004
6.350000000000005e-001	6.350000e-001	4.007417e-004
6.400000000000005e-001	6.400000e-001	4.007739e-004
6.450000000000005e-001	6.450000e-001	4.008062e-004
6.500000000000005e-001	6.500000e-001	4.008384e-004
6.550000000000005e-001	6.550000e-001	4.008707e-004
