v1	V(vd)	I(D1)
1.000000000000000e-001	9.979120e-002	2.027203e-008
1.500000000000000e-001	1.493256e-001	6.548016e-008
2.000000000000000e-001	1.979770e-001	1.964428e-007
2.500000000000000e-001	2.443267e-001	5.508049e-007
3.000000000000000e-001	2.857949e-001	1.379134e-006
3.500000000000000e-001	3.198526e-001	2.926961e-006
4.000000000000000e-001	3.461365e-001	5.229545e-006
4.500000000000000e-001	3.661729e-001	8.138611e-006
4.999999999999999e-001	3.817577e-001	1.147986e-005
5.499999999999999e-001	3.943254e-001	1.512194e-005
6.000000000000000e-001	4.045846e-001	1.897716e-005
6.500000000000000e-001	4.132490e-001	2.298788e-005
7.000000000000001e-001	4.207235e-001	2.711555e-005
7.500000000000001e-001	4.272720e-001	3.133363e-005
8.000000000000002e-001	4.330853e-001	3.562331e-005
8.500000000000002e-001	4.383036e-001	3.997087e-005
9.000000000000002e-001	4.430322e-001	4.436604e-005
9.500000000000003e-001	4.473513e-001	4.880101e-005
1.000000000000000e+000	4.513235e-001	5.326968e-005
1.050000000000000e+000	4.549986e-001	5.776722e-005
1.100000000000000e+000	4.584164e-001	6.228974e-005
1.150000000000000e+000	4.616097e-001	6.683407e-005
1.200000000000000e+000	4.646052e-001	7.139760e-005
1.250000000000000e+000	4.674254e-001	7.597815e-005
1.300000000000001e+000	4.700892e-001	8.057390e-005
1.350000000000001e+000	4.726126e-001	8.518327e-005
1.400000000000001e+000	4.750093e-001	8.980494e-005
1.450000000000001e+000	4.772913e-001	9.443775e-005
1.500000000000001e+000	4.794687e-001	9.908072e-005
1.550000000000001e+000	4.815505e-001	1.037330e-004
1.600000000000001e+000	4.835448e-001	1.083937e-004
1.650000000000001e+000	4.854583e-001	1.130623e-004
1.700000000000001e+000	4.872972e-001	1.177381e-004
1.750000000000001e+000	4.890671e-001	1.224207e-004
1.800000000000001e+000	4.907730e-001	1.271094e-004
1.850000000000001e+000	4.924191e-001	1.318040e-004
1.900000000000001e+000	4.940094e-001	1.365039e-004
1.950000000000001e+000	4.955477e-001	1.412090e-004
2.000000000000001e+000	4.970371e-001	1.459187e-004
2.050000000000001e+000	4.984806e-001	1.506330e-004
2.100000000000001e+000	4.998809e-001	1.553514e-004
2.150000000000000e+000	5.012406e-001	1.600737e-004
2.200000000000000e+000	5.025617e-001	1.647998e-004
2.250000000000000e+000	5.038466e-001	1.695294e-004
2.300000000000000e+000	5.050971e-001	1.742624e-004
2.350000000000000e+000	5.063149e-001	1.789986e-004
2.400000000000000e+000	5.075018e-001	1.837377e-004
2.449999999999999e+000	5.086591e-001	1.884797e-004
2.499999999999999e+000	5.097885e-001	1.932244e-004
2.549999999999999e+000	5.108910e-001	1.979717e-004
2.599999999999999e+000	5.119681e-001	2.027216e-004
2.649999999999999e+000	5.130208e-001	2.074737e-004
2.699999999999998e+000	5.140502e-001	2.122281e-004
2.749999999999998e+000	5.150573e-001	2.169847e-004
2.799999999999998e+000	5.160431e-001	2.217434e-004
2.849999999999998e+000	5.170083e-001	2.265041e-004
2.899999999999998e+000	5.179540e-001	2.312666e-004
2.949999999999998e+000	5.188807e-001	2.360310e-004
2.999999999999997e+000	5.197893e-001	2.407971e-004
3.049999999999997e+000	5.206805e-001	2.455650e-004
3.099999999999997e+000	5.215549e-001	2.503345e-004
3.149999999999997e+000	5.224132e-001	2.551055e-004
3.199999999999997e+000	5.232558e-001	2.598781e-004
3.249999999999996e+000	5.240834e-001	2.646521e-004
3.299999999999996e+000	5.248965e-001	2.694275e-004
3.349999999999996e+000	5.256956e-001	2.742043e-004
3.399999999999996e+000	5.264812e-001	2.789824e-004
3.449999999999996e+000	5.272536e-001	2.837618e-004
3.499999999999996e+000	5.280133e-001	2.885424e-004
3.549999999999995e+000	5.287609e-001	2.933242e-004
3.599999999999995e+000	5.294966e-001	2.981071e-004
3.649999999999995e+000	5.302207e-001	3.028912e-004
3.699999999999995e+000	5.309337e-001	3.076763e-004
3.749999999999995e+000	5.316359e-001	3.124625e-004
3.799999999999995e+000	5.323277e-001	3.172497e-004
3.849999999999994e+000	5.330092e-001	3.220379e-004
3.899999999999994e+000	5.336809e-001	3.268271e-004
3.949999999999994e+000	5.343429e-001	3.316172e-004
3.999999999999994e+000	5.349957e-001	3.364082e-004
4.049999999999994e+000	5.356393e-001	3.412001e-004
4.099999999999993e+000	5.362741e-001	3.459928e-004
4.149999999999993e+000	5.369003e-001	3.507864e-004
4.199999999999993e+000	5.375182e-001	3.555808e-004
4.249999999999993e+000	5.381280e-001	3.603759e-004
4.299999999999993e+000	5.387298e-001	3.651719e-004
4.349999999999993e+000	5.393239e-001	3.699686e-004
4.399999999999992e+000	5.399104e-001	3.747660e-004
4.449999999999992e+000	5.404896e-001	3.795641e-004
4.499999999999992e+000	5.410617e-001	3.843629e-004
4.549999999999992e+000	5.416268e-001	3.891625e-004
4.599999999999992e+000	5.421850e-001	3.939626e-004
4.649999999999992e+000	5.427366e-001	3.987634e-004
4.699999999999991e+000	5.432817e-001	4.035649e-004
4.749999999999991e+000	5.438204e-001	4.083669e-004
4.799999999999991e+000	5.443530e-001	4.131696e-004
4.849999999999991e+000	5.448795e-001	4.179729e-004
4.899999999999991e+000	5.454001e-001	4.227767e-004
4.949999999999990e+000	5.459148e-001	4.275811e-004
4.999999999999990e+000	5.464240e-001	4.323860e-004
5.049999999999990e+000	5.469276e-001	4.371915e-004
5.099999999999990e+000	5.474257e-001	4.419975e-004
5.149999999999990e+000	5.479186e-001	4.468040e-004
5.199999999999990e+000	5.484062e-001	4.516110e-004
5.249999999999989e+000	5.488888e-001	4.564186e-004
5.299999999999989e+000	5.493664e-001	4.612266e-004
5.349999999999989e+000	5.498391e-001	4.660350e-004
5.399999999999989e+000	5.503070e-001	4.708440e-004
5.449999999999989e+000	5.507703e-001	4.756534e-004
5.499999999999989e+000	5.512289e-001	4.804632e-004
5.549999999999988e+000	5.516831e-001	4.852735e-004
5.599999999999988e+000	5.521328e-001	4.900842e-004
5.649999999999988e+000	5.525783e-001	4.948953e-004
5.699999999999988e+000	5.530195e-001	4.997068e-004
5.749999999999988e+000	5.534564e-001	5.045188e-004
5.799999999999987e+000	5.538894e-001	5.093311e-004
5.849999999999987e+000	5.543183e-001	5.141438e-004
5.899999999999987e+000	5.547432e-001	5.189570e-004
5.949999999999987e+000	5.551643e-001	5.237705e-004
5.999999999999987e+000	5.555817e-001	5.285843e-004
6.049999999999987e+000	5.559953e-001	5.333985e-004
6.099999999999986e+000	5.564052e-001	5.382131e-004
6.149999999999986e+000	5.568115e-001	5.430280e-004
6.199999999999986e+000	5.572143e-001	5.478433e-004
6.249999999999986e+000	5.576136e-001	5.526589e-004
6.299999999999986e+000	5.580096e-001	5.574748e-004
6.349999999999985e+000	5.584021e-001	5.622911e-004
6.399999999999985e+000	5.587913e-001	5.671076e-004
6.449999999999985e+000	5.591773e-001	5.719246e-004
6.499999999999985e+000	5.595602e-001	5.767417e-004
6.549999999999985e+000	5.599399e-001	5.815593e-004
6.599999999999985e+000	5.603164e-001	5.863770e-004
6.649999999999984e+000	5.606900e-001	5.911951e-004
6.699999999999984e+000	5.610605e-001	5.960136e-004
6.749999999999984e+000	5.614282e-001	6.008322e-004
6.799999999999984e+000	5.617929e-001	6.056512e-004
6.849999999999984e+000	5.621548e-001	6.104704e-004
6.899999999999984e+000	5.625139e-001	6.152899e-004
6.949999999999983e+000	5.628702e-001	6.201097e-004
6.999999999999983e+000	5.632238e-001	6.249297e-004
7.049999999999983e+000	5.635748e-001	6.297500e-004
7.099999999999983e+000	5.639231e-001	6.345705e-004
7.149999999999983e+000	5.642688e-001	6.393914e-004
7.199999999999982e+000	5.646119e-001	6.442124e-004
7.249999999999982e+000	5.649525e-001	6.490338e-004
7.299999999999982e+000	5.652906e-001	6.538553e-004
7.349999999999982e+000	5.656263e-001	6.586771e-004
7.399999999999982e+000	5.659596e-001	6.634991e-004
7.449999999999982e+000	5.662905e-001	6.683213e-004
7.499999999999981e+000	5.666190e-001	6.731438e-004
7.549999999999981e+000	5.669453e-001	6.779665e-004
7.599999999999981e+000	5.672693e-001	6.827894e-004
7.649999999999981e+000	5.675910e-001	6.876125e-004
7.699999999999981e+000	5.679104e-001	6.924359e-004
7.749999999999981e+000	5.682278e-001	6.972594e-004
7.799999999999980e+000	5.685430e-001	7.020832e-004
7.849999999999980e+000	5.688559e-001	7.069072e-004
7.899999999999980e+000	5.691669e-001	7.117314e-004
7.949999999999980e+000	5.694758e-001	7.165557e-004
7.999999999999980e+000	5.697826e-001	7.213803e-004
8.049999999999979e+000	5.700874e-001	7.262051e-004
8.099999999999980e+000	5.703902e-001	7.310301e-004
8.149999999999981e+000	5.706911e-001	7.358553e-004
8.199999999999982e+000	5.709900e-001	7.406806e-004
8.249999999999982e+000	5.712870e-001	7.455061e-004
8.299999999999983e+000	5.715821e-001	7.503318e-004
8.349999999999984e+000	5.718754e-001	7.551577e-004
8.399999999999984e+000	5.721669e-001	7.599838e-004
8.449999999999985e+000	5.724564e-001	7.648101e-004
8.499999999999986e+000	5.727443e-001	7.696365e-004
8.549999999999987e+000	5.730303e-001	7.744631e-004
8.599999999999987e+000	5.733145e-001	7.792899e-004
8.649999999999988e+000	5.735971e-001	7.841168e-004
8.699999999999989e+000	5.738780e-001	7.889439e-004
8.749999999999989e+000	5.741572e-001	7.937712e-004
8.799999999999990e+000	5.744346e-001	7.985986e-004
8.849999999999991e+000	5.747105e-001	8.034261e-004
8.899999999999992e+000	5.749847e-001	8.082539e-004
8.949999999999992e+000	5.752574e-001	8.130818e-004
8.999999999999993e+000	5.755284e-001	8.179099e-004
9.049999999999994e+000	5.757978e-001	8.227381e-004
9.099999999999994e+000	5.760657e-001	8.275664e-004
9.149999999999995e+000	5.763321e-001	8.323949e-004
9.199999999999996e+000	5.765970e-001	8.372236e-004
9.249999999999996e+000	5.768603e-001	8.420524e-004
9.299999999999997e+000	5.771222e-001	8.468814e-004
9.349999999999998e+000	5.773826e-001	8.517104e-004
9.399999999999999e+000	5.776415e-001	8.565396e-004
9.449999999999999e+000	5.778990e-001	8.613690e-004
9.500000000000000e+000	5.781552e-001	8.661985e-004
9.550000000000001e+000	5.784099e-001	8.710282e-004
9.600000000000001e+000	5.786632e-001	8.758579e-004
9.650000000000002e+000	5.789151e-001	8.806878e-004
9.700000000000003e+000	5.791658e-001	8.855179e-004
9.750000000000004e+000	5.794150e-001	8.903480e-004
9.800000000000004e+000	5.796629e-001	8.951784e-004
9.850000000000005e+000	5.799095e-001	9.000088e-004
9.900000000000006e+000	5.801548e-001	9.048393e-004
9.950000000000006e+000	5.803989e-001	9.096700e-004
1.000000000000000e+001	5.806416e-001	9.145008e-004
