vin	V(gs)	Id(M1)
-2.500000000000000e+000	-2.500000e+000	2.051204e-011
-2.490000000000000e+000	-2.490000e+000	2.065224e-011
-2.480000000000000e+000	-2.480000e+000	2.088756e-011
-2.470000000000001e+000	-2.470000e+000	2.117022e-011
-2.460000000000001e+000	-2.460000e+000	2.154388e-011
-2.450000000000001e+000	-2.450000e+000	2.203793e-011
-2.440000000000001e+000	-2.440000e+000	2.269109e-011
-2.430000000000002e+000	-2.430000e+000	2.355467e-011
-2.420000000000002e+000	-2.420000e+000	2.469638e-011
-2.410000000000002e+000	-2.410000e+000	2.620575e-011
-2.400000000000002e+000	-2.400000e+000	2.820140e-011
-2.390000000000002e+000	-2.390000e+000	3.083978e-011
-2.380000000000003e+000	-2.380000e+000	3.432801e-011
-2.370000000000003e+000	-2.370000e+000	3.893961e-011
-2.360000000000003e+000	-2.360000e+000	4.503664e-011
-2.350000000000003e+000	-2.350000e+000	5.309748e-011
-2.340000000000003e+000	-2.340000e+000	6.375465e-011
-2.330000000000004e+000	-2.330000e+000	7.784431e-011
-2.320000000000004e+000	-2.320000e+000	9.647212e-011
-2.310000000000004e+000	-2.310000e+000	1.210998e-010
-2.300000000000004e+000	-2.300000e+000	1.536598e-010
-2.290000000000005e+000	-2.290000e+000	1.967070e-010
-2.280000000000005e+000	-2.280000e+000	2.536192e-010
-2.270000000000005e+000	-2.270000e+000	3.288622e-010
-2.260000000000005e+000	-2.260000e+000	4.283402e-010
-2.250000000000005e+000	-2.250000e+000	5.598589e-010
-2.240000000000006e+000	-2.240000e+000	7.337382e-010
-2.230000000000006e+000	-2.230000e+000	9.636217e-010
-2.220000000000006e+000	-2.220000e+000	1.267548e-009
-2.210000000000006e+000	-2.210000e+000	1.669364e-009
-2.200000000000006e+000	-2.200000e+000	2.200599e-009
-2.190000000000007e+000	-2.190000e+000	2.902935e-009
-2.180000000000007e+000	-2.180000e+000	3.831480e-009
-2.170000000000007e+000	-2.170000e+000	5.059088e-009
-2.160000000000007e+000	-2.160000e+000	6.682074e-009
-2.150000000000008e+000	-2.150000e+000	8.827772e-009
-2.140000000000008e+000	-2.140000e+000	1.166451e-008
-2.130000000000008e+000	-2.130000e+000	1.541483e-008
-2.120000000000008e+000	-2.120000e+000	2.037288e-008
-2.110000000000008e+000	-2.110000e+000	2.692754e-008
-2.100000000000009e+000	-2.100000e+000	3.559279e-008
-2.090000000000009e+000	-2.090000e+000	4.704798e-008
-2.080000000000009e+000	-2.080000e+000	6.219096e-008
-2.070000000000009e+000	-2.070000e+000	8.220817e-008
-2.060000000000009e+000	-2.060000e+000	1.086672e-007
-2.050000000000010e+000	-2.050000e+000	1.436387e-007
-2.040000000000010e+000	-2.040000e+000	1.898573e-007
-2.030000000000010e+000	-2.030000e+000	2.509329e-007
-2.020000000000010e+000	-2.020000e+000	3.316291e-007
-2.010000000000010e+000	-2.010000e+000	4.382269e-007
-2.000000000000011e+000	-2.000000e+000	5.790027e-007
-1.990000000000011e+000	-1.990000e+000	7.648488e-007
-1.980000000000011e+000	-1.980000e+000	1.010081e-006
-1.970000000000011e+000	-1.970000e+000	1.558609e-006
-1.960000000000011e+000	-1.960000e+000	2.365103e-006
-1.950000000000011e+000	-1.950000e+000	3.336329e-006
-1.940000000000011e+000	-1.940000e+000	4.470972e-006
-1.930000000000011e+000	-1.930000e+000	5.767740e-006
-1.920000000000011e+000	-1.920000e+000	7.225357e-006
-1.910000000000011e+000	-1.910000e+000	8.842564e-006
-1.900000000000011e+000	-1.900000e+000	1.061812e-005
-1.890000000000011e+000	-1.890000e+000	1.255080e-005
-1.880000000000011e+000	-1.880000e+000	1.463941e-005
-1.870000000000011e+000	-1.870000e+000	1.688274e-005
-1.860000000000011e+000	-1.860000e+000	1.927963e-005
-1.850000000000011e+000	-1.850000e+000	2.182892e-005
-1.840000000000011e+000	-1.840000e+000	2.452947e-005
-1.830000000000011e+000	-1.830000e+000	2.738014e-005
-1.820000000000011e+000	-1.820000e+000	3.037983e-005
-1.810000000000011e+000	-1.810000e+000	3.352745e-005
-1.800000000000011e+000	-1.800000e+000	3.682190e-005
-1.790000000000011e+000	-1.790000e+000	4.026212e-005
-1.780000000000011e+000	-1.780000e+000	4.384706e-005
-1.770000000000011e+000	-1.770000e+000	4.757568e-005
-1.760000000000010e+000	-1.760000e+000	5.144694e-005
-1.750000000000010e+000	-1.750000e+000	5.545983e-005
-1.740000000000010e+000	-1.740000e+000	5.961337e-005
-1.730000000000010e+000	-1.730000e+000	6.390654e-005
-1.720000000000010e+000	-1.720000e+000	6.833838e-005
-1.710000000000010e+000	-1.710000e+000	7.290793e-005
-1.700000000000010e+000	-1.700000e+000	7.761424e-005
-1.690000000000010e+000	-1.690000e+000	8.245636e-005
-1.680000000000010e+000	-1.680000e+000	8.743336e-005
-1.670000000000010e+000	-1.670000e+000	9.254435e-005
-1.660000000000010e+000	-1.660000e+000	9.778838e-005
-1.650000000000010e+000	-1.650000e+000	1.031646e-004
-1.640000000000010e+000	-1.640000e+000	1.086721e-004
-1.630000000000010e+000	-1.630000e+000	1.143100e-004
-1.620000000000010e+000	-1.620000e+000	1.200775e-004
-1.610000000000010e+000	-1.610000e+000	1.259736e-004
-1.600000000000010e+000	-1.600000e+000	1.319977e-004
-1.590000000000010e+000	-1.590000e+000	1.381487e-004
-1.580000000000010e+000	-1.580000e+000	1.444260e-004
-1.570000000000010e+000	-1.570000e+000	1.508286e-004
-1.560000000000010e+000	-1.560000e+000	1.573558e-004
-1.550000000000010e+000	-1.550000e+000	1.640069e-004
-1.540000000000010e+000	-1.540000e+000	1.707809e-004
-1.530000000000010e+000	-1.530000e+000	1.776771e-004
-1.520000000000010e+000	-1.520000e+000	1.846949e-004
-1.510000000000010e+000	-1.510000e+000	1.918333e-004
-1.500000000000010e+000	-1.500000e+000	1.990917e-004
-1.490000000000010e+000	-1.490000e+000	2.064693e-004
-1.480000000000010e+000	-1.480000e+000	2.139653e-004
-1.470000000000010e+000	-1.470000e+000	2.215791e-004
-1.460000000000010e+000	-1.460000e+000	2.293100e-004
-1.450000000000010e+000	-1.450000e+000	2.371572e-004
-1.440000000000010e+000	-1.440000e+000	2.451200e-004
-1.430000000000010e+000	-1.430000e+000	2.531977e-004
-1.420000000000010e+000	-1.420000e+000	2.613897e-004
-1.410000000000010e+000	-1.410000e+000	2.696952e-004
-1.400000000000010e+000	-1.400000e+000	2.781136e-004
-1.390000000000010e+000	-1.390000e+000	2.866443e-004
-1.380000000000010e+000	-1.380000e+000	2.952865e-004
-1.370000000000010e+000	-1.370000e+000	3.040396e-004
-1.360000000000010e+000	-1.360000e+000	3.129030e-004
-1.350000000000010e+000	-1.350000e+000	3.218760e-004
-1.340000000000010e+000	-1.340000e+000	3.309580e-004
-1.330000000000010e+000	-1.330000e+000	3.401484e-004
-1.320000000000010e+000	-1.320000e+000	3.494465e-004
-1.310000000000010e+000	-1.310000e+000	3.588517e-004
-1.300000000000010e+000	-1.300000e+000	3.683635e-004
-1.290000000000010e+000	-1.290000e+000	3.779813e-004
-1.280000000000010e+000	-1.280000e+000	3.877043e-004
-1.270000000000010e+000	-1.270000e+000	3.975321e-004
-1.260000000000010e+000	-1.260000e+000	4.074641e-004
-1.250000000000010e+000	-1.250000e+000	4.174997e-004
-1.240000000000010e+000	-1.240000e+000	4.276382e-004
-1.230000000000010e+000	-1.230000e+000	4.378792e-004
-1.220000000000010e+000	-1.220000e+000	4.482221e-004
-1.210000000000010e+000	-1.210000e+000	4.586664e-004
-1.200000000000010e+000	-1.200000e+000	4.692114e-004
-1.190000000000010e+000	-1.190000e+000	4.798567e-004
-1.180000000000010e+000	-1.180000e+000	4.906016e-004
-1.170000000000010e+000	-1.170000e+000	5.014457e-004
-1.160000000000010e+000	-1.160000e+000	5.123884e-004
-1.150000000000010e+000	-1.150000e+000	5.234293e-004
-1.140000000000010e+000	-1.140000e+000	5.345677e-004
-1.130000000000010e+000	-1.130000e+000	5.458032e-004
-1.120000000000010e+000	-1.120000e+000	5.571353e-004
-1.110000000000010e+000	-1.110000e+000	5.685634e-004
-1.100000000000010e+000	-1.100000e+000	5.800871e-004
-1.090000000000010e+000	-1.090000e+000	5.917058e-004
-1.080000000000010e+000	-1.080000e+000	6.034191e-004
-1.070000000000010e+000	-1.070000e+000	6.152265e-004
-1.060000000000010e+000	-1.060000e+000	6.271275e-004
-1.050000000000010e+000	-1.050000e+000	6.391215e-004
-1.040000000000010e+000	-1.040000e+000	6.512082e-004
-1.030000000000010e+000	-1.030000e+000	6.633871e-004
-1.020000000000010e+000	-1.020000e+000	6.756577e-004
-1.010000000000010e+000	-1.010000e+000	6.880196e-004
-1.000000000000010e+000	-1.000000e+000	7.004722e-004
-9.900000000000098e-001	-9.900000e-001	7.130151e-004
-9.800000000000098e-001	-9.800000e-001	7.256478e-004
-9.700000000000097e-001	-9.700000e-001	7.383701e-004
-9.600000000000097e-001	-9.600000e-001	7.511813e-004
-9.500000000000097e-001	-9.500000e-001	7.640811e-004
-9.400000000000097e-001	-9.400000e-001	7.770689e-004
-9.300000000000097e-001	-9.300000e-001	7.901444e-004
-9.200000000000097e-001	-9.200000e-001	8.033072e-004
-9.100000000000097e-001	-9.100000e-001	8.165569e-004
-9.000000000000097e-001	-9.000000e-001	8.298929e-004
-8.900000000000097e-001	-8.900000e-001	8.433149e-004
-8.800000000000097e-001	-8.800000e-001	8.568224e-004
-8.700000000000097e-001	-8.700000e-001	8.704151e-004
-8.600000000000097e-001	-8.600000e-001	8.840926e-004
-8.500000000000096e-001	-8.500000e-001	8.978544e-004
-8.400000000000096e-001	-8.400000e-001	9.117001e-004
-8.300000000000096e-001	-8.300000e-001	9.256295e-004
-8.200000000000096e-001	-8.200000e-001	9.396419e-004
-8.100000000000096e-001	-8.100000e-001	9.537371e-004
-8.000000000000096e-001	-8.000000e-001	9.679146e-004
-7.900000000000096e-001	-7.900000e-001	9.821742e-004
