vdd	V(ds)	Id(M1)
0.000000000000000e+000	0.000000e+000	-4.093973e-031
2.000000000000000e-002	2.000000e-002	3.388700e-005
4.000000000000000e-002	4.000000e-002	6.736321e-005
6.000000000000000e-002	6.000000e-002	1.004266e-004
8.000000000000000e-002	8.000000e-002	1.330753e-004
1.000000000000000e-001	1.000000e-001	1.653071e-004
1.200000000000000e-001	1.200000e-001	1.971200e-004
1.400000000000000e-001	1.400000e-001	2.285120e-004
1.600000000000000e-001	1.600000e-001	2.594811e-004
1.800000000000000e-001	1.800000e-001	2.900250e-004
2.000000000000000e-001	2.000000e-001	3.201418e-004
2.200000000000000e-001	2.200000e-001	3.498295e-004
2.400000000000000e-001	2.400000e-001	3.790857e-004
2.600000000000000e-001	2.600000e-001	4.079086e-004
2.800000000000000e-001	2.800000e-001	4.362959e-004
3.000000000000000e-001	3.000000e-001	4.642456e-004
3.200000000000000e-001	3.200000e-001	4.917555e-004
3.400000000000000e-001	3.400000e-001	5.188235e-004
3.600000000000000e-001	3.600000e-001	5.454475e-004
3.800000000000001e-001	3.800000e-001	5.716252e-004
4.000000000000001e-001	4.000000e-001	5.973547e-004
4.200000000000001e-001	4.200000e-001	6.226337e-004
4.400000000000001e-001	4.400000e-001	6.474601e-004
4.600000000000001e-001	4.600000e-001	6.718318e-004
4.800000000000002e-001	4.800000e-001	6.957465e-004
5.000000000000001e-001	5.000000e-001	7.192022e-004
5.200000000000001e-001	5.200000e-001	7.421966e-004
5.400000000000002e-001	5.400000e-001	7.647277e-004
5.600000000000002e-001	5.600000e-001	7.867932e-004
5.800000000000002e-001	5.800000e-001	8.083910e-004
6.000000000000002e-001	6.000000e-001	8.295189e-004
6.200000000000002e-001	6.200000e-001	8.501748e-004
6.400000000000002e-001	6.400000e-001	8.703566e-004
6.600000000000003e-001	6.600000e-001	8.900620e-004
6.800000000000003e-001	6.800000e-001	9.092889e-004
7.000000000000003e-001	7.000000e-001	9.280351e-004
7.200000000000003e-001	7.200000e-001	9.462985e-004
7.400000000000003e-001	7.400000e-001	9.640770e-004
7.600000000000003e-001	7.600000e-001	9.813684e-004
7.800000000000004e-001	7.800000e-001	9.981705e-004
8.000000000000004e-001	8.000000e-001	1.014481e-003
8.200000000000004e-001	8.200000e-001	1.030298e-003
8.400000000000004e-001	8.400000e-001	1.045620e-003
8.600000000000004e-001	8.600000e-001	1.060444e-003
8.800000000000005e-001	8.800000e-001	1.074767e-003
9.000000000000005e-001	9.000000e-001	1.088589e-003
9.200000000000005e-001	9.200000e-001	1.101907e-003
9.400000000000005e-001	9.400000e-001	1.114718e-003
9.600000000000005e-001	9.600000e-001	1.127021e-003
9.800000000000005e-001	9.800000e-001	1.138813e-003
1.000000000000000e+000	1.000000e+000	1.150093e-003
1.020000000000001e+000	1.020000e+000	1.160859e-003
1.040000000000001e+000	1.040000e+000	1.171107e-003
1.060000000000001e+000	1.060000e+000	1.180837e-003
1.080000000000001e+000	1.080000e+000	1.190045e-003
1.100000000000001e+000	1.100000e+000	1.198731e-003
1.120000000000001e+000	1.120000e+000	1.206892e-003
1.140000000000001e+000	1.140000e+000	1.214526e-003
1.160000000000001e+000	1.160000e+000	1.221631e-003
1.180000000000001e+000	1.180000e+000	1.228205e-003
1.200000000000001e+000	1.200000e+000	1.234245e-003
1.220000000000001e+000	1.220000e+000	1.239751e-003
1.240000000000001e+000	1.240000e+000	1.244719e-003
1.260000000000001e+000	1.260000e+000	1.249149e-003
1.280000000000001e+000	1.280000e+000	1.253037e-003
1.300000000000001e+000	1.300000e+000	1.256382e-003
1.320000000000001e+000	1.320000e+000	1.259183e-003
1.340000000000001e+000	1.340000e+000	1.261436e-003
1.360000000000001e+000	1.360000e+000	1.263141e-003
1.380000000000001e+000	1.380000e+000	1.264294e-003
1.400000000000001e+000	1.400000e+000	1.264896e-003
1.420000000000001e+000	1.420000e+000	1.264993e-003
1.440000000000001e+000	1.440000e+000	1.265001e-003
1.460000000000001e+000	1.460000e+000	1.265008e-003
1.480000000000001e+000	1.480000e+000	1.265016e-003
1.500000000000001e+000	1.500000e+000	1.265023e-003
1.520000000000001e+000	1.520000e+000	1.265031e-003
1.540000000000001e+000	1.540000e+000	1.265038e-003
1.560000000000001e+000	1.560000e+000	1.265045e-003
1.580000000000001e+000	1.580000e+000	1.265053e-003
