vdd	V(ds)	Id(M1)
0.000000000000000e+000	0.000000e+000	-4.893791e-031
2.000000000000000e-002	2.000000e-002	3.849515e-005
4.000000000000000e-002	4.000000e-002	7.662260e-005
6.000000000000000e-002	6.000000e-002	1.143806e-004
8.000000000000000e-002	8.000000e-002	1.517673e-004
1.000000000000000e-001	1.000000e-001	1.887810e-004
1.200000000000000e-001	1.200000e-001	2.254198e-004
1.400000000000000e-001	1.400000e-001	2.616819e-004
1.600000000000000e-001	1.600000e-001	2.975655e-004
1.800000000000000e-001	1.800000e-001	3.330688e-004
2.000000000000000e-001	2.000000e-001	3.681898e-004
2.200000000000000e-001	2.200000e-001	4.029268e-004
2.400000000000000e-001	2.400000e-001	4.372778e-004
2.600000000000000e-001	2.600000e-001	4.712409e-004
2.800000000000000e-001	2.800000e-001	5.048143e-004
3.000000000000000e-001	3.000000e-001	5.379961e-004
3.200000000000000e-001	3.200000e-001	5.707843e-004
3.400000000000000e-001	3.400000e-001	6.031771e-004
3.600000000000000e-001	3.600000e-001	6.351724e-004
3.800000000000001e-001	3.800000e-001	6.667684e-004
4.000000000000001e-001	4.000000e-001	6.979632e-004
4.200000000000001e-001	4.200000e-001	7.287547e-004
4.400000000000001e-001	4.400000e-001	7.591411e-004
4.600000000000001e-001	4.600000e-001	7.891203e-004
4.800000000000002e-001	4.800000e-001	8.186905e-004
5.000000000000001e-001	5.000000e-001	8.478496e-004
5.200000000000001e-001	5.200000e-001	8.765957e-004
5.400000000000002e-001	5.400000e-001	9.049269e-004
5.600000000000002e-001	5.600000e-001	9.328410e-004
5.800000000000002e-001	5.800000e-001	9.603362e-004
6.000000000000002e-001	6.000000e-001	9.874105e-004
6.200000000000002e-001	6.200000e-001	1.014062e-003
6.400000000000002e-001	6.400000e-001	1.040288e-003
6.600000000000003e-001	6.600000e-001	1.066088e-003
6.800000000000003e-001	6.800000e-001	1.091458e-003
7.000000000000003e-001	7.000000e-001	1.116398e-003
7.200000000000003e-001	7.200000e-001	1.140905e-003
7.400000000000003e-001	7.400000e-001	1.164977e-003
7.600000000000003e-001	7.600000e-001	1.188612e-003
7.800000000000004e-001	7.800000e-001	1.211808e-003
8.000000000000004e-001	8.000000e-001	1.234563e-003
8.200000000000004e-001	8.200000e-001	1.256875e-003
8.400000000000004e-001	8.400000e-001	1.278743e-003
8.600000000000004e-001	8.600000e-001	1.300163e-003
8.800000000000005e-001	8.800000e-001	1.321135e-003
9.000000000000005e-001	9.000000e-001	1.341656e-003
9.200000000000005e-001	9.200000e-001	1.361723e-003
9.400000000000005e-001	9.400000e-001	1.381336e-003
9.600000000000005e-001	9.600000e-001	1.400492e-003
9.800000000000005e-001	9.800000e-001	1.419189e-003
1.000000000000000e+000	1.000000e+000	1.437425e-003
1.020000000000001e+000	1.020000e+000	1.455199e-003
1.040000000000001e+000	1.040000e+000	1.472507e-003
1.060000000000001e+000	1.060000e+000	1.489349e-003
1.080000000000001e+000	1.080000e+000	1.505721e-003
1.100000000000001e+000	1.100000e+000	1.521623e-003
1.120000000000001e+000	1.120000e+000	1.537052e-003
1.140000000000001e+000	1.140000e+000	1.552007e-003
1.160000000000001e+000	1.160000e+000	1.566485e-003
1.180000000000001e+000	1.180000e+000	1.580484e-003
1.200000000000001e+000	1.200000e+000	1.594002e-003
1.220000000000001e+000	1.220000e+000	1.607038e-003
1.240000000000001e+000	1.240000e+000	1.619590e-003
1.260000000000001e+000	1.260000e+000	1.631655e-003
1.280000000000001e+000	1.280000e+000	1.643231e-003
1.300000000000001e+000	1.300000e+000	1.654317e-003
1.320000000000001e+000	1.320000e+000	1.664912e-003
1.340000000000001e+000	1.340000e+000	1.675011e-003
1.360000000000001e+000	1.360000e+000	1.684615e-003
1.380000000000001e+000	1.380000e+000	1.693721e-003
1.400000000000001e+000	1.400000e+000	1.702327e-003
1.420000000000001e+000	1.420000e+000	1.710432e-003
1.440000000000001e+000	1.440000e+000	1.718032e-003
1.460000000000001e+000	1.460000e+000	1.725128e-003
1.480000000000001e+000	1.480000e+000	1.731716e-003
1.500000000000001e+000	1.500000e+000	1.737794e-003
1.520000000000001e+000	1.520000e+000	1.743362e-003
1.540000000000001e+000	1.540000e+000	1.748417e-003
1.560000000000001e+000	1.560000e+000	1.752957e-003
1.580000000000001e+000	1.580000e+000	1.756981e-003
1.600000000000001e+000	1.600000e+000	1.760486e-003
1.620000000000001e+000	1.620000e+000	1.763471e-003
1.640000000000001e+000	1.640000e+000	1.765935e-003
1.660000000000001e+000	1.660000e+000	1.767874e-003
1.680000000000001e+000	1.680000e+000	1.769288e-003
1.700000000000001e+000	1.700000e+000	1.770175e-003
1.720000000000001e+000	1.720000e+000	1.770532e-003
1.740000000000001e+000	1.740000e+000	1.770548e-003
1.760000000000001e+000	1.760000e+000	1.770556e-003
1.780000000000001e+000	1.780000e+000	1.770565e-003
1.800000000000001e+000	1.800000e+000	1.770573e-003
1.820000000000001e+000	1.820000e+000	1.770581e-003
1.840000000000001e+000	1.840000e+000	1.770590e-003
1.860000000000001e+000	1.860000e+000	1.770598e-003
1.880000000000001e+000	1.880000e+000	1.770607e-003
1.900000000000001e+000	1.900000e+000	1.770615e-003
1.920000000000001e+000	1.920000e+000	1.770624e-003
1.940000000000001e+000	1.940000e+000	1.770632e-003
1.960000000000001e+000	1.960000e+000	1.770641e-003
1.980000000000001e+000	1.980000e+000	1.770649e-003
2.000000000000001e+000	2.000000e+000	1.770657e-003
2.020000000000001e+000	2.020000e+000	1.770666e-003
2.040000000000001e+000	2.040000e+000	1.770674e-003
2.060000000000001e+000	2.060000e+000	1.770683e-003
2.080000000000001e+000	2.080000e+000	1.770691e-003
2.100000000000001e+000	2.100000e+000	1.770700e-003
2.120000000000001e+000	2.120000e+000	1.770708e-003
2.140000000000002e+000	2.140000e+000	1.770717e-003
2.160000000000002e+000	2.160000e+000	1.770725e-003
2.180000000000002e+000	2.180000e+000	1.770734e-003
2.200000000000002e+000	2.200000e+000	1.770742e-003
2.220000000000002e+000	2.220000e+000	1.770750e-003
2.240000000000002e+000	2.240000e+000	1.770759e-003
2.260000000000002e+000	2.260000e+000	1.770767e-003
2.280000000000002e+000	2.280000e+000	1.770776e-003
2.300000000000002e+000	2.300000e+000	1.770784e-003
2.320000000000002e+000	2.320000e+000	1.770793e-003
2.340000000000002e+000	2.340000e+000	1.770801e-003
2.360000000000002e+000	2.360000e+000	1.770810e-003
2.380000000000002e+000	2.380000e+000	1.770818e-003
2.400000000000002e+000	2.400000e+000	1.770827e-003
2.420000000000002e+000	2.420000e+000	1.770835e-003
2.440000000000002e+000	2.440000e+000	1.770843e-003
2.460000000000002e+000	2.460000e+000	1.770852e-003
2.480000000000002e+000	2.480000e+000	1.770860e-003
2.500000000000002e+000	2.500000e+000	1.770869e-003
2.520000000000002e+000	2.520000e+000	1.770877e-003
2.540000000000002e+000	2.540000e+000	1.770886e-003
2.560000000000002e+000	2.560000e+000	1.770894e-003
2.580000000000002e+000	2.580000e+000	1.770903e-003
2.600000000000002e+000	2.600000e+000	1.770911e-003
2.620000000000002e+000	2.620000e+000	1.770919e-003
2.640000000000002e+000	2.640000e+000	1.770928e-003
2.660000000000002e+000	2.660000e+000	1.770936e-003
2.680000000000002e+000	2.680000e+000	1.770945e-003
2.700000000000002e+000	2.700000e+000	1.770953e-003
2.720000000000002e+000	2.720000e+000	1.770962e-003
2.740000000000002e+000	2.740000e+000	1.770970e-003
2.760000000000002e+000	2.760000e+000	1.770979e-003
2.780000000000002e+000	2.780000e+000	1.770987e-003
2.800000000000002e+000	2.800000e+000	1.770995e-003
2.820000000000002e+000	2.820000e+000	1.771004e-003
2.840000000000002e+000	2.840000e+000	1.771012e-003
2.860000000000002e+000	2.860000e+000	1.771021e-003
2.880000000000002e+000	2.880000e+000	1.771029e-003
2.900000000000002e+000	2.900000e+000	1.771038e-003
2.920000000000002e+000	2.920000e+000	1.771046e-003
2.940000000000002e+000	2.940000e+000	1.771055e-003
2.960000000000002e+000	2.960000e+000	1.771063e-003
2.980000000000002e+000	2.980000e+000	1.771071e-003
3.000000000000002e+000	3.000000e+000	1.771080e-003
3.020000000000002e+000	3.020000e+000	1.771088e-003
3.040000000000002e+000	3.040000e+000	1.771097e-003
3.060000000000002e+000	3.060000e+000	1.771105e-003
3.080000000000002e+000	3.080000e+000	1.771114e-003
3.100000000000002e+000	3.100000e+000	1.771122e-003
3.120000000000002e+000	3.120000e+000	1.771131e-003
3.140000000000002e+000	3.140000e+000	1.771139e-003
3.160000000000002e+000	3.160000e+000	1.771148e-003
3.180000000000002e+000	3.180000e+000	1.771156e-003
3.200000000000002e+000	3.200000e+000	1.771164e-003
3.220000000000002e+000	3.220000e+000	1.771173e-003
3.240000000000002e+000	3.240000e+000	1.771181e-003
3.260000000000003e+000	3.260000e+000	1.771190e-003
3.280000000000003e+000	3.280000e+000	1.771198e-003
3.300000000000003e+000	3.300000e+000	1.771207e-003
3.320000000000003e+000	3.320000e+000	1.771215e-003
3.340000000000003e+000	3.340000e+000	1.771224e-003
3.360000000000003e+000	3.360000e+000	1.771232e-003
3.380000000000003e+000	3.380000e+000	1.771240e-003
3.400000000000003e+000	3.400000e+000	1.771249e-003
3.420000000000003e+000	3.420000e+000	1.771257e-003
3.440000000000003e+000	3.440000e+000	1.771266e-003
3.460000000000003e+000	3.460000e+000	1.771274e-003
3.480000000000003e+000	3.480000e+000	1.771283e-003
3.500000000000003e+000	3.500000e+000	1.771291e-003
3.520000000000003e+000	3.520000e+000	1.771300e-003
3.540000000000003e+000	3.540000e+000	1.771308e-003
3.560000000000003e+000	3.560000e+000	1.771317e-003
3.580000000000003e+000	3.580000e+000	1.771325e-003
3.600000000000003e+000	3.600000e+000	1.771334e-003
3.620000000000003e+000	3.620000e+000	1.771342e-003
3.640000000000003e+000	3.640000e+000	1.771350e-003
3.660000000000003e+000	3.660000e+000	1.771359e-003
3.680000000000003e+000	3.680000e+000	1.771367e-003
3.700000000000003e+000	3.700000e+000	1.771376e-003
3.720000000000003e+000	3.720000e+000	1.771384e-003
3.740000000000003e+000	3.740000e+000	1.771393e-003
3.760000000000003e+000	3.760000e+000	1.771401e-003
3.780000000000003e+000	3.780000e+000	1.771410e-003
3.800000000000003e+000	3.800000e+000	1.771418e-003
3.820000000000003e+000	3.820000e+000	1.771426e-003
3.840000000000003e+000	3.840000e+000	1.771435e-003
3.860000000000003e+000	3.860000e+000	1.771443e-003
3.880000000000003e+000	3.880000e+000	1.771452e-003
3.900000000000003e+000	3.900000e+000	1.771460e-003
3.920000000000003e+000	3.920000e+000	1.771469e-003
3.940000000000003e+000	3.940000e+000	1.771477e-003
3.960000000000003e+000	3.960000e+000	1.771486e-003
3.980000000000003e+000	3.980000e+000	1.771494e-003
4.000000000000003e+000	4.000000e+000	1.771502e-003
4.020000000000002e+000	4.020000e+000	1.771511e-003
4.040000000000002e+000	4.040000e+000	1.771519e-003
4.060000000000001e+000	4.060000e+000	1.771528e-003
4.080000000000001e+000	4.080000e+000	1.771536e-003
4.100000000000001e+000	4.100000e+000	1.771545e-003
4.120000000000000e+000	4.120000e+000	1.771553e-003
4.140000000000000e+000	4.140000e+000	1.771562e-003
4.159999999999999e+000	4.160000e+000	1.771570e-003
4.179999999999999e+000	4.180000e+000	1.771579e-003
4.199999999999998e+000	4.200000e+000	1.771587e-003
4.219999999999998e+000	4.220000e+000	1.771595e-003
4.239999999999998e+000	4.240000e+000	1.771604e-003
4.259999999999997e+000	4.260000e+000	1.771612e-003
4.279999999999997e+000	4.280000e+000	1.771621e-003
4.299999999999996e+000	4.300000e+000	1.771629e-003
4.319999999999996e+000	4.320000e+000	1.771638e-003
4.339999999999995e+000	4.340000e+000	1.771646e-003
4.359999999999995e+000	4.360000e+000	1.771655e-003
4.379999999999995e+000	4.380000e+000	1.771663e-003
4.399999999999994e+000	4.400000e+000	1.771671e-003
4.419999999999994e+000	4.420000e+000	1.771680e-003
4.439999999999993e+000	4.440000e+000	1.771688e-003
4.459999999999993e+000	4.460000e+000	1.771697e-003
4.479999999999992e+000	4.480000e+000	1.771705e-003
4.499999999999992e+000	4.500000e+000	1.771714e-003
4.519999999999992e+000	4.520000e+000	1.771722e-003
4.539999999999991e+000	4.540000e+000	1.771731e-003
4.559999999999991e+000	4.560000e+000	1.771739e-003
4.579999999999990e+000	4.580000e+000	1.771748e-003
4.599999999999990e+000	4.600000e+000	1.771756e-003
4.619999999999989e+000	4.620000e+000	1.771764e-003
4.639999999999989e+000	4.640000e+000	1.771773e-003
4.659999999999989e+000	4.660000e+000	1.771781e-003
4.679999999999988e+000	4.680000e+000	1.771790e-003
4.699999999999988e+000	4.700000e+000	1.771798e-003
4.719999999999987e+000	4.720000e+000	1.771807e-003
4.739999999999987e+000	4.740000e+000	1.771815e-003
4.759999999999987e+000	4.760000e+000	1.771824e-003
4.779999999999986e+000	4.780000e+000	1.771832e-003
4.799999999999986e+000	4.800000e+000	1.771840e-003
4.819999999999985e+000	4.820000e+000	1.771849e-003
4.839999999999985e+000	4.840000e+000	1.771857e-003
4.859999999999984e+000	4.860000e+000	1.771866e-003
4.879999999999984e+000	4.880000e+000	1.771874e-003
4.899999999999984e+000	4.900000e+000	1.771883e-003
4.919999999999983e+000	4.920000e+000	1.771891e-003
4.939999999999983e+000	4.940000e+000	1.771900e-003
4.959999999999982e+000	4.960000e+000	1.771908e-003
4.979999999999982e+000	4.980000e+000	1.771917e-003
4.999999999999981e+000	5.000000e+000	1.771925e-003
5.019999999999981e+000	5.020000e+000	1.771934e-003
5.039999999999981e+000	5.040000e+000	1.771942e-003
5.059999999999980e+000	5.060000e+000	1.771950e-003
5.079999999999980e+000	5.080000e+000	1.771959e-003
5.099999999999979e+000	5.100000e+000	1.771967e-003
5.119999999999979e+000	5.120000e+000	1.771976e-003
5.139999999999978e+000	5.140000e+000	1.771984e-003
5.159999999999978e+000	5.160000e+000	1.771993e-003
5.179999999999978e+000	5.180000e+000	1.772001e-003
5.199999999999977e+000	5.200000e+000	1.772010e-003
5.219999999999977e+000	5.220000e+000	1.772018e-003
5.239999999999976e+000	5.240000e+000	1.772026e-003
5.259999999999976e+000	5.260000e+000	1.772035e-003
5.279999999999975e+000	5.280000e+000	1.772043e-003
5.299999999999975e+000	5.300000e+000	1.772052e-003
5.319999999999975e+000	5.320000e+000	1.772060e-003
5.339999999999974e+000	5.340000e+000	1.772069e-003
5.359999999999974e+000	5.360000e+000	1.772077e-003
5.379999999999973e+000	5.380000e+000	1.772086e-003
5.399999999999973e+000	5.400000e+000	1.772094e-003
5.419999999999972e+000	5.420000e+000	1.772103e-003
5.439999999999972e+000	5.440000e+000	1.772111e-003
5.459999999999972e+000	5.460000e+000	1.772119e-003
5.479999999999971e+000	5.480000e+000	1.772128e-003
5.499999999999971e+000	5.500000e+000	1.772136e-003
5.519999999999970e+000	5.520000e+000	1.772145e-003
5.539999999999970e+000	5.540000e+000	1.772153e-003
5.559999999999969e+000	5.560000e+000	1.772162e-003
