time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.262857180698917e-009	-7.314300e-007	-2.217655e-007	-4.948200e-011
8.525714361397835e-009	-5.044272e-007	2.598448e-006	-3.012500e-010
1.278857154209675e-008	6.810083e-007	8.460640e-006	-7.553041e-010
1.705142872279567e-008	2.824877e-006	1.736481e-005	-1.411644e-009
2.131428590349459e-008	5.927178e-006	2.931096e-005	-2.270270e-009
2.557714308419350e-008	9.987912e-006	4.429909e-005	-3.331183e-009
2.984000026489241e-008	1.500708e-005	6.232920e-005	-4.594381e-009
9.128000108520441e-008	1.496870e-004	2.553487e-004	-1.025841e-008
2.518181406327130e-007	6.300882e-004	7.596941e-004	-1.258310e-008
1.505647619857269e-005	4.707718e-002	4.726920e-002	-1.858354e-008
2.995386385656206e-005	9.356384e-002	9.406587e-002	-4.827474e-008
5.974863917254080e-005	1.821965e-001	1.876304e-001	-5.249545e-007
1.047058238855437e-004	2.923065e-001	3.286745e-001	-3.524205e-006
1.514811595752174e-004	3.657927e-001	4.751426e-001	-1.060631e-005
1.992221519443942e-004	4.045078e-001	6.242105e-001	-2.130958e-005
2.693813842892200e-004	4.348550e-001	8.422207e-001	-3.950779e-005
3.436748961286552e-004	4.548028e-001	1.071285e+000	-5.977449e-005
4.436748961286552e-004	4.727135e-001	1.375832e+000	-8.754966e-005
5.436748961286552e-004	4.858260e-001	1.674950e+000	-1.152885e-004
7.436748961286553e-004	5.036218e-001	2.252202e+000	-1.695493e-004
9.436748961286554e-004	5.157399e-001	2.793934e+000	-2.209162e-004
1.143674896128655e-003	5.246329e-001	3.291604e+000	-2.683227e-004
1.343674896128655e-003	5.313632e-001	3.737364e+000	-3.109042e-004
1.543674896128656e-003	5.365010e-001	4.124183e+000	-3.479236e-004
1.743674896128656e-003	5.403782e-001	4.445962e+000	-3.787570e-004
1.943674896128656e-003	5.431987e-001	4.697625e+000	-4.028924e-004
2.143674896128656e-003	5.450900e-001	4.875204e+000	-4.199324e-004
2.343674896128655e-003	5.461290e-001	4.975897e+000	-4.295979e-004
2.543674896128655e-003	5.463553e-001	4.998118e+000	-4.317312e-004
2.743674896128655e-003	5.457771e-001	4.941516e+000	-4.262974e-004
2.943674896128654e-003	5.443728e-001	4.806983e+000	-4.133852e-004
3.143674896128654e-003	5.420879e-001	4.596641e+000	-3.932056e-004
3.343674896128654e-003	5.388255e-001	4.313807e+000	-3.660899e-004
3.543674896128653e-003	5.344289e-001	3.962942e+000	-3.324857e-004
3.743674896128653e-003	5.286465e-001	3.549579e+000	-2.929544e-004
3.943674896128653e-003	5.210609e-001	3.080237e+000	-2.481686e-004
4.143674896128653e-003	5.109261e-001	2.562318e+000	-1.989188e-004
4.343674896128654e-003	4.967321e-001	2.003989e+000	-1.461437e-004
4.443674896128654e-003	4.871179e-001	1.712402e+000	-1.187956e-004
4.543674896128654e-003	4.746400e-001	1.414057e+000	-9.107003e-005
4.643674896128654e-003	4.569083e-001	1.110131e+000	-6.331329e-005
4.743674896128655e-003	4.262353e-001	8.018234e-001	-3.638805e-005
4.843674896128655e-003	3.570683e-001	4.903518e-001	-1.290613e-005
4.911443781290120e-003	2.426836e-001	2.780954e-001	-3.423997e-006
4.993704897355337e-003	1.836444e-002	1.980801e-002	-1.381553e-007
5.032512060059660e-003	-1.019471e-001	-1.021011e-001	1.350913e-008
5.247506523998441e-003	-7.735114e-001	-7.744033e-001	1.241673e-008
5.447506523998441e-003	-1.385918e+000	-1.387401e+000	1.105686e-008
5.647506523998442e-003	-1.976464e+000	-1.978519e+000	9.986072e-009
5.847506523998442e-003	-2.535837e+000	-2.538434e+000	9.056633e-009
6.047506523998443e-003	-3.055215e+000	-3.058317e+000	8.202024e-009
6.247506523998444e-003	-3.526409e+000	-3.529968e+000	7.388249e-009
6.447506523998444e-003	-3.941989e+000	-3.945950e+000	6.596659e-009
6.647506523998445e-003	-4.295399e+000	-4.299701e+000	5.816688e-009
6.847506523998445e-003	-4.581068e+000	-4.585644e+000	5.042348e-009
7.047506523998446e-003	-4.794489e+000	-4.799268e+000	4.270375e-009
7.247506523998446e-003	-4.932298e+000	-4.937205e+000	3.499150e-009
7.447506523998447e-003	-4.992321e+000	-4.997280e+000	2.728021e-009
7.647506523998447e-003	-4.973612e+000	-4.978544e+000	1.956820e-009
7.847506523998448e-003	-4.876465e+000	-4.881293e+000	1.185479e-009
8.047506523998447e-003	-4.702414e+000	-4.707062e+000	4.136544e-010
8.247506523998445e-003	-4.454202e+000	-4.458598e+000	-3.596896e-010
8.447506523998444e-003	-4.135746e+000	-4.139819e+000	-1.136840e-009
