time	V(vd)	V(n001)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.851428548047419e-010	1.736902e-005	1.838281e-003	1.767875e-007
1.170285709609484e-009	6.510322e-005	3.676561e-003	3.506269e-007
1.755428564414226e-009	1.432026e-004	5.514840e-003	5.215182e-007
2.340571419218967e-009	2.516672e-004	7.353119e-003	6.894616e-007
2.925714274023709e-009	3.904969e-004	9.191396e-003	8.544569e-007
3.510857128828451e-009	5.596918e-004	1.102967e-002	1.016504e-006
4.095999983633192e-009	7.592519e-004	1.286795e-002	1.175603e-006
8.191999967266384e-009	2.701949e-003	2.573581e-002	2.236308e-006
1.317242735055708e-008	6.445400e-003	4.138193e-002	3.391927e-006
2.084568321726325e-008	1.481453e-002	6.548677e-002	4.919716e-006
3.040080220445015e-008	2.881657e-002	9.550113e-002	6.474375e-006
4.399080151986837e-008	5.398995e-002	1.381836e-001	8.174337e-006
6.115962251290551e-008	9.188435e-002	1.920913e-001	9.728893e-006
8.507021779841745e-008	1.512904e-001	2.671287e-001	1.124575e-005
1.167042192689342e-007	2.310196e-001	3.663086e-001	1.313114e-005
1.615044361022534e-007	3.247292e-001	5.065108e-001	1.763999e-005
2.106703219100208e-007	3.888352e-001	6.599093e-001	2.630396e-005
2.647611682656101e-007	4.236260e-001	8.279406e-001	3.922514e-005
3.382660057360183e-007	4.481390e-001	1.054711e+000	5.883328e-005
4.204077016373630e-007	4.652064e-001	1.305444e+000	8.143875e-005
5.521890633755376e-007	4.830897e-001	1.700159e+000	1.177167e-004
7.521890633755376e-007	5.016631e-001	2.276078e+000	1.714110e-004
9.521890633755376e-007	5.147142e-001	2.816102e+000	2.223786e-004
1.152189063375538e-006	5.239734e-001	3.311715e+000	2.694043e-004
1.352189063375538e-006	5.308024e-001	3.755100e+000	3.116084e-004
1.552189063375538e-006	5.360281e-001	4.139265e+000	3.482473e-004
1.752189063375538e-006	5.399981e-001	4.458150e+000	3.786983e-004
1.952189063375538e-006	5.428950e-001	4.706729e+000	4.024553e-004
2.152189063375537e-006	5.448503e-001	4.881079e+000	4.191257e-004
2.352189063375537e-006	5.459435e-001	4.978452e+000	4.284358e-004
2.552189063375537e-006	5.462349e-001	4.997312e+000	4.303954e-004
2.734974542701233e-006	5.457777e-001	4.945606e+000	4.254390e-004
2.934974542701233e-006	5.444696e-001	4.814424e+000	4.127164e-004
3.134974542701233e-006	5.423023e-001	4.607315e+000	3.928987e-004
3.334974542701233e-006	5.391653e-001	4.327547e+000	3.661485e-004
3.534974542701233e-006	5.349076e-001	3.979530e+000	3.329075e-004
3.734974542701232e-006	5.292856e-001	3.568754e+000	2.937300e-004
3.934974542701232e-006	5.218934e-001	3.101696e+000	2.492825e-004
4.134974542701232e-006	5.120032e-001	2.585723e+000	2.003495e-004
4.334974542701232e-006	4.981325e-001	2.028972e+000	1.478684e-004
4.534974542701231e-006	4.758175e-001	1.440222e+000	9.310829e-005
4.734974542701231e-006	4.129268e-001	8.287595e-001	4.006982e-005
4.934974542701231e-006	2.140115e-001	2.042267e-001	-1.015545e-006
5.058298827771187e-006	-6.339449e-002	-1.831102e-001	-1.159856e-005
5.174049093508074e-006	-4.272822e-001	-5.457022e-001	-1.144169e-005
5.268685268818291e-006	-7.336788e-001	-8.400959e-001	-1.025824e-005
5.364391667704500e-006	-1.034834e+000	-1.134795e+000	-9.489629e-006
5.554859161049000e-006	-1.616776e+000	-1.708045e+000	-8.234437e-006
5.754859161048999e-006	-2.200786e+000	-2.283544e+000	-7.159639e-006
5.954859161048999e-006	-2.747737e+000	-2.823030e+000	-6.227956e-006
6.154859161048999e-006	-3.249602e+000	-3.317995e+000	-5.368272e-006
6.354859161048999e-006	-3.698925e+000	-3.760633e+000	-4.549529e-006
6.554859161048998e-006	-4.088952e+000	-4.143964e+000	-3.752432e-006
6.754859161048998e-006	-4.413764e+000	-4.461942e+000	-2.967655e-006
