time	V(vd)	V(n001)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.362285549993238e-011	4.389683e-005	2.941391e-002	2.851576e-006
1.872457109998648e-010	1.702019e-004	5.882457e-002	5.694563e-006
2.808685664997972e-010	3.789153e-004	8.823199e-002	8.528961e-006
3.744914219997295e-010	6.700370e-004	1.176362e-001	1.135477e-005
4.681142774996619e-010	1.043567e-003	1.470371e-001	1.417199e-005
5.617371329995943e-010	1.499505e-003	1.764348e-001	1.698061e-005
6.553599884995265e-010	2.037852e-003	2.058292e-001	1.978065e-005
1.310719976999053e-009	7.673596e-003	4.113095e-001	3.916007e-005
2.310719976999053e-009	2.162343e-002	7.233864e-001	6.806367e-005
3.310719976999053e-009	4.186876e-002	1.032609e+000	9.609031e-005
4.310719976999053e-009	6.861541e-002	1.337755e+000	1.230902e-004
5.310719976999052e-009	1.013503e-001	1.637623e+000	1.489966e-004
6.310719976999052e-009	1.394573e-001	1.931027e+000	1.737546e-004
7.310719976999052e-009	1.821294e-001	2.216810e+000	1.973303e-004
9.310719976999054e-009	2.751791e-001	2.761038e+000	2.410817e-004
1.031071997699905e-008	3.198705e-001	3.017334e+000	2.616067e-004
1.131071997699906e-008	3.584784e-001	3.261722e+000	2.815670e-004
1.231071997699906e-008	3.890544e-001	3.493237e+000	3.010478e-004
1.331071997699906e-008	4.123026e-001	3.710967e+000	3.199089e-004
1.431071997699906e-008	4.302043e-001	3.914051e+000	3.378768e-004
1.531071997699906e-008	4.443527e-001	4.101687e+000	3.547015e-004
1.731071997699905e-008	4.651414e-001	4.427722e+000	3.842965e-004
1.931071997699905e-008	4.798552e-001	4.683929e+000	4.077151e-004
2.131071997699905e-008	4.909492e-001	4.866267e+000	4.243226e-004
2.331071997699905e-008	4.996018e-001	4.971862e+000	4.337240e-004
2.531071997699905e-008	5.064589e-001	4.999047e+000	4.356949e-004
2.731071997699904e-008	5.119102e-001	4.947394e+000	4.301557e-004
2.931071997699904e-008	5.162046e-001	4.817719e+000	4.171613e-004
3.131071997699904e-008	5.195068e-001	4.612064e+000	3.968939e-004
3.331071997699905e-008	5.219265e-001	4.333675e+000	3.696576e-004
3.531071997699905e-008	5.235351e-001	3.986941e+000	3.358711e-004
3.731071997699906e-008	5.243748e-001	3.577330e+000	2.960608e-004
3.931071997699906e-008	5.244631e-001	3.111303e+000	2.508515e-004
4.131071997699907e-008	5.237949e-001	2.596209e+000	2.009566e-004
4.331071997699907e-008	5.223411e-001	2.040171e+000	1.471667e-004
4.431071997699907e-008	5.213031e-001	1.749517e+000	1.190765e-004
4.531071997699908e-008	5.200444e-001	1.451959e+000	9.033806e-005
4.631071997699908e-008	5.185525e-001	1.148670e+000	6.106644e-005
4.731071997699908e-008	5.168111e-001	8.408476e-001	3.137937e-005
4.831071997699908e-008	5.148003e-001	5.297071e-001	1.396597e-006
5.131071997699909e-008	5.068699e-001	-4.113095e-001	-8.910410e-005
5.331071997699910e-008	4.995736e-001	-1.032609e+000	-1.486564e-004
5.531071997699910e-008	4.899949e-001	-1.637623e+000	-2.064075e-004
5.731071997699910e-008	4.770044e-001	-2.216810e+000	-2.613220e-004
5.931071997699911e-008	4.582106e-001	-2.761038e+000	-3.122802e-004
6.031071997699911e-008	4.450116e-001	-3.017334e+000	-3.358533e-004
6.131071997699910e-008	4.273620e-001	-3.261722e+000	-3.578330e-004
6.231071997699910e-008	4.019558e-001	-3.493237e+000	-3.778175e-004
6.331071997699909e-008	3.625272e-001	-3.710967e+000	-3.951200e-004
6.431071997699909e-008	3.024762e-001	-3.914051e+000	-4.089963e-004
6.531071997699908e-008	2.216744e-001	-4.101687e+000	-4.193496e-004
6.631071997699908e-008	1.266319e-001	-4.273137e+000	-4.267500e-004
6.731071997699908e-008	2.320790e-002	-4.427722e+000	-4.317031e-004
6.831071997699907e-008	-8.622310e-002	-4.564833e+000	-4.343786e-004
6.931071997699907e-008	-2.007365e-001	-4.683929e+000	-4.348123e-004
7.031071997699906e-008	-3.196132e-001	-4.784539e+000	-4.330294e-004
7.131071997699906e-008	-4.421055e-001	-4.866267e+000	-4.290639e-004
7.331071997699905e-008	-6.946377e-001	-4.971862e+000	-4.147882e-004
7.531071997699904e-008	-9.512354e-001	-4.999047e+000	-3.925126e-004
7.731071997699903e-008	-1.204266e+000	-4.947394e+000	-3.629366e-004
7.931071997699902e-008	-1.445955e+000	-4.817719e+000	-3.268941e-004
8.131071997699902e-008	-1.668771e+000	-4.612064e+000	-2.853146e-004
8.331071997699901e-008	-1.865773e+000	-4.333675e+000	-2.391866e-004
8.531071997699900e-008	-2.030913e+000	-3.986941e+000	-1.895232e-004
8.731071997699899e-008	-2.159265e+000	-3.577330e+000	-1.373330e-004
8.931071997699898e-008	-2.247187e+000	-3.111303e+000	-8.359606e-005
9.131071997699897e-008	-2.292417e+000	-2.596209e+000	-2.924499e-005
9.231071997699897e-008	-2.298699e+000	-2.322774e+000	-2.114195e-006
9.331071997699896e-008	-2.294092e+000	-2.040171e+000	2.484860e-005
9.431071997699896e-008	-2.278702e+000	-1.749517e+000	5.154546e-005
9.531071997699896e-008	-2.252716e+000	-1.451959e+000	7.788317e-005
9.631071997699895e-008	-2.216395e+000	-1.148670e+000	1.037733e-004
9.831071997699894e-008	-2.114159e+000	-5.297071e-001	1.538816e-004
1.003107199769989e-007	-1.975455e+000	9.760936e-002	2.012595e-004
1.023107199769989e-007	-1.804655e+000	7.233864e-001	2.453720e-004
1.043107199769989e-007	-1.606858e+000	1.337755e+000	2.857569e-004
1.063107199769989e-007	-1.387692e+000	1.931027e+000	3.220209e-004
1.083107199769989e-007	-1.153120e+000	2.493845e+000	3.538354e-004
1.103107199769989e-007	-9.092454e-001	3.017334e+000	3.809323e-004
1.123107199769989e-007	-6.621296e-001	3.493237e+000	4.030991e-004
1.143107199769989e-007	-4.176171e-001	3.914051e+000	4.201754e-004
1.153107199769989e-007	-2.980660e-001	4.101687e+000	4.267677e-004
1.163107199769989e-007	-1.811821e-001	4.273137e+000	4.320490e-004
1.173107199769989e-007	-6.757598e-002	4.427722e+000	4.360128e-004
1.183107199769989e-007	4.211929e-002	4.564833e+000	4.386615e-004
1.193107199769989e-007	1.468247e-001	4.683929e+000	4.400483e-004
1.203107199769989e-007	2.429780e-001	4.784539e+000	4.404723e-004
1.213107199769989e-007	3.226265e-001	4.866267e+000	4.406684e-004
1.223107199769989e-007	3.791263e-001	4.928791e+000	4.412518e-004
1.233107199769989e-007	4.148500e-001	4.971862e+000	4.419606e-004
1.243107199769988e-007	4.376611e-001	4.995312e+000	4.420237e-004
1.253107199769988e-007	4.535715e-001	4.999047e+000	4.408509e-004
1.263107199769988e-007	4.654291e-001	4.983054e+000	4.381445e-004
1.283107199769988e-007	4.817486e-001	4.892210e+000	4.277354e-004
1.303107199769988e-007	4.924837e-001	4.724214e+000	4.103961e-004
1.323107199769988e-007	4.999850e-001	4.481713e+000	3.861467e-004
1.343107199769988e-007	5.052787e-001	4.168533e+000	3.552567e-004
1.363107199769988e-007	5.088983e-001	3.789613e+000	3.181532e-004
1.383107199769988e-007	5.111455e-001	3.350929e+000	2.753863e-004
1.403107199769988e-007	5.121916e-001	2.859399e+000	2.276103e-004
1.423107199769988e-007	5.121222e-001	2.322774e+000	1.755690e-004
1.433107199769988e-007	5.116780e-001	2.040171e+000	1.482020e-004
1.443107199769988e-007	5.109577e-001	1.749517e+000	1.200810e-004
1.453107199769988e-007	5.099546e-001	1.451959e+000	9.131769e-005
1.463107199769988e-007	5.086573e-001	1.148670e+000	6.202717e-005
1.473107199769988e-007	5.070502e-001	8.408476e-001	3.232707e-005
1.483107199769987e-007	5.051115e-001	5.297071e-001	2.337295e-006
1.513107199769987e-007	4.969735e-001	-4.113095e-001	-8.814322e-005
1.533107199769987e-007	4.890699e-001	-1.032609e+000	-1.476365e-004
1.553107199769987e-007	4.782642e-001	-1.637623e+000	-2.052683e-004
1.573107199769987e-007	4.628853e-001	-2.216810e+000	-2.599502e-004
1.583107199769987e-007	4.524322e-001	-2.493845e+000	-2.858035e-004
1.593107199769987e-007	4.390069e-001	-2.761038e+000	-3.104112e-004
1.603107199769987e-007	4.209194e-001	-3.017334e+000	-3.335030e-004
1.613107199769987e-007	3.948047e-001	-3.261722e+000	-3.546673e-004
1.623107199769987e-007	3.547128e-001	-3.493237e+000	-3.732431e-004
1.633107199769987e-007	2.950862e-001	-3.710967e+000	-3.885815e-004
1.643107199769987e-007	2.165403e-001	-3.914051e+000	-4.006522e-004
1.653107199769987e-007	1.249854e-001	-4.101687e+000	-4.099614e-004
1.663107199769987e-007	2.532009e-002	-4.273137e+000	-4.169149e-004
1.673107199769987e-007	-8.048993e-002	-4.427722e+000	-4.216365e-004
1.683107199769987e-007	-1.916443e-001	-4.564833e+000	-4.241437e-004
1.693107199769987e-007	-3.075054e-001	-4.683929e+000	-4.244465e-004
1.703107199769987e-007	-4.273981e-001	-4.784539e+000	-4.225649e-004
1.713107199769986e-007	-5.505791e-001	-4.866267e+000	-4.185326e-004
1.733107199769986e-007	-8.035232e-001	-4.971862e+000	-4.042168e-004
1.753107199769986e-007	-1.059302e+000	-4.999047e+000	-3.820206e-004
1.773107199769986e-007	-1.310389e+000	-4.947394e+000	-3.526334e-004
1.793107199769986e-007	-1.549145e+000	-4.817719e+000	-3.168756e-004
1.813107199769986e-007	-1.768193e+000	-4.612064e+000	-2.756620e-004
1.833107199769986e-007	-1.960758e+000	-4.333675e+000	-2.299648e-004
1.853107199769986e-007	-2.120954e+000	-3.986941e+000	-1.807814e-004
1.873107199769986e-007	-2.244011e+000	-3.577330e+000	-1.291053e-004
1.893107199769986e-007	-2.326428e+000	-3.111303e+000	-7.590278e-005
1.913107199769986e-007	-2.366068e+000	-2.596209e+000	-2.209442e-005
1.923107199769986e-007	-2.369557e+000	-2.322774e+000	4.765209e-006
1.933107199769986e-007	-2.362174e+000	-2.040171e+000	3.145848e-005
1.943107199769985e-007	-2.344035e+000	-1.749517e+000	5.788845e-005
1.953107199769985e-007	-2.315336e+000	-1.451959e+000	8.396278e-005
1.973107199769985e-007	-2.227408e+000	-8.408476e-001	1.346987e-004
1.993107199769985e-007	-2.102036e+000	-2.164760e-001	1.830809e-004
2.000000000000000e-007	-2.051849e+000	-2.449294e-015	1.992088e-004
