vcc	V(ce)	Ic(Q1)
0.000000000000000e+000	6.307873e-003	-2.754530e-007
5.000000000000000e-003	6.335984e-003	-5.834032e-008
1.000000000000000e-002	6.364132e-003	1.587715e-007
1.500000000000000e-002	6.392289e-003	3.758826e-007
2.000000000000000e-002	6.420464e-003	5.929928e-007
2.500000000000000e-002	6.448658e-003	8.101023e-007
3.000000000000000e-002	6.476871e-003	1.027211e-006
3.500000000000000e-002	6.505102e-003	1.244319e-006
4.000000000000000e-002	6.533352e-003	1.461426e-006
4.500000000000000e-002	6.561621e-003	1.678532e-006
5.000000000000000e-002	6.589908e-003	1.895637e-006
5.499999999999999e-002	6.618214e-003	2.112742e-006
5.999999999999999e-002	6.646539e-003	2.329846e-006
6.499999999999999e-002	6.674882e-003	2.546948e-006
6.999999999999999e-002	6.703245e-003	2.764050e-006
7.500000000000000e-002	6.731627e-003	2.981152e-006
8.000000000000000e-002	6.760027e-003	3.198252e-006
8.500000000000001e-002	6.788446e-003	3.415352e-006
9.000000000000001e-002	6.816884e-003	3.632450e-006
9.500000000000002e-002	6.845341e-003	3.849548e-006
1.000000000000000e-001	6.873817e-003	4.066645e-006
1.050000000000000e-001	6.902312e-003	4.283742e-006
1.100000000000000e-001	6.930827e-003	4.500837e-006
1.150000000000000e-001	6.959361e-003	4.717932e-006
1.200000000000000e-001	6.987913e-003	4.935026e-006
1.250000000000000e-001	7.016485e-003	5.152119e-006
1.300000000000000e-001	7.045076e-003	5.369211e-006
1.350000000000000e-001	7.073686e-003	5.586302e-006
1.400000000000000e-001	7.102316e-003	5.803392e-006
1.450000000000001e-001	7.130965e-003	6.020482e-006
1.500000000000001e-001	7.159633e-003	6.237571e-006
1.550000000000001e-001	7.188321e-003	6.454658e-006
1.600000000000001e-001	7.217028e-003	6.671746e-006
1.650000000000001e-001	7.245754e-003	6.888832e-006
1.700000000000001e-001	7.274501e-003	7.105917e-006
1.750000000000001e-001	7.303266e-003	7.323002e-006
1.800000000000001e-001	7.332051e-003	7.540085e-006
1.850000000000001e-001	7.360856e-003	7.757168e-006
1.900000000000001e-001	7.389680e-003	7.974249e-006
1.950000000000001e-001	7.418524e-003	8.191330e-006
2.000000000000001e-001	7.447388e-003	8.408411e-006
2.050000000000001e-001	7.476272e-003	8.625490e-006
2.100000000000001e-001	7.505175e-003	8.842569e-006
2.150000000000001e-001	7.534098e-003	9.059647e-006
2.200000000000001e-001	7.563041e-003	9.276723e-006
2.250000000000001e-001	7.592003e-003	9.493799e-006
2.300000000000001e-001	7.620986e-003	9.710874e-006
2.350000000000001e-001	7.649988e-003	9.927948e-006
2.400000000000001e-001	7.679011e-003	1.014502e-005
2.450000000000001e-001	7.708054e-003	1.036209e-005
2.500000000000001e-001	7.737116e-003	1.057917e-005
2.550000000000001e-001	7.766199e-003	1.079624e-005
2.600000000000001e-001	7.795302e-003	1.101331e-005
2.650000000000001e-001	7.824425e-003	1.123037e-005
2.700000000000001e-001	7.853568e-003	1.144744e-005
2.750000000000001e-001	7.882731e-003	1.166451e-005
2.800000000000001e-001	7.911915e-003	1.188158e-005
2.850000000000001e-001	7.941118e-003	1.209864e-005
2.900000000000002e-001	7.970342e-003	1.231571e-005
2.950000000000002e-001	7.999587e-003	1.253277e-005
3.000000000000002e-001	8.028852e-003	1.274983e-005
3.050000000000002e-001	8.058137e-003	1.296689e-005
3.100000000000002e-001	8.087443e-003	1.318395e-005
3.150000000000002e-001	8.116770e-003	1.340101e-005
