vcc	V(ce)	Ic(Q1)
0.000000000000000e+000	0.000000e+000	-2.901015e-005
1.000000000000000e-004	1.000000e-004	-2.849808e-005
2.000000000000000e-004	2.000000e-004	-2.798794e-005
3.000000000000000e-004	3.000000e-004	-2.747973e-005
4.000000000000000e-004	4.000000e-004	-2.697344e-005
5.000000000000000e-004	5.000000e-004	-2.646907e-005
6.000000000000001e-004	6.000000e-004	-2.596659e-005
7.000000000000001e-004	7.000000e-004	-2.546602e-005
8.000000000000002e-004	8.000000e-004	-2.496733e-005
9.000000000000002e-004	9.000000e-004	-2.447053e-005
1.000000000000000e-003	1.000000e-003	-2.397561e-005
1.100000000000000e-003	1.100000e-003	-2.348256e-005
1.200000000000000e-003	1.200000e-003	-2.299137e-005
1.300000000000000e-003	1.300000e-003	-2.250203e-005
1.400000000000000e-003	1.400000e-003	-2.201454e-005
1.500000000000001e-003	1.500000e-003	-2.152890e-005
1.600000000000001e-003	1.600000e-003	-2.104509e-005
1.700000000000001e-003	1.700000e-003	-2.056311e-005
1.800000000000001e-003	1.800000e-003	-2.008295e-005
1.900000000000001e-003	1.900000e-003	-1.960460e-005
2.000000000000001e-003	2.000000e-003	-1.912806e-005
2.100000000000000e-003	2.100000e-003	-1.865333e-005
2.200000000000000e-003	2.200000e-003	-1.818038e-005
2.300000000000000e-003	2.300000e-003	-1.770923e-005
2.400000000000000e-003	2.400000e-003	-1.723985e-005
2.500000000000000e-003	2.500000e-003	-1.677225e-005
2.599999999999999e-003	2.600000e-003	-1.630642e-005
2.699999999999999e-003	2.700000e-003	-1.584235e-005
2.799999999999999e-003	2.800000e-003	-1.538003e-005
2.899999999999999e-003	2.900000e-003	-1.491946e-005
2.999999999999999e-003	3.000000e-003	-1.446063e-005
3.099999999999999e-003	3.100000e-003	-1.400354e-005
3.199999999999998e-003	3.200000e-003	-1.354817e-005
3.299999999999998e-003	3.300000e-003	-1.309452e-005
3.399999999999998e-003	3.400000e-003	-1.264260e-005
3.499999999999998e-003	3.500000e-003	-1.219237e-005
3.599999999999998e-003	3.600000e-003	-1.174386e-005
3.699999999999998e-003	3.700000e-003	-1.129703e-005
3.799999999999997e-003	3.800000e-003	-1.085190e-005
3.899999999999997e-003	3.900000e-003	-1.040845e-005
3.999999999999998e-003	4.000000e-003	-9.966681e-006
4.099999999999998e-003	4.100000e-003	-9.526580e-006
4.199999999999998e-003	4.200000e-003	-9.088143e-006
4.299999999999998e-003	4.300000e-003	-8.651365e-006
4.399999999999999e-003	4.400000e-003	-8.216238e-006
4.499999999999999e-003	4.500000e-003	-7.782757e-006
4.599999999999999e-003	4.600000e-003	-7.350916e-006
4.699999999999999e-003	4.700000e-003	-6.920708e-006
4.800000000000000e-003	4.800000e-003	-6.492128e-006
4.900000000000000e-003	4.900000e-003	-6.065169e-006
5.000000000000000e-003	5.000000e-003	-5.639825e-006
5.100000000000000e-003	5.100000e-003	-5.216090e-006
5.200000000000001e-003	5.200000e-003	-4.793959e-006
5.300000000000001e-003	5.300000e-003	-4.373424e-006
5.400000000000001e-003	5.400000e-003	-3.954481e-006
5.500000000000001e-003	5.500000e-003	-3.537123e-006
5.600000000000002e-003	5.600000e-003	-3.121344e-006
5.700000000000002e-003	5.700000e-003	-2.707138e-006
5.800000000000002e-003	5.800000e-003	-2.294499e-006
5.900000000000003e-003	5.900000e-003	-1.883422e-006
6.000000000000003e-003	6.000000e-003	-1.473901e-006
6.100000000000003e-003	6.100000e-003	-1.065929e-006
6.200000000000003e-003	6.200000e-003	-6.595014e-007
6.300000000000004e-003	6.300000e-003	-2.546118e-007
6.400000000000004e-003	6.400000e-003	1.487454e-007
6.500000000000004e-003	6.500000e-003	5.505759e-007
6.600000000000004e-003	6.600000e-003	9.508856e-007
6.700000000000005e-003	6.700000e-003	1.349680e-006
6.800000000000005e-003	6.800000e-003	1.746965e-006
6.900000000000005e-003	6.900000e-003	2.142746e-006
7.000000000000005e-003	7.000000e-003	2.537029e-006
7.100000000000006e-003	7.100000e-003	2.929820e-006
7.200000000000006e-003	7.200000e-003	3.321123e-006
7.300000000000006e-003	7.300000e-003	3.710946e-006
7.400000000000006e-003	7.400000e-003	4.099292e-006
7.500000000000007e-003	7.500000e-003	4.486168e-006
7.600000000000007e-003	7.600000e-003	4.871579e-006
7.700000000000007e-003	7.700000e-003	5.255532e-006
7.800000000000007e-003	7.800000e-003	5.638030e-006
7.900000000000008e-003	7.900000e-003	6.019080e-006
8.000000000000007e-003	8.000000e-003	6.398688e-006
8.100000000000007e-003	8.100000e-003	6.776857e-006
8.200000000000006e-003	8.200000e-003	7.153596e-006
8.300000000000005e-003	8.300000e-003	7.528907e-006
8.400000000000005e-003	8.400000e-003	7.902797e-006
8.500000000000004e-003	8.500000e-003	8.275271e-006
8.600000000000004e-003	8.600000e-003	8.646335e-006
8.700000000000003e-003	8.700000e-003	9.015993e-006
8.800000000000002e-003	8.800000e-003	9.384252e-006
8.900000000000002e-003	8.900000e-003	9.751115e-006
9.000000000000001e-003	9.000000e-003	1.011659e-005
9.100000000000000e-003	9.100000e-003	1.048068e-005
9.200000000000000e-003	9.200000e-003	1.084339e-005
9.299999999999999e-003	9.300000e-003	1.120473e-005
9.399999999999999e-003	9.400000e-003	1.156470e-005
9.499999999999998e-003	9.500000e-003	1.192330e-005
9.599999999999997e-003	9.600000e-003	1.228055e-005
9.699999999999997e-003	9.700000e-003	1.263644e-005
9.799999999999996e-003	9.800000e-003	1.299098e-005
9.899999999999996e-003	9.900000e-003	1.334419e-005
9.999999999999995e-003	1.000000e-002	1.369605e-005
1.009999999999999e-002	1.010000e-002	1.404658e-005
1.019999999999999e-002	1.020000e-002	1.439578e-005
1.029999999999999e-002	1.030000e-002	1.474366e-005
1.039999999999999e-002	1.040000e-002	1.509022e-005
1.049999999999999e-002	1.050000e-002	1.543547e-005
1.059999999999999e-002	1.060000e-002	1.577941e-005
1.069999999999999e-002	1.070000e-002	1.612205e-005
1.079999999999999e-002	1.080000e-002	1.646339e-005
1.089999999999999e-002	1.090000e-002	1.680343e-005
1.099999999999999e-002	1.100000e-002	1.714219e-005
1.109999999999999e-002	1.110000e-002	1.747966e-005
1.119999999999999e-002	1.120000e-002	1.781585e-005
1.129999999999999e-002	1.130000e-002	1.815077e-005
1.139999999999999e-002	1.140000e-002	1.848442e-005
1.149999999999999e-002	1.150000e-002	1.881681e-005
1.159999999999999e-002	1.160000e-002	1.914794e-005
1.169999999999999e-002	1.170000e-002	1.947781e-005
1.179999999999998e-002	1.180000e-002	1.980643e-005
1.189999999999998e-002	1.190000e-002	2.013380e-005
1.199999999999998e-002	1.200000e-002	2.045994e-005
1.209999999999998e-002	1.210000e-002	2.078484e-005
1.219999999999998e-002	1.220000e-002	2.110850e-005
1.229999999999998e-002	1.230000e-002	2.143094e-005
1.239999999999998e-002	1.240000e-002	2.175216e-005
1.249999999999998e-002	1.250000e-002	2.207216e-005
1.259999999999998e-002	1.260000e-002	2.239095e-005
1.269999999999998e-002	1.270000e-002	2.270853e-005
1.279999999999998e-002	1.280000e-002	2.302490e-005
1.289999999999998e-002	1.290000e-002	2.334008e-005
1.299999999999998e-002	1.300000e-002	2.365406e-005
