vcc	V(ce)	Ic(Q1)
0.000000000000000e+000	0.000000e+000	-1.080608e-004
1.000000000000000e-004	1.000000e-004	-1.061554e-004
2.000000000000000e-004	2.000000e-004	-1.042570e-004
3.000000000000000e-004	3.000000e-004	-1.023655e-004
4.000000000000000e-004	4.000000e-004	-1.004809e-004
5.000000000000000e-004	5.000000e-004	-9.860324e-005
6.000000000000001e-004	6.000000e-004	-9.673244e-005
7.000000000000001e-004	7.000000e-004	-9.486850e-005
8.000000000000002e-004	8.000000e-004	-9.301139e-005
9.000000000000002e-004	9.000000e-004	-9.116108e-005
1.000000000000000e-003	1.000000e-003	-8.931755e-005
1.100000000000000e-003	1.100000e-003	-8.748077e-005
1.200000000000000e-003	1.200000e-003	-8.565072e-005
1.300000000000000e-003	1.300000e-003	-8.382739e-005
1.400000000000000e-003	1.400000e-003	-8.201074e-005
1.500000000000001e-003	1.500000e-003	-8.020075e-005
1.600000000000001e-003	1.600000e-003	-7.839739e-005
1.700000000000001e-003	1.700000e-003	-7.660065e-005
1.800000000000001e-003	1.800000e-003	-7.481050e-005
1.900000000000001e-003	1.900000e-003	-7.302692e-005
2.000000000000001e-003	2.000000e-003	-7.124988e-005
2.100000000000000e-003	2.100000e-003	-6.947936e-005
2.200000000000000e-003	2.200000e-003	-6.771535e-005
2.300000000000000e-003	2.300000e-003	-6.595781e-005
2.400000000000000e-003	2.400000e-003	-6.420672e-005
2.500000000000000e-003	2.500000e-003	-6.246206e-005
2.599999999999999e-003	2.600000e-003	-6.072381e-005
2.699999999999999e-003	2.700000e-003	-5.899194e-005
2.799999999999999e-003	2.800000e-003	-5.726644e-005
2.899999999999999e-003	2.900000e-003	-5.554727e-005
2.999999999999999e-003	3.000000e-003	-5.383442e-005
3.099999999999999e-003	3.100000e-003	-5.212787e-005
3.199999999999998e-003	3.200000e-003	-5.042760e-005
3.299999999999998e-003	3.300000e-003	-4.873357e-005
3.399999999999998e-003	3.400000e-003	-4.704577e-005
3.499999999999998e-003	3.500000e-003	-4.536418e-005
3.599999999999998e-003	3.600000e-003	-4.368877e-005
3.699999999999998e-003	3.700000e-003	-4.201952e-005
3.799999999999997e-003	3.800000e-003	-4.035642e-005
3.899999999999997e-003	3.900000e-003	-3.869943e-005
3.999999999999998e-003	4.000000e-003	-3.704855e-005
4.099999999999998e-003	4.100000e-003	-3.540374e-005
4.199999999999998e-003	4.200000e-003	-3.376498e-005
4.299999999999998e-003	4.300000e-003	-3.213226e-005
4.399999999999999e-003	4.400000e-003	-3.050555e-005
4.499999999999999e-003	4.500000e-003	-2.888482e-005
4.599999999999999e-003	4.600000e-003	-2.727007e-005
4.699999999999999e-003	4.700000e-003	-2.566127e-005
4.800000000000000e-003	4.800000e-003	-2.405839e-005
4.900000000000000e-003	4.900000e-003	-2.246142e-005
5.000000000000000e-003	5.000000e-003	-2.087033e-005
5.100000000000000e-003	5.100000e-003	-1.928511e-005
5.200000000000001e-003	5.200000e-003	-1.770573e-005
5.300000000000001e-003	5.300000e-003	-1.613217e-005
5.400000000000001e-003	5.400000e-003	-1.456442e-005
5.500000000000001e-003	5.500000e-003	-1.300244e-005
5.600000000000002e-003	5.600000e-003	-1.144623e-005
5.700000000000002e-003	5.700000e-003	-9.895754e-006
5.800000000000002e-003	5.800000e-003	-8.350999e-006
5.900000000000003e-003	5.900000e-003	-6.811944e-006
6.000000000000003e-003	6.000000e-003	-5.278568e-006
6.100000000000003e-003	6.100000e-003	-3.750850e-006
6.200000000000003e-003	6.200000e-003	-2.228771e-006
6.300000000000004e-003	6.300000e-003	-7.123100e-007
6.400000000000004e-003	6.400000e-003	7.985524e-007
6.500000000000004e-003	6.500000e-003	2.303836e-006
6.600000000000004e-003	6.600000e-003	3.803562e-006
6.700000000000005e-003	6.700000e-003	5.297749e-006
6.800000000000005e-003	6.800000e-003	6.786417e-006
6.900000000000005e-003	6.900000e-003	8.269585e-006
7.000000000000005e-003	7.000000e-003	9.747274e-006
7.100000000000006e-003	7.100000e-003	1.121950e-005
7.200000000000006e-003	7.200000e-003	1.268629e-005
7.300000000000006e-003	7.300000e-003	1.414766e-005
7.400000000000006e-003	7.400000e-003	1.560362e-005
7.500000000000007e-003	7.500000e-003	1.705421e-005
7.600000000000007e-003	7.600000e-003	1.849943e-005
7.700000000000007e-003	7.700000e-003	1.993930e-005
7.800000000000007e-003	7.800000e-003	2.137385e-005
7.900000000000008e-003	7.900000e-003	2.280310e-005
8.000000000000007e-003	8.000000e-003	2.422706e-005
8.100000000000007e-003	8.100000e-003	2.564575e-005
8.200000000000006e-003	8.200000e-003	2.705919e-005
8.300000000000005e-003	8.300000e-003	2.846740e-005
8.400000000000005e-003	8.400000e-003	2.987040e-005
8.500000000000004e-003	8.500000e-003	3.126821e-005
8.600000000000004e-003	8.600000e-003	3.266084e-005
8.700000000000003e-003	8.700000e-003	3.404831e-005
8.800000000000002e-003	8.800000e-003	3.543065e-005
8.900000000000002e-003	8.900000e-003	3.680788e-005
9.000000000000001e-003	9.000000e-003	3.817999e-005
9.100000000000000e-003	9.100000e-003	3.954703e-005
9.200000000000000e-003	9.200000e-003	4.090901e-005
9.299999999999999e-003	9.300000e-003	4.226594e-005
9.399999999999999e-003	9.400000e-003	4.361784e-005
9.499999999999998e-003	9.500000e-003	4.496473e-005
9.599999999999997e-003	9.600000e-003	4.630663e-005
9.699999999999997e-003	9.700000e-003	4.764356e-005
9.799999999999996e-003	9.800000e-003	4.897553e-005
9.899999999999996e-003	9.900000e-003	5.030256e-005
9.999999999999995e-003	1.000000e-002	5.162468e-005
1.009999999999999e-002	1.010000e-002	5.294189e-005
1.019999999999999e-002	1.020000e-002	5.425421e-005
1.029999999999999e-002	1.030000e-002	5.556167e-005
1.039999999999999e-002	1.040000e-002	5.686428e-005
1.049999999999999e-002	1.050000e-002	5.816206e-005
1.059999999999999e-002	1.060000e-002	5.945502e-005
1.069999999999999e-002	1.070000e-002	6.074319e-005
1.079999999999999e-002	1.080000e-002	6.202657e-005
1.089999999999999e-002	1.090000e-002	6.330519e-005
1.099999999999999e-002	1.100000e-002	6.457907e-005
1.109999999999999e-002	1.110000e-002	6.584822e-005
1.119999999999999e-002	1.120000e-002	6.711265e-005
1.129999999999999e-002	1.130000e-002	6.837239e-005
1.139999999999999e-002	1.140000e-002	6.962746e-005
1.149999999999999e-002	1.150000e-002	7.087786e-005
1.159999999999999e-002	1.160000e-002	7.212362e-005
1.169999999999999e-002	1.170000e-002	7.336475e-005
1.179999999999998e-002	1.180000e-002	7.460127e-005
1.189999999999998e-002	1.190000e-002	7.583320e-005
1.199999999999998e-002	1.200000e-002	7.706055e-005
1.209999999999998e-002	1.210000e-002	7.828334e-005
1.219999999999998e-002	1.220000e-002	7.950159e-005
1.229999999999998e-002	1.230000e-002	8.071530e-005
1.239999999999998e-002	1.240000e-002	8.192451e-005
1.249999999999998e-002	1.250000e-002	8.312922e-005
1.259999999999998e-002	1.260000e-002	8.432945e-005
1.269999999999998e-002	1.270000e-002	8.552522e-005
1.279999999999998e-002	1.280000e-002	8.671655e-005
1.289999999999998e-002	1.290000e-002	8.790344e-005
1.299999999999998e-002	1.300000e-002	8.908592e-005
1.309999999999998e-002	1.310000e-002	9.026400e-005
1.319999999999998e-002	1.320000e-002	9.143770e-005
1.329999999999998e-002	1.330000e-002	9.260703e-005
1.339999999999997e-002	1.340000e-002	9.377201e-005
1.349999999999997e-002	1.350000e-002	9.493266e-005
1.359999999999997e-002	1.360000e-002	9.608899e-005
1.369999999999997e-002	1.370000e-002	9.724101e-005
1.379999999999997e-002	1.380000e-002	9.838874e-005
1.389999999999997e-002	1.390000e-002	9.953220e-005
1.399999999999997e-002	1.400000e-002	1.006714e-004
1.409999999999997e-002	1.410000e-002	1.018064e-004
1.419999999999997e-002	1.420000e-002	1.029371e-004
1.429999999999997e-002	1.430000e-002	1.040636e-004
1.439999999999997e-002	1.440000e-002	1.051860e-004
