vdd	V(ds)	Id(M1)
0.000000000000000e+000	0.000000e+000	-4.093973e-031
1.000000000000000e-001	1.000000e-001	1.653067e-004
2.000000000000000e-001	2.000000e-001	3.201403e-004
3.000000000000000e-001	3.000000e-001	4.642440e-004
4.000000000000000e-001	4.000000e-001	5.973530e-004
5.000000000000000e-001	5.000000e-001	7.192004e-004
6.000000000000000e-001	6.000000e-001	8.295170e-004
7.000000000000000e-001	7.000000e-001	9.280331e-004
7.999999999999999e-001	8.000000e-001	1.014479e-003
8.999999999999999e-001	9.000000e-001	1.088587e-003
9.999999999999999e-001	1.000000e+000	1.150091e-003
1.100000000000000e+000	1.100000e+000	1.198729e-003
1.200000000000000e+000	1.200000e+000	1.234243e-003
1.300000000000000e+000	1.300000e+000	1.256380e-003
1.400000000000000e+000	1.400000e+000	1.264893e-003
1.500000000000000e+000	1.500000e+000	1.265022e-003
1.600000000000000e+000	1.600000e+000	1.265060e-003
1.700000000000000e+000	1.700000e+000	1.265098e-003
1.800000000000001e+000	1.800000e+000	1.265135e-003
1.900000000000001e+000	1.900000e+000	1.265172e-003
2.000000000000000e+000	2.000000e+000	1.265209e-003
2.100000000000001e+000	2.100000e+000	1.265247e-003
2.200000000000001e+000	2.200000e+000	1.265284e-003
2.300000000000001e+000	2.300000e+000	1.265321e-003
2.400000000000001e+000	2.400000e+000	1.265359e-003
2.500000000000001e+000	2.500000e+000	1.265396e-003
2.600000000000001e+000	2.600000e+000	1.265433e-003
2.700000000000001e+000	2.700000e+000	1.265470e-003
2.800000000000001e+000	2.800000e+000	1.265508e-003
2.900000000000001e+000	2.900000e+000	1.265545e-003
3.000000000000001e+000	3.000000e+000	1.265582e-003
3.100000000000001e+000	3.100000e+000	1.265619e-003
3.200000000000002e+000	3.200000e+000	1.265657e-003
3.300000000000002e+000	3.300000e+000	1.265694e-003
3.400000000000002e+000	3.400000e+000	1.265731e-003
3.500000000000002e+000	3.500000e+000	1.265768e-003
3.600000000000002e+000	3.600000e+000	1.265806e-003
3.700000000000002e+000	3.700000e+000	1.265843e-003
3.800000000000002e+000	3.800000e+000	1.265880e-003
3.900000000000002e+000	3.900000e+000	1.265917e-003
4.000000000000002e+000	4.000000e+000	1.265955e-003
4.100000000000001e+000	4.100000e+000	1.265992e-003
4.200000000000001e+000	4.200000e+000	1.266029e-003
4.300000000000001e+000	4.300000e+000	1.266067e-003
4.400000000000000e+000	4.400000e+000	1.266104e-003
4.500000000000000e+000	4.500000e+000	1.266141e-003
4.600000000000000e+000	4.600000e+000	1.266178e-003
4.699999999999999e+000	4.700000e+000	1.266216e-003
4.799999999999999e+000	4.800000e+000	1.266253e-003
4.899999999999999e+000	4.900000e+000	1.266290e-003
4.999999999999998e+000	5.000000e+000	1.266327e-003
5.099999999999998e+000	5.100000e+000	1.266365e-003
5.199999999999998e+000	5.200000e+000	1.266402e-003
5.299999999999997e+000	5.300000e+000	1.266439e-003
5.399999999999997e+000	5.400000e+000	1.266477e-003
5.499999999999996e+000	5.500000e+000	1.266514e-003
5.599999999999996e+000	5.600000e+000	1.266551e-003
5.699999999999996e+000	5.700000e+000	1.266588e-003
5.799999999999995e+000	5.800000e+000	1.266626e-003
5.899999999999995e+000	5.900000e+000	1.266663e-003
5.999999999999995e+000	6.000000e+000	1.266700e-003
6.099999999999994e+000	6.100000e+000	1.266737e-003
6.199999999999994e+000	6.200000e+000	1.266775e-003
6.299999999999994e+000	6.300000e+000	1.266812e-003
6.399999999999993e+000	6.400000e+000	1.266849e-003
6.499999999999993e+000	6.500000e+000	1.266887e-003
6.599999999999993e+000	6.600000e+000	1.266924e-003
6.699999999999992e+000	6.700000e+000	1.266961e-003
6.799999999999992e+000	6.800000e+000	1.266998e-003
6.899999999999992e+000	6.900000e+000	1.267036e-003
6.999999999999991e+000	7.000000e+000	1.267073e-003
7.099999999999991e+000	7.100000e+000	1.267110e-003
7.199999999999990e+000	7.200000e+000	1.267148e-003
7.299999999999990e+000	7.300000e+000	1.267185e-003
7.399999999999990e+000	7.400000e+000	1.267222e-003
7.499999999999989e+000	7.500000e+000	1.267259e-003
7.599999999999989e+000	7.600000e+000	1.267297e-003
7.699999999999989e+000	7.700000e+000	1.267334e-003
7.799999999999988e+000	7.800000e+000	1.267371e-003
7.899999999999988e+000	7.900000e+000	1.267409e-003
7.999999999999988e+000	8.000000e+000	1.267446e-003
8.099999999999987e+000	8.100000e+000	1.267483e-003
8.199999999999987e+000	8.200000e+000	1.267520e-003
8.299999999999987e+000	8.300000e+000	1.267558e-003
8.399999999999986e+000	8.400000e+000	1.267595e-003
8.499999999999986e+000	8.500000e+000	1.267632e-003
8.599999999999985e+000	8.600000e+000	1.267670e-003
8.699999999999985e+000	8.700000e+000	1.267707e-003
8.799999999999985e+000	8.800000e+000	1.267744e-003
8.899999999999984e+000	8.900000e+000	1.267781e-003
8.999999999999984e+000	9.000000e+000	1.267819e-003
9.099999999999984e+000	9.100000e+000	1.267856e-003
9.199999999999983e+000	9.200000e+000	1.267893e-003
9.299999999999983e+000	9.300000e+000	1.267931e-003
9.399999999999983e+000	9.400000e+000	1.267968e-003
9.499999999999982e+000	9.500000e+000	1.268005e-003
9.599999999999982e+000	9.600000e+000	1.268042e-003
9.699999999999982e+000	9.700000e+000	1.268080e-003
9.799999999999981e+000	9.800000e+000	1.268117e-003
9.899999999999981e+000	9.900000e+000	1.268154e-003
9.999999999999981e+000	1.000000e+001	1.268192e-003
1.009999999999998e+001	1.010000e+001	1.268229e-003
1.019999999999998e+001	1.020000e+001	1.268266e-003
1.029999999999998e+001	1.030000e+001	1.268304e-003
1.039999999999998e+001	1.040000e+001	1.268341e-003
