vdd	V(ds)	Id(M1)
0.000000000000000e+000	0.000000e+000	4.268018e-032
1.000000000000000e-001	1.000000e-001	1.383444e-004
2.000000000000000e-001	2.000000e-001	2.649243e-004
3.000000000000000e-001	3.000000e-001	3.794538e-004
4.000000000000000e-001	4.000000e-001	4.816407e-004
5.000000000000000e-001	5.000000e-001	5.711928e-004
6.000000000000000e-001	6.000000e-001	6.478187e-004
7.000000000000000e-001	7.000000e-001	7.112293e-004
7.999999999999999e-001	8.000000e-001	7.611384e-004
8.999999999999999e-001	9.000000e-001	7.972647e-004
9.999999999999999e-001	1.000000e+000	8.193321e-004
1.100000000000000e+000	1.100000e+000	8.270713e-004
1.200000000000000e+000	1.200000e+000	8.271121e-004
1.300000000000000e+000	1.300000e+000	8.271447e-004
1.400000000000000e+000	1.400000e+000	8.271762e-004
1.500000000000000e+000	1.500000e+000	8.272078e-004
1.600000000000000e+000	1.600000e+000	8.272394e-004
1.700000000000000e+000	1.700000e+000	8.272709e-004
1.800000000000001e+000	1.800000e+000	8.273025e-004
1.900000000000001e+000	1.900000e+000	8.273341e-004
2.000000000000000e+000	2.000000e+000	8.273656e-004
2.100000000000001e+000	2.100000e+000	8.273972e-004
2.200000000000001e+000	2.200000e+000	8.274288e-004
2.300000000000001e+000	2.300000e+000	8.274603e-004
2.400000000000001e+000	2.400000e+000	8.274919e-004
2.500000000000001e+000	2.500000e+000	8.275235e-004
2.600000000000001e+000	2.600000e+000	8.275551e-004
2.700000000000001e+000	2.700000e+000	8.275866e-004
2.800000000000001e+000	2.800000e+000	8.276182e-004
2.900000000000001e+000	2.900000e+000	8.276498e-004
3.000000000000001e+000	3.000000e+000	8.276813e-004
3.100000000000001e+000	3.100000e+000	8.277129e-004
3.200000000000002e+000	3.200000e+000	8.277445e-004
3.300000000000002e+000	3.300000e+000	8.277761e-004
3.400000000000002e+000	3.400000e+000	8.278076e-004
3.500000000000002e+000	3.500000e+000	8.278392e-004
3.600000000000002e+000	3.600000e+000	8.278708e-004
3.700000000000002e+000	3.700000e+000	8.279024e-004
3.800000000000002e+000	3.800000e+000	8.279340e-004
3.900000000000002e+000	3.900000e+000	8.279656e-004
4.000000000000002e+000	4.000000e+000	8.279972e-004
4.100000000000001e+000	4.100000e+000	8.280287e-004
4.200000000000001e+000	4.200000e+000	8.280603e-004
4.300000000000001e+000	4.300000e+000	8.280919e-004
4.400000000000000e+000	4.400000e+000	8.281235e-004
4.500000000000000e+000	4.500000e+000	8.281550e-004
4.600000000000000e+000	4.600000e+000	8.281866e-004
4.699999999999999e+000	4.700000e+000	8.282182e-004
4.799999999999999e+000	4.800000e+000	8.282498e-004
4.899999999999999e+000	4.900000e+000	8.282814e-004
4.999999999999998e+000	5.000000e+000	8.283130e-004
5.099999999999998e+000	5.100000e+000	8.283445e-004
5.199999999999998e+000	5.200000e+000	8.283762e-004
5.299999999999997e+000	5.300000e+000	8.284077e-004
5.399999999999997e+000	5.400000e+000	8.284393e-004
5.499999999999996e+000	5.500000e+000	8.284709e-004
5.599999999999996e+000	5.600000e+000	8.285025e-004
5.699999999999996e+000	5.700000e+000	8.285341e-004
5.799999999999995e+000	5.800000e+000	8.285657e-004
5.899999999999995e+000	5.900000e+000	8.285973e-004
5.999999999999995e+000	6.000000e+000	8.286288e-004
6.099999999999994e+000	6.100000e+000	8.286604e-004
6.199999999999994e+000	6.200000e+000	8.286920e-004
6.299999999999994e+000	6.300000e+000	8.287236e-004
6.399999999999993e+000	6.400000e+000	8.287552e-004
6.499999999999993e+000	6.500000e+000	8.287868e-004
6.599999999999993e+000	6.600000e+000	8.288184e-004
6.699999999999992e+000	6.700000e+000	8.288500e-004
6.799999999999992e+000	6.800000e+000	8.288816e-004
6.899999999999992e+000	6.900000e+000	8.289132e-004
6.999999999999991e+000	7.000000e+000	8.289448e-004
7.099999999999991e+000	7.100000e+000	8.289764e-004
7.199999999999990e+000	7.200000e+000	8.290080e-004
7.299999999999990e+000	7.300000e+000	8.290395e-004
7.399999999999990e+000	7.400000e+000	8.290712e-004
7.499999999999989e+000	7.500000e+000	8.291028e-004
7.599999999999989e+000	7.600000e+000	8.291344e-004
7.699999999999989e+000	7.700000e+000	8.291660e-004
7.799999999999988e+000	7.800000e+000	8.291976e-004
7.899999999999988e+000	7.900000e+000	8.292291e-004
