v2	V(ds)	I(R1)
0.000000000000000e+000	-2.543157e-022	4.798410e-026
1.000000000000000e-001	7.025848e-004	1.873536e-005
2.000000000000000e-001	1.409922e-003	3.746982e-005
3.000000000000000e-001	2.122109e-003	5.620337e-005
4.000000000000000e-001	2.839249e-003	7.493599e-005
5.000000000000000e-001	3.561447e-003	9.366765e-005
6.000000000000000e-001	4.288813e-003	1.123983e-004
7.000000000000000e-001	5.021460e-003	1.311280e-004
7.999999999999999e-001	5.759507e-003	1.498567e-004
8.999999999999999e-001	6.503074e-003	1.685843e-004
9.999999999999999e-001	7.252290e-003	1.873109e-004
1.100000000000000e+000	8.007285e-003	2.060364e-004
1.200000000000000e+000	8.768197e-003	2.247607e-004
1.300000000000000e+000	9.535169e-003	2.434839e-004
1.400000000000000e+000	1.030835e-002	2.622060e-004
1.500000000000000e+000	1.108789e-002	2.809268e-004
1.600000000000000e+000	1.187395e-002	2.996464e-004
1.700000000000000e+000	1.266671e-002	3.183648e-004
1.800000000000001e+000	1.346633e-002	3.370818e-004
1.900000000000001e+000	1.427300e-002	3.557976e-004
2.000000000000000e+000	1.508691e-002	3.745119e-004
2.100000000000001e+000	1.590826e-002	3.932249e-004
2.200000000000001e+000	1.673726e-002	4.119364e-004
2.300000000000001e+000	1.757413e-002	4.306464e-004
2.400000000000001e+000	1.841910e-002	4.493549e-004
2.500000000000001e+000	1.927241e-002	4.680618e-004
2.600000000000001e+000	2.013431e-002	4.867671e-004
2.700000000000001e+000	2.100508e-002	5.054707e-004
2.800000000000001e+000	2.188499e-002	5.241726e-004
2.900000000000001e+000	2.277433e-002	5.428728e-004
3.000000000000001e+000	2.367343e-002	5.615710e-004
3.100000000000001e+000	2.458261e-002	5.802675e-004
3.200000000000002e+000	2.550223e-002	5.989618e-004
3.300000000000002e+000	2.643264e-002	6.176542e-004
3.400000000000002e+000	2.737425e-002	6.363445e-004
3.500000000000002e+000	2.832747e-002	6.550326e-004
3.600000000000002e+000	2.929274e-002	6.737183e-004
3.700000000000002e+000	3.027053e-002	6.924018e-004
3.800000000000002e+000	3.126136e-002	7.110828e-004
3.900000000000002e+000	3.226576e-002	7.297612e-004
4.000000000000002e+000	3.328430e-002	7.484369e-004
4.100000000000001e+000	3.431761e-002	7.671099e-004
4.200000000000001e+000	3.536634e-002	7.857799e-004
4.300000000000001e+000	3.643122e-002	8.044469e-004
4.400000000000000e+000	3.751303e-002	8.231107e-004
4.500000000000000e+000	3.861259e-002	8.417712e-004
4.600000000000000e+000	3.973082e-002	8.604281e-004
4.699999999999999e+000	4.086871e-002	8.790814e-004
4.799999999999999e+000	4.202734e-002	8.977307e-004
4.899999999999999e+000	4.320788e-002	9.163759e-004
4.999999999999998e+000	4.441166e-002	9.350167e-004
5.099999999999998e+000	4.564009e-002	9.536528e-004
5.199999999999998e+000	4.689477e-002	9.722840e-004
